Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162475965,1782914504596353,-0.31603462,3.4955344,9.11712
android.sensor.accelerometer,1524162475983,1782914524586978,-0.36391866,3.5625722,9.088389
android.sensor.accelerometer,1524162476003,1782914544577603,-0.36391866,3.514688,9.212888
android.sensor.accelerometer,1524162476023,1782914564599478,-0.33518824,3.4763808,9.308656
android.sensor.accelerometer,1524162476043,1782914584590103,-0.32561144,3.4955344,9.251195
android.sensor.accelerometer,1524162476063,1782914604580728,-0.36391866,3.572149,9.11712
android.sensor.accelerometer,1524162476083,1782914624572916,-0.34476504,3.572149,8.992621
android.sensor.accelerometer,1524162476103,1782914644594791,-0.33518824,3.5434184,9.088389
android.sensor.accelerometer,1524162476123,1782914664585416,-0.37349546,3.5338416,9.260772
android.sensor.accelerometer,1524162476143,1782914684576041,-0.37349546,3.4476504,9.394848
android.sensor.accelerometer,1524162476163,1782914704599478,-0.34476504,3.5242648,9.299079
android.sensor.accelerometer,1524162476183,1782914724590103,-0.32561144,3.4955344,9.222465
android.sensor.accelerometer,1524162476203,1782914744580728,-0.35434186,3.572149,9.14585
android.sensor.accelerometer,1524162476223,1782914764571353,-0.31603462,3.514688,9.155427
android.sensor.accelerometer,1524162476243,1782914784593228,-0.2681506,3.5242648,9.203311
android.sensor.accelerometer,1524162476263,1782914804583853,-0.2777274,3.5242648,9.241618
android.sensor.accelerometer,1524162476283,1782914824576041,-0.34476504,3.5817258,9.222465
android.sensor.accelerometer,1524162476303,1782914844597916,-0.25857377,3.514688,9.126697
android.sensor.accelerometer,1524162476323,1782914864588541,-0.35434186,3.6008794,8.992621
android.sensor.accelerometer,1524162476343,1782914884579166,-0.35434186,3.6008794,8.90643
android.sensor.accelerometer,1524162476363,1782914904571353,-0.37349546,3.5338416,9.14585
android.sensor.accelerometer,1524162476383,1782914924593228,-0.34476504,3.5051112,9.385271
android.sensor.accelerometer,1524162476403,1782914944583853,-0.24899697,3.4763808,9.337387
android.sensor.accelerometer,1524162476423,1782914964574478,-0.32561144,3.572149,9.260772
android.sensor.accelerometer,1524162476443,1782914984596353,-0.38307226,3.514688,9.232041
android.sensor.accelerometer,1524162476463,1782915004586978,-0.37349546,3.514688,9.232041
android.sensor.accelerometer,1524162476483,1782915024579166,-0.30645782,3.5434184,9.184157
android.sensor.accelerometer,1524162476503,1782915044601041,-0.23942018,3.5242648,9.059659
android.sensor.accelerometer,1524162476523,1782915064591666,-0.2777274,3.5625722,9.002198
android.sensor.accelerometer,1524162476543,1782915084582291,-0.25857377,3.6391866,9.14585
android.sensor.accelerometer,1524162476563,1782915104572916,-0.29688102,3.5817258,9.193734
android.sensor.accelerometer,1524162476583,1782915124596353,-0.35434186,3.5338416,9.011775
android.sensor.accelerometer,1524162476603,1782915144586978,-0.37349546,3.5242648,9.011775
android.sensor.accelerometer,1524162476623,1782915164577603,-0.2681506,3.5817258,8.973468
android.sensor.accelerometer,1524162476643,1782915184599478,-0.34476504,3.5242648,9.165004
android.sensor.accelerometer,1524162476663,1782915204591666,-0.50757074,3.4859576,9.184157
android.sensor.accelerometer,1524162476683,1782915224582291,-0.39264908,3.4572272,9.14585
android.sensor.accelerometer,1524162476703,1782915244572916,-0.2873042,3.5913026,9.3182335
android.sensor.accelerometer,1524162476723,1782915264596353,-0.22026655,3.5529952,9.308656
android.sensor.accelerometer,1524162476743,1782915284585416,-0.41180268,3.572149,9.32781
android.sensor.accelerometer,1524162476763,1782915304576041,-0.31603462,3.4955344,9.308656
android.sensor.accelerometer,1524162476783,1782915324599478,-0.21068975,3.620033,9.203311
android.sensor.accelerometer,1524162476803,1782915344590103,-0.10534488,3.6391866,9.078813
android.sensor.accelerometer,1524162476823,1782915364580728,-0.1340753,3.6487634,8.944737
android.sensor.accelerometer,1524162476843,1782915384572916,-0.23942018,3.6296098,9.040505
android.sensor.accelerometer,1524162476863,1782915404593228,-0.34476504,3.5242648,9.165004
android.sensor.accelerometer,1524162476883,1782915424585416,-0.38307226,3.5242648,9.289502
android.sensor.accelerometer,1524162476903,1782915444576041,-0.2777274,3.4572272,9.3182335
android.sensor.accelerometer,1524162476923,1782915464597916,-0.40222588,3.572149,9.126697
android.sensor.accelerometer,1524162476943,1782915484590103,-0.45010993,3.514688,9.069236
android.sensor.accelerometer,1524162476963,1782915504579166,-0.45968673,3.514688,9.260772
android.sensor.accelerometer,1524162476983,1782915524571353,-0.37349546,3.4763808,9.385271
android.sensor.accelerometer,1524162477003,1782915544593228,-0.32561144,3.5434184,9.14585
android.sensor.accelerometer,1524162477023,1782915564583853,-0.31603462,3.6008794,8.935161
android.sensor.accelerometer,1524162477043,1782915584574478,-0.29688102,3.5817258,9.030929
android.sensor.accelerometer,1524162477063,1782915604597916,-0.29688102,3.5529952,9.212888
android.sensor.accelerometer,1524162477083,1782915624588541,-0.24899697,3.5242648,9.337387
android.sensor.accelerometer,1524162477103,1782915644577603,-0.19153613,3.5242648,9.241618
android.sensor.accelerometer,1524162477123,1782915664601041,-0.30645782,3.5817258,8.963891
android.sensor.accelerometer,1524162477143,1782915684593228,-0.4213795,3.6104562,8.935161
android.sensor.accelerometer,1524162477163,1782915704582291,-0.4213795,3.5625722,9.088389
