Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162217706,1782656244597916,-0.15322891,6.7708025,7.0102224
android.sensor.accelerometer,1524162217727,1782656264590103,-0.019153614,6.7803793,7.144298
android.sensor.accelerometer,1524162217743,1782656284580728,0.08619126,6.8761473,7.3071036
android.sensor.accelerometer,1524162217763,1782656304571353,0.019153614,6.8569937,7.326257
android.sensor.accelerometer,1524162217783,1782656324593228,-0.11492168,6.789956,7.2209125
android.sensor.accelerometer,1524162217803,1782656344583853,-0.095768064,6.789956,7.1155677
android.sensor.accelerometer,1524162217823,1782656364576041,0.047884032,6.943185,6.9719152
android.sensor.accelerometer,1524162217843,1782656384597916,0.095768064,6.9240313,6.847417
android.sensor.accelerometer,1524162217863,1782656404588541,0.06703765,6.9527617,6.895301
android.sensor.accelerometer,1524162217883,1782656424579166,-0.08619126,6.83784,6.991069
android.sensor.accelerometer,1524162217903,1782656444569791,-0.05746084,6.8186865,7.067683
android.sensor.accelerometer,1524162217923,1782656464593228,0.009576807,6.8186865,7.1251445
android.sensor.accelerometer,1524162217943,1782656484583853,-0.05746084,6.83784,6.9240313
android.sensor.accelerometer,1524162217963,1782656504574478,-0.095768064,6.8282633,6.6750345
android.sensor.accelerometer,1524162217983,1782656524596353,-0.1436521,6.7612257,6.8186865
android.sensor.accelerometer,1524162218003,1782656544588541,-0.20111294,6.8186865,7.2592196
android.sensor.accelerometer,1524162218024,1782656564579166,-0.047884032,6.8282633,7.3549876
android.sensor.accelerometer,1524162218044,1782656584601041,-0.009576807,6.9240313,6.9144545
android.sensor.accelerometer,1524162218064,1782656604591666,-0.24899697,6.885724,6.301539
android.sensor.accelerometer,1524162218084,1782656624582291,-0.4405331,6.8665705,6.2728086
android.sensor.accelerometer,1524162218104,1782656644572916,-0.34476504,6.943185,6.646304
android.sensor.accelerometer,1524162218123,1782656664596353,-0.20111294,7.029376,6.4260373
android.sensor.accelerometer,1524162218144,1782656684586978,-0.545878,7.249643,5.985504
android.sensor.accelerometer,1524162218164,1782656704577603,-0.47884035,7.489063,6.291962
android.sensor.accelerometer,1524162218184,1782656724599478,-1.9728222,7.8912888,7.2209125
android.sensor.accelerometer,1524162218204,1782656744590103,-3.8977604,7.872135,7.422025
android.sensor.accelerometer,1524162218224,1782656764580728,-6.847417,8.954314,4.8267107
android.sensor.accelerometer,1524162218243,1782656784572916,-5.4300494,6.6271505,4.405331
android.sensor.accelerometer,1524162218264,1782656804596353,-2.7581203,7.489063,10.515334
android.sensor.accelerometer,1524162218284,1782656824585416,-1.4652514,8.820239,13.034034
android.sensor.accelerometer,1524162218304,1782656844577603,-1.1971009,8.820239,12.679692
android.sensor.accelerometer,1524162218324,1782656864599478,-0.8331822,8.39886,12.488156
android.sensor.accelerometer,1524162218344,1782656884590103,-0.019153614,8.197746,15.313314
android.sensor.accelerometer,1524162218363,1782656904580728,1.8674773,7.8529816,17.027563
android.sensor.accelerometer,1524162218383,1782656924572916,1.5610195,7.0581064,16.663643
android.sensor.accelerometer,1524162218403,1782656944593228,-1.2258313,6.2823853,15.68681
android.sensor.accelerometer,1524162218423,1782656964583853,-2.9113493,5.90889,14.671668
android.sensor.accelerometer,1524162218443,1782656984574478,-1.3790601,4.951209,13.2351465
android.sensor.accelerometer,1524162218463,1782657004597916,-0.12449849,4.012682,11.176133
android.sensor.accelerometer,1524162218483,1782657024588541,-0.90979666,3.8977604,9.241618
android.sensor.accelerometer,1524162218503,1782657044579166,-2.2026656,3.8402996,8.599973
android.sensor.accelerometer,1524162218523,1782657064571353,-2.5187001,2.3558946,8.341399
android.sensor.accelerometer,1524162218543,1782657084593228,-2.0685902,0.11492168,8.916007
android.sensor.accelerometer,1524162218563,1782657104583853,-0.1436521,-2.882619,8.925584
android.sensor.accelerometer,1524162218583,1782657124574478,1.7908629,-5.8705826,7.4507556
android.sensor.accelerometer,1524162218603,1782657144596353,4.3287168,-7.9870567,5.1523223
android.sensor.accelerometer,1524162218623,1782657164586978,4.8267107,-8.456321,2.432509
android.sensor.accelerometer,1524162218643,1782657184579166,4.4915223,-8.542512,-0.12449849
android.sensor.accelerometer,1524162218663,1782657204601041,3.7541082,-8.992621,-2.72939
