Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162208586,1782647114596353,-0.0016231562,0.042533673,0.036808994
android.sensor.gyroscope,1524162208593,1782647134586978,0.0,0.0,0.0
android.sensor.gyroscope,1524162208613,1782647154577603,0.00816814,-0.00572468,-0.03817035
android.sensor.gyroscope,1524162208633,1782647174601041,0.014451326,-0.024260076,-0.072797686
android.sensor.gyroscope,1524162208653,1782647194591666,0.008447394,-0.048799407,-0.09162979
android.sensor.gyroscope,1524162208673,1782647214582291,0.0076270886,-0.06981317,-0.12243485
android.sensor.gyroscope,1524162208694,1782647234574478,0.00572468,-0.10279989,-0.16198401
android.sensor.gyroscope,1524162208713,1782647254596353,0.0046251225,-0.13526301,-0.19989257
android.sensor.gyroscope,1524162208733,1782647274585416,-0.0013613568,-0.14861478,-0.22060962
android.sensor.gyroscope,1524162208753,1782647294577603,-0.0019024089,-0.17371263,-0.24979152
android.sensor.gyroscope,1524162208773,1782647314599478,-0.0021816615,-0.20151572,-0.2822372
android.sensor.gyroscope,1524162208794,1782647334590103,-0.0019024089,-0.21352358,-0.29724702
android.sensor.gyroscope,1524162208814,1782647354580728,-0.0021816615,-0.21760765,-0.29424506
android.sensor.gyroscope,1524162208834,1782647374572916,-0.0027227136,-0.208881,-0.26860616
android.sensor.gyroscope,1524162208854,1782647394594791,-0.002984513,-0.18924604,-0.24352579
android.sensor.gyroscope,1524162208873,1782647414585416,0.006544985,-0.178617,-0.2271546
android.sensor.gyroscope,1524162208893,1782647434576041,0.030264009,-0.15079644,-0.20343557
android.sensor.gyroscope,1524162208914,1782647454597916,0.059986968,-0.10880382,-0.16198401
android.sensor.gyroscope,1524162208934,1782647474588541,0.08752826,-0.06871361,-0.11725122
android.sensor.gyroscope,1524162208954,1782647494580728,0.09871582,-0.04117232,-0.08344419
android.sensor.gyroscope,1524162208974,1782647514571353,0.09025098,-0.057526052,-0.11398745
android.sensor.gyroscope,1524162208993,1782647534593228,0.10416125,-0.15898204,-0.3111573
android.sensor.gyroscope,1524162209013,1782647554583853,0.12897983,-0.3782303,-0.72075117
android.sensor.gyroscope,1524162209033,1782647574576041,0.16770868,-0.52468085,-1.0319259
android.sensor.gyroscope,1524162209053,1782647594597916,0.15844099,-0.61384976,-1.1960915
android.sensor.gyroscope,1524162209073,1782647614588541,0.10608111,-0.71694636,-1.3204463
android.sensor.gyroscope,1524162209093,1782647634579166,0.048799407,-0.8650201,-1.491698
android.sensor.gyroscope,1524162209113,1782647654571353,-0.0032637657,-1.0807253,-1.7633235
android.sensor.gyroscope,1524162209133,1782647674591666,-0.05534439,-1.3580756,-2.1001198
android.sensor.gyroscope,1524162209153,1782647694582291,-0.08698721,-1.5958767,-2.3234696
android.sensor.gyroscope,1524162209173,1782647714574478,-0.09599311,-1.8028553,-2.513536
android.sensor.gyroscope,1524162209193,1782647734596353,-0.0943525,-2.0496624,-2.7660675
android.sensor.gyroscope,1524162209213,1782647754586978,-0.07826056,-2.305196,-3.0431385
android.sensor.gyroscope,1524162209233,1782647774579166,-0.034906585,-2.4947212,-3.2544806
android.sensor.gyroscope,1524162209253,1782647794601041,-0.025080381,-2.8195095,-3.667635
android.sensor.gyroscope,1524162209273,1782647814591666,-0.044436082,-3.1944935,-4.166415
android.sensor.gyroscope,1524162209293,1782647834582291,-0.06380924,-3.440201,-4.525569
android.sensor.gyroscope,1524162209313,1782647854574478,-0.10826277,-3.576005,-4.7778387
android.sensor.gyroscope,1524162209333,1782647874596353,-0.21134192,-3.6687346,-5.0109973
android.sensor.gyroscope,1524162209353,1782647894586978,-0.31796408,-3.589095,-5.0139995
android.sensor.gyroscope,1524162209373,1782647914577603,-0.45350635,-3.43966,-4.8972716
android.sensor.gyroscope,1524162209393,1782647934599478,-0.6239552,-3.2820218,-4.7145705
android.sensor.gyroscope,1524162209413,1782647954591666,-0.7829372,-3.0483222,-4.4276733
android.sensor.gyroscope,1524162209433,1782647974580728,-0.9585523,-2.7963316,-4.1148753
android.sensor.gyroscope,1524162209453,1782647994572916,-1.1862653,-2.5781655,-3.8048177
android.sensor.gyroscope,1524162209473,1782648014594791,-1.5642513,-2.5558078,-3.5672784
android.sensor.gyroscope,1524162209493,1782648034585416,-2.061932,-2.6444356,-3.287764
android.sensor.gyroscope,1524162209513,1782648054576041,-2.687528,-2.7944293,-2.9335146
android.sensor.gyroscope,1524162209533,1782648074597916,-3.6368299,-3.1055865,-2.4055524
android.sensor.gyroscope,1524162209553,1782648094590103,-4.598122,-3.528288,-1.6054237
android.sensor.gyroscope,1524162209573,1782648114580728,-4.9790926,-3.8702676,-0.83121306
android.sensor.gyroscope,1524162209593,1782648134571353,-4.891547,-4.0385175,-0.29152235
android.sensor.gyroscope,1524162209613,1782648154593228,-4.6957383,-4.159329,0.08970992
android.sensor.gyroscope,1524162209633,1782648174585416,-4.454674,-4.1838684,0.33923966
android.sensor.gyroscope,1524162209653,1782648194576041,-4.1353307,-4.019703,0.4750437
android.sensor.gyroscope,1524162209673,1782648214597916,-3.7963529,-3.7418113,0.53368676
android.sensor.gyroscope,1524162209693,1782648234588541,-3.4748282,-3.4341972,0.57622045
android.sensor.gyroscope,1524162209713,1782648254580728,-3.136409,-3.0916762,0.5601285
android.sensor.gyroscope,1524162209733,1782648274571353,-2.8642423,-2.778058,0.5290442
android.sensor.gyroscope,1524162209753,1782648294591666,-2.6117108,-2.5203602,0.4742234
android.sensor.gyroscope,1524162209773,1782648314583853,-2.4145408,-2.2994714,0.4074122
android.sensor.gyroscope,1524162209793,1782648334574478,-2.2162888,-2.0594885,0.37768924
android.sensor.gyroscope,1524162209813,1782648354596353,-1.9602141,-1.8085974,0.37386698
android.sensor.gyroscope,1524162209833,1782648374588541,-1.6629672,-1.5563276,0.3905174
android.sensor.gyroscope,1524162209853,1782648394577603,-1.4052519,-1.3340774,0.4027871
android.sensor.gyroscope,1524162209873,1782648414601041,-1.1502767,-1.1404505,0.45596728
android.sensor.gyroscope,1524162209893,1782648434591666,-0.8802917,-0.9599311,0.50694835
android.sensor.gyroscope,1524162209913,1782648454582291,-0.62557834,-0.79384553,0.5175948
android.sensor.gyroscope,1524162209934,1782648474572916,-0.4742234,-0.63458425,0.48677233
