Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162432485,1782871024585416,-0.22026655,5.8705826,7.651869
android.sensor.accelerometer,1524162432503,1782871044577603,-0.076614454,5.995081,7.297527
android.sensor.accelerometer,1524162432523,1782871064597916,-0.2681506,6.0238113,7.374141
android.sensor.accelerometer,1524162432543,1782871084590103,-0.60333884,5.995081,7.843405
android.sensor.accelerometer,1524162432563,1782871104580728,-0.5746084,5.9280434,8.350976
android.sensor.accelerometer,1524162432583,1782871124571353,-0.36391866,5.93762,8.264784
android.sensor.accelerometer,1524162432603,1782871144593228,-0.5363012,6.033388,7.517793
android.sensor.accelerometer,1524162432623,1782871164585416,-0.78529817,6.167464,7.201759
android.sensor.accelerometer,1524162432643,1782871184574478,-0.7086837,6.14831,7.6135616
android.sensor.accelerometer,1524162432663,1782871204597916,-0.45968673,6.1100025,8.236053
android.sensor.accelerometer,1524162432683,1782871224588541,-0.2777274,6.081272,8.379706
android.sensor.accelerometer,1524162432703,1782871244579166,-0.31603462,6.0716953,8.2169
android.sensor.accelerometer,1524162432723,1782871264571353,-0.29688102,6.042965,8.073248
android.sensor.accelerometer,1524162432743,1782871284593228,-0.047884032,6.0621185,7.9583263
android.sensor.accelerometer,1524162432763,1782871304583853,0.20111294,6.253655,7.8529816
android.sensor.accelerometer,1524162432783,1782871324574478,0.1340753,6.244078,8.341399
android.sensor.accelerometer,1524162432803,1782871344597916,0.45010993,6.2823853,9.11712
android.sensor.accelerometer,1524162432823,1782871364588541,1.5035586,5.449203,9.634268
android.sensor.accelerometer,1524162432843,1782871384579166,0.25857377,6.0142345,6.943185
android.sensor.accelerometer,1524162432863,1782871404601041,0.7661445,5.257667,5.535394
android.sensor.accelerometer,1524162432883,1782871424591666,0.39264908,5.841852,5.985504
android.sensor.accelerometer,1524162432903,1782871444583853,1.4556746,5.2289367,4.6830587
android.sensor.accelerometer,1524162432923,1782871464574478,1.7525556,4.6830587,6.157887
android.sensor.accelerometer,1524162432943,1782871484596353,2.2218192,4.6830587,7.8146744
android.sensor.accelerometer,1524162432963,1782871504586978,3.6296098,4.548983,9.394848
android.sensor.accelerometer,1524162432983,1782871524577603,2.5187001,4.261679,7.4986396
android.sensor.accelerometer,1524162433003,1782871544599478,0.7661445,4.3861775,7.019799
android.sensor.accelerometer,1524162433023,1782871564590103,2.3558946,3.715801,8.063671
android.sensor.accelerometer,1524162433043,1782871584582291,4.817134,3.7349546,-0.21068975
