Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162416056,1782854594579166,0.0,0.0,0.0
android.sensor.gyroscope,1524162416073,1782854614571353,0.0,0.0,0.0
android.sensor.gyroscope,1524162416093,1782854634593228,0.0,0.0,0.0
android.sensor.gyroscope,1524162416113,1782854654583853,0.0,0.0,0.0
android.sensor.gyroscope,1524162416133,1782854674576041,0.0,0.0,0.0
android.sensor.gyroscope,1524162416153,1782854694597916,0.0,0.0,0.0
android.sensor.gyroscope,1524162416173,1782854714588541,0.015812684,0.016632987,0.032166418
android.sensor.gyroscope,1524162416193,1782854734579166,0.017994344,0.02480113,0.04717625
android.sensor.gyroscope,1524162416213,1782854754571353,0.0,0.0,0.0
android.sensor.gyroscope,1524162416233,1782854774591666,0.012531464,0.016894788,0.033527777
android.sensor.gyroscope,1524162416253,1782854794583853,0.0,0.0,0.0
android.sensor.gyroscope,1524162416273,1782854814574478,0.0,0.0,0.0
android.sensor.gyroscope,1524162416293,1782854834596353,0.006806784,0.017994344,0.034627333
android.sensor.gyroscope,1524162416313,1782854854586978,0.0,0.0,0.0
android.sensor.gyroscope,1524162416333,1782854874577603,0.017174039,0.023177972,0.02698279
android.sensor.gyroscope,1524162416353,1782854894601041,0.008988446,0.032166418,0.045256387
android.sensor.gyroscope,1524162416373,1782854914591666,0.0,0.0,0.0
android.sensor.gyroscope,1524162416393,1782854934582291,-0.006265732,0.016632987,0.035168383
android.sensor.gyroscope,1524162416413,1782854954572916,-0.010088003,0.018535396,0.052080624
android.sensor.gyroscope,1524162416433,1782854974594791,-0.008726646,0.03190462,0.12571606
android.sensor.gyroscope,1524162416453,1782854994585416,-0.0038048178,0.07716101,0.3313333
android.sensor.gyroscope,1524162416473,1782855014577603,0.011711159,0.18434167,0.6945712
android.sensor.gyroscope,1524162416493,1782855034599478,0.032724924,0.29778808,1.079364
android.sensor.gyroscope,1524162416513,1782855054590103,0.059445914,0.40687114,1.4355333
