Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162308751,1782747284580728,0.21068975,6.0142345,7.7093296
android.sensor.accelerometer,1524162308763,1782747304572916,0.17238252,5.985504,7.9104424
android.sensor.accelerometer,1524162308783,1782747324594791,0.24899697,5.9663506,7.9583263
android.sensor.accelerometer,1524162308803,1782747344585416,0.31603462,5.93762,7.6710224
android.sensor.accelerometer,1524162308823,1782747364576041,0.19153613,5.985504,7.747637
android.sensor.accelerometer,1524162308843,1782747384599478,0.17238252,5.9663506,7.8146744
android.sensor.accelerometer,1524162308863,1782747404590103,0.19153613,6.0238113,7.8625584
android.sensor.accelerometer,1524162308883,1782747424579166,0.31603462,5.995081,7.8146744
android.sensor.accelerometer,1524162308903,1782747444571353,0.22984336,6.0142345,7.642292
android.sensor.accelerometer,1524162308923,1782747464594791,0.1340753,6.0046577,7.5465236
android.sensor.accelerometer,1524162308943,1782747484583853,0.25857377,5.9567738,7.680599
android.sensor.accelerometer,1524162308963,1782747504576041,0.40222588,5.9567738,7.747637
android.sensor.accelerometer,1524162308983,1782747524597916,0.32561144,5.995081,7.690176
android.sensor.accelerometer,1524162309003,1782747544588541,0.02873042,6.0046577,7.7572136
android.sensor.accelerometer,1524162309023,1782747564579166,0.1340753,6.042965,8.063671
android.sensor.accelerometer,1524162309043,1782747584569791,0.36391866,6.0046577,8.2169
android.sensor.accelerometer,1524162309063,1782747604593228,0.40222588,6.0046577,7.8625584
android.sensor.accelerometer,1524162309083,1782747624583853,0.46926352,5.9663506,7.5561004
android.sensor.accelerometer,1524162309103,1782747644574478,0.46926352,5.9663506,7.517793
android.sensor.accelerometer,1524162309123,1782747664596353,0.35434186,5.985504,7.7189064
android.sensor.accelerometer,1524162309143,1782747684588541,0.49799395,5.9663506,7.776367
android.sensor.accelerometer,1524162309163,1782747704579166,1.1971009,6.033388,8.073248
android.sensor.accelerometer,1524162309183,1782747724601041,2.27928,5.947197,7.843405
android.sensor.accelerometer,1524162309203,1782747744591666,2.767697,6.0238113,8.197746
android.sensor.accelerometer,1524162309223,1782747764582291,2.8060043,5.401319,7.9104424
android.sensor.accelerometer,1524162309243,1782747784574478,2.6719291,6.081272,7.469909
android.sensor.accelerometer,1524162309263,1782747804596353,2.9975405,5.66947,5.3725886
android.sensor.accelerometer,1524162309283,1782747824586978,4.1659107,5.2289367,3.8594532
android.sensor.accelerometer,1524162309303,1782747844577603,5.2768207,5.6886234,4.357447
android.sensor.accelerometer,1524162309323,1782747864601041,5.707777,4.8362875,4.223372
android.sensor.accelerometer,1524162309343,1782747884591666,7.73806,5.861006,6.4739213
android.sensor.accelerometer,1524162309363,1782747904582291,12.440272,3.9743748,6.2249246
android.sensor.accelerometer,1524162309383,1782747924572916,12.689269,3.8019924,7.536947
android.sensor.accelerometer,1524162309403,1782747944594791,8.590396,4.6351743,8.523358
android.sensor.accelerometer,1524162309423,1782747964585416,10.04607,4.5777135,5.889736
android.sensor.accelerometer,1524162309443,1782747984576041,10.821792,4.9703627,3.6870706
android.sensor.accelerometer,1524162309463,1782748004597916,11.425131,5.0661306,1.8866309
android.sensor.accelerometer,1524162309483,1782748024590103,11.310209,5.133168,2.3558946
android.sensor.accelerometer,1524162309503,1782748044580728,11.33894,4.7309427,4.3766007
android.sensor.accelerometer,1524162309523,1782748064571353,11.061212,3.7541082,7.029376
android.sensor.accelerometer,1524162309543,1782748084593228,9.854534,3.1507695,7.9966335
android.sensor.accelerometer,1524162309563,1782748104583853,8.504205,3.1794999,3.7253778
android.sensor.accelerometer,1524162309583,1782748124576041,8.063671,3.1028855,-0.31603462
android.sensor.accelerometer,1524162309603,1782748144597916,8.37013,3.5242648,-1.6759412
android.sensor.accelerometer,1524162309623,1782748164590103,6.5026517,3.371036,-2.5761611
android.sensor.accelerometer,1524162309643,1782748184580728,3.3135753,2.6719291,-2.0590134
android.sensor.accelerometer,1524162309663,1782748204571353,2.0685902,2.2026656,-2.585738
android.sensor.accelerometer,1524162309683,1782748224593228,0.02873042,1.1875241,-1.7621324
android.sensor.accelerometer,1524162309703,1782748244583853,1.0055647,0.7182605,-3.7732618
android.sensor.accelerometer,1524162309723,1782748264574478,5.583278,0.49799395,-10.342952
