Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162612163,1783050704577603,0.11492168,4.8937483,8.7532015
android.sensor.accelerometer,1524162612183,1783050724599478,0.10534488,4.8937483,8.839393
android.sensor.accelerometer,1524162612203,1783050744590103,0.06703765,4.9416323,8.513782
android.sensor.accelerometer,1524162612223,1783050764580728,0.06703765,4.903325,8.523358
android.sensor.accelerometer,1524162612243,1783050784571353,0.009576807,4.8937483,8.552089
android.sensor.accelerometer,1524162612263,1783050804594791,0.095768064,4.903325,8.169016
android.sensor.accelerometer,1524162612283,1783050824585416,0.12449849,4.9416323,8.226477
android.sensor.accelerometer,1524162612303,1783050844576041,0.10534488,4.9224787,8.647857
android.sensor.accelerometer,1524162612323,1783050864597916,0.02873042,4.9224787,8.724471
android.sensor.accelerometer,1524162612343,1783050884590103,0.18195933,4.903325,8.504205
android.sensor.accelerometer,1524162612363,1783050904580728,0.29688102,4.9224787,8.322245
android.sensor.accelerometer,1524162612383,1783050924571353,0.16280572,4.999093,8.00621
android.sensor.accelerometer,1524162612403,1783050944593228,0.1340753,5.00867,8.101978
android.sensor.accelerometer,1524162612423,1783050964583853,0.17238252,4.9320555,8.437167
android.sensor.accelerometer,1524162612443,1783050984576041,0.17238252,4.960786,8.619126
android.sensor.accelerometer,1524162612463,1783051004597916,0.08619126,4.9224787,8.504205
android.sensor.accelerometer,1524162612483,1783051024588541,0.11492168,4.9799395,8.465898
android.sensor.accelerometer,1524162612503,1783051044579166,0.45968673,4.8841715,8.446744
android.sensor.accelerometer,1524162612523,1783051064569791,0.35434186,4.951209,8.561666
android.sensor.accelerometer,1524162612543,1783051084593228,0.038307227,5.0278234,8.389283
android.sensor.accelerometer,1524162612563,1783051104582291,0.019153614,4.9799395,8.303091
android.sensor.accelerometer,1524162612583,1783051124574478,0.22026655,4.9895163,8.504205
android.sensor.accelerometer,1524162612603,1783051144596353,0.4309563,4.9320555,8.494628
android.sensor.accelerometer,1524162612623,1783051164586978,0.34476504,4.960786,8.647857
android.sensor.accelerometer,1524162612643,1783051184579166,0.21068975,5.0182467,8.619126
android.sensor.accelerometer,1524162612663,1783051204601041,0.12449849,5.00867,8.24563
android.sensor.accelerometer,1524162612683,1783051224591666,0.22984336,4.9224787,8.303091
android.sensor.accelerometer,1524162612703,1783051244582291,0.41180268,4.8745947,8.66701
android.sensor.accelerometer,1524162612723,1783051264574478,0.25857377,4.9224787,8.762778
android.sensor.accelerometer,1524162612743,1783051284594791,0.1436521,4.999093,8.475474
android.sensor.accelerometer,1524162612763,1783051304586978,0.29688102,5.1810527,8.283937
android.sensor.accelerometer,1524162612783,1783051324577603,0.29688102,5.171476,8.379706
android.sensor.accelerometer,1524162612803,1783051344599478,0.1340753,5.2385135,8.695741
android.sensor.accelerometer,1524162612823,1783051364590103,0.47884035,5.5258174,8.90643
android.sensor.accelerometer,1524162612843,1783051384582291,-0.7565677,5.535394,9.720459
android.sensor.accelerometer,1524162612863,1783051404571353,-1.8866309,5.90889,11.204864
android.sensor.accelerometer,1524162612883,1783051424594791,-3.083732,6.3302693,10.630256
android.sensor.accelerometer,1524162612903,1783051444585416,-3.0071173,7.8529816,9.844957
android.sensor.accelerometer,1524162612923,1783051464576041,-0.29688102,8.456321,9.222465
android.sensor.accelerometer,1524162612943,1783051484597916,3.7541082,9.097966,11.808203
android.sensor.accelerometer,1524162612963,1783051504590103,7.833828,9.758766,9.969456
android.sensor.accelerometer,1524162612983,1783051524580728,8.887277,11.425131,8.350976
android.sensor.accelerometer,1524162613003,1783051544571353,8.274361,12.018892,8.935161
android.sensor.accelerometer,1524162613023,1783051564593228,8.523358,12.038046,6.3589997
android.sensor.accelerometer,1524162613043,1783051584583853,8.724471,11.760319,4.2042184
android.sensor.accelerometer,1524162613063,1783051604576041,9.097966,11.559206,3.3135753
android.sensor.accelerometer,1524162613083,1783051624597916,10.409989,10.429143,2.231396
android.sensor.accelerometer,1524162613103,1783051644588541,8.724471,9.950302,1.2641385
android.sensor.accelerometer,1524162613123,1783051664579166,7.1634517,9.030929,-0.06703765
android.sensor.accelerometer,1524162613143,1783051684569791,5.6790466,8.456321,-0.9576807
android.sensor.accelerometer,1524162613163,1783051704591666,3.8594532,7.795521,-1.4652514
android.sensor.accelerometer,1524162613183,1783051724583853,4.156334,7.5082164,-5.2768207
android.sensor.accelerometer,1524162613203,1783051744574478,9.32781,7.1059904,-10.936713
android.sensor.accelerometer,1524162613223,1783051764596353,9.768343,6.349423,-14.901511
android.sensor.accelerometer,1524162613243,1783051784586978,6.5984197,5.544971,-13.101071
android.sensor.accelerometer,1524162613263,1783051804577603,4.232949,4.3478703,-9.921572
android.sensor.accelerometer,1524162613283,1783051824601041,2.27928,3.0550013,-10.381259
android.sensor.accelerometer,1524162613303,1783051844591666,1.7142484,2.1452048,-13.43626
android.sensor.accelerometer,1524162613323,1783051864582291,1.9057846,1.1013328,-14.623784
android.sensor.accelerometer,1524162613343,1783051884572916,1.6567876,0.0,-18.128895
android.sensor.accelerometer,1524162613363,1783051904594791,0.11492168,-0.34476504,-13.599066
android.sensor.accelerometer,1524162613383,1783051924586978,0.2681506,-1.3215994,-11.894394
android.sensor.accelerometer,1524162613403,1783051944577603,0.51714754,-1.8770541,-9.471462
android.sensor.accelerometer,1524162613423,1783051964599478,-0.39264908,-2.384625,-7.431602
android.sensor.accelerometer,1524162613443,1783051984591666,-1.3503298,-2.7581203,-5.659893
android.sensor.accelerometer,1524162613463,1783052004582291,-1.5227122,-3.1890767,-4.4819455
