Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162626258,1783064794580728,0.0070860367,0.0659909,0.016632987
android.sensor.gyroscope,1524162626273,1783064814571353,0.0076270886,0.06571165,0.017453292
android.sensor.gyroscope,1524162626293,1783064834594791,0.0049043754,0.07335619,0.025900686
android.sensor.gyroscope,1524162626313,1783064854585416,0.0035430184,0.052621678,0.019355701
android.sensor.gyroscope,1524162626333,1783064874576041,-0.0016231562,0.036529742,0.015271631
android.sensor.gyroscope,1524162626353,1783064894597916,0.0,0.0,0.0
android.sensor.gyroscope,1524162626373,1783064914590103,0.0,0.0,0.0
android.sensor.gyroscope,1524162626393,1783064934579166,0.0,0.0,0.0
android.sensor.gyroscope,1524162626413,1783064954571353,0.0,0.0,0.0
android.sensor.gyroscope,1524162626433,1783064974593228,0.0,0.0,0.0
android.sensor.gyroscope,1524162626453,1783064994582291,0.0,0.0,0.0
android.sensor.gyroscope,1524162626473,1783065014574478,0.0,0.0,0.0
android.sensor.gyroscope,1524162626493,1783065034597916,-0.017715093,0.03244567,0.013892821
android.sensor.gyroscope,1524162626513,1783065054588541,-0.023439772,0.059986968,0.023177972
android.sensor.gyroscope,1524162626533,1783065074579166,0.0,0.0,0.0
android.sensor.gyroscope,1524162626553,1783065094601041,0.0,0.0,0.0
android.sensor.gyroscope,1524162626573,1783065114591666,0.0,0.0,0.0
android.sensor.gyroscope,1524162626593,1783065134582291,-0.02453933,0.029984757,0.0076270886
android.sensor.gyroscope,1524162626613,1783065154574478,0.0,0.0,0.0
android.sensor.gyroscope,1524162626633,1783065174596353,-0.016894788,0.05290093,0.008447394
android.sensor.gyroscope,1524162626653,1783065194586978,-0.012810716,0.0662527,0.011170107
android.sensor.gyroscope,1524162626673,1783065214577603,-0.011990412,0.06653195,0.011170107
android.sensor.gyroscope,1524162626693,1783065234601041,0.0,0.0,0.0
android.sensor.gyroscope,1524162626713,1783065254591666,-0.016353736,-0.033265974,-0.04225442
android.sensor.gyroscope,1524162626733,1783065274582291,-0.014713125,-0.10662217,-0.082623884
android.sensor.gyroscope,1524162626753,1783065294572916,-0.011990412,-0.3313333,-0.21216223
android.sensor.gyroscope,1524162626773,1783065314596353,-0.022357667,-0.7248527,-0.43877578
android.sensor.gyroscope,1524162626793,1783065334585416,-0.03981096,-0.97600555,-0.56505036
android.sensor.gyroscope,1524162626813,1783065354577603,-0.026441738,-0.9779254,-0.54323375
android.sensor.gyroscope,1524162626833,1783065374599478,-0.016632987,-0.99591976,-0.5066865
android.sensor.gyroscope,1524162626853,1783065394590103,-0.0095294975,-1.029465,-0.4595103
android.sensor.gyroscope,1524162626873,1783065414580728,0.01308997,-1.0469183,-0.4136954
android.sensor.gyroscope,1524162626893,1783065434572916,0.18924604,-0.20289452,0.053162728
android.sensor.gyroscope,1524162626913,1783065454594791,0.4813269,0.50640726,0.32833135
android.sensor.gyroscope,1524162626933,1783065474585416,0.75293505,1.0548246,0.53368676
android.sensor.gyroscope,1524162626953,1783065494576041,0.90483105,1.29945,0.65393996
android.sensor.gyroscope,1524162626973,1783065514597916,1.0403733,1.5827867,0.80583596
android.sensor.gyroscope,1524162626993,1783065534588541,1.2282754,1.9714017,0.9435599
android.sensor.gyroscope,1524162627013,1783065554579166,1.434713,2.173476,0.9593726
android.sensor.gyroscope,1524162627033,1783065574571353,1.5912341,2.158466,0.8952841
android.sensor.gyroscope,1524162627053,1783065594593228,1.7191494,2.0662954,0.81019926
android.sensor.gyroscope,1524162627073,1783065614583853,1.8462267,1.9861149,0.72703433
android.sensor.gyroscope,1524162627093,1783065634574478,1.9591321,1.9323937,0.65393996
android.sensor.gyroscope,1524162627113,1783065654597916,2.0444787,1.8113202,0.5699547
android.sensor.gyroscope,1524162627133,1783065674588541,2.094657,1.6206952,0.47260025
android.sensor.gyroscope,1524162627153,1783065694579166,2.1344678,1.425166,0.37278488
android.sensor.gyroscope,1524162627173,1783065714571353,2.226377,1.2135448,0.2664245
android.sensor.gyroscope,1524162627193,1783065734593228,2.4240878,1.1412708,0.17179276
android.sensor.gyroscope,1524162627213,1783065754582291,2.6722562,0.98965406,0.07443829
android.sensor.gyroscope,1524162627233,1783065774574478,3.1175945,1.194451,0.024260076
android.sensor.gyroscope,1524162627253,1783065794596353,3.5989213,1.3976247,8.0285146E-4
android.sensor.gyroscope,1524162627273,1783065814586978,4.1936946,1.4445218,0.01308997
android.sensor.gyroscope,1524162627293,1783065834577603,4.8923674,1.3504485,0.07934267
android.sensor.gyroscope,1524162627313,1783065854599478,5.5981436,1.1560013,0.21952751
android.sensor.gyroscope,1524162627333,1783065874591666,6.1950984,1.0373714,0.4395961
android.sensor.gyroscope,1524162627353,1783065894582291,6.768596,1.1489153,0.8134805
android.sensor.gyroscope,1524162627373,1783065914574478,7.2864704,1.4344337,1.3616186
android.sensor.gyroscope,1524162627393,1783065934596353,7.383825,1.8394024,1.8492287
android.sensor.gyroscope,1524162627413,1783065954586978,6.9832196,2.070397,2.0210214
android.sensor.gyroscope,1524162627433,1783065974577603,6.4397063,2.081305,1.9340342
android.sensor.gyroscope,1524162627453,1783065994599478,5.959479,2.0204804,1.788404
android.sensor.gyroscope,1524162627473,1783066014591666,5.5168633,1.9558508,1.6286017
android.sensor.gyroscope,1524162627493,1783066034580728,5.0878963,1.8813951,1.411535
android.sensor.gyroscope,1524162627513,1783066054572916,4.7211156,1.7881422,1.1911873
android.sensor.gyroscope,1524162627533,1783066074594791,4.432857,1.6730552,1.0019237
android.sensor.gyroscope,1524162627553,1783066094583853,4.1571474,1.566433,0.82875216
android.sensor.gyroscope,1524162627573,1783066114576041,3.8579805,1.3899802,0.6389476
android.sensor.gyroscope,1524162627593,1783066134599478,3.5430183,1.1513588,0.43987533
android.sensor.gyroscope,1524162627613,1783066154590103,3.2367654,0.92556554,0.27843237
android.sensor.gyroscope,1524162627633,1783066174580728,2.9116979,0.7723082,0.18243927
android.sensor.gyroscope,1524162627653,1783066194571353,2.5956187,0.6697701,0.12189379
android.sensor.gyroscope,1524162627673,1783066214593228,2.2852817,0.6214943,0.08398525
