Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162680047,1783118584590103,0.20111294,9.490616,2.681506
android.sensor.accelerometer,1524162680063,1783118604580728,0.06703765,9.461885,2.4899697
android.sensor.accelerometer,1524162680083,1783118624571353,-0.35434186,9.337387,2.72939
android.sensor.accelerometer,1524162680103,1783118644594791,-0.48841715,9.337387,2.8443117
android.sensor.accelerometer,1524162680123,1783118664583853,-0.2777274,9.308656,2.7006595
android.sensor.accelerometer,1524162680143,1783118684576041,-0.2873042,9.346964,2.6431987
android.sensor.accelerometer,1524162680163,1783118704597916,-0.29688102,9.337387,2.6431987
android.sensor.accelerometer,1524162680183,1783118724588541,-0.20111294,9.251195,2.7102363
android.sensor.accelerometer,1524162680203,1783118744579166,-0.41180268,9.212888,2.777274
android.sensor.accelerometer,1524162680223,1783118764571353,-0.6895301,9.308656,2.8921957
android.sensor.accelerometer,1524162680243,1783118784593228,-0.45010993,9.299079,2.834735
android.sensor.accelerometer,1524162680263,1783118804582291,0.08619126,9.414001,2.719813
android.sensor.accelerometer,1524162680283,1783118824574478,0.18195933,9.471462,2.767697
android.sensor.accelerometer,1524162680303,1783118844596353,0.019153614,9.385271,2.6240451
android.sensor.accelerometer,1524162680323,1783118864586978,-0.047884032,9.394848,2.6144683
android.sensor.accelerometer,1524162680343,1783118884579166,0.8331822,9.624691,2.3080103
android.sensor.accelerometer,1524162680363,1783118904601041,2.0494366,10.141838,1.9153614
android.sensor.accelerometer,1524162680383,1783118924591666,1.8866309,10.534488,2.2122424
android.sensor.accelerometer,1524162680403,1783118944582291,1.9249382,10.888829,2.2888567
android.sensor.accelerometer,1524162680423,1783118964572916,3.1986535,11.741165,3.064578
android.sensor.accelerometer,1524162680443,1783118984596353,2.6048915,12.928689,3.8786068
android.sensor.accelerometer,1524162680463,1783119004586978,1.1971009,14.221559,4.3382936
android.sensor.accelerometer,1524162680483,1783119024577603,-0.6607997,14.901511,4.9895163
android.sensor.accelerometer,1524162680503,1783119044599478,-0.18195933,15.916653,6.9048777
android.sensor.accelerometer,1524162680523,1783119064590103,-0.20111294,14.796166,9.174581
android.sensor.accelerometer,1524162680543,1783119084580728,-1.1204864,12.98615,10.563218
android.sensor.accelerometer,1524162680563,1783119104572916,-2.7485435,11.348516,11.760319
android.sensor.accelerometer,1524162680583,1783119124594791,-5.5162406,10.199299,8.504205
android.sensor.accelerometer,1524162680603,1783119144585416,-7.28795,7.843405,10.1226845
android.sensor.accelerometer,1524162680623,1783119164576041,-8.561666,5.161899,13.838486
android.sensor.accelerometer,1524162680643,1783119184599478,-9.212888,2.9113493,14.614207
android.sensor.accelerometer,1524162680663,1783119204590103,-9.595961,1.0630256,12.459426
android.sensor.accelerometer,1524162680683,1783119224580728,-11.473015,-1.3311762,9.931149
android.sensor.accelerometer,1524162680703,1783119244571353,-13.043611,-3.7828386,9.203311
android.sensor.accelerometer,1524162680723,1783119264593228,-12.641385,-6.1195793,9.203311
android.sensor.accelerometer,1524162680743,1783119284583853,-11.654974,-8.734048,8.925584
android.sensor.accelerometer,1524162680763,1783119304576041,-8.6574335,-11.980585,6.933608
android.sensor.accelerometer,1524162680783,1783119324597916,-7.728483,-13.742718,5.2385135
android.sensor.accelerometer,1524162680803,1783119344588541,-5.7365074,-14.891934,2.7389667
android.sensor.accelerometer,1524162680823,1783119364579166,-3.5051112,-15.610195,0.4213795
android.sensor.accelerometer,1524162680843,1783119384571353,-0.39264908,-16.49126,-0.91937345
android.sensor.accelerometer,1524162680863,1783119404591666,2.1930888,-16.730682,-2.480393
android.sensor.accelerometer,1524162680883,1783119424583853,4.5872903,-16.950949,-5.2768207
android.sensor.accelerometer,1524162680903,1783119444574478,6.0238113,-17.477673,-6.540959
android.sensor.accelerometer,1524162680923,1783119464596353,7.872135,-18.358738,-5.6407394
android.sensor.accelerometer,1524162680943,1783119484586978,9.988609,-19.431341,-4.0797195
android.sensor.accelerometer,1524162680963,1783119504579166,13.819332,-20.791248,-5.6215854
android.sensor.accelerometer,1524162680983,1783119524601041,17.33402,-22.515072,-11.386824
android.sensor.accelerometer,1524162681003,1783119544591666,15.380352,-25.503036,-11.741165
android.sensor.accelerometer,1524162681023,1783119564582291,13.043611,-29.017725,-2.528277
android.sensor.accelerometer,1524162681043,1783119584574478,16.385916,-32.015266,-2.3654714
android.sensor.accelerometer,1524162681063,1783119604596353,23.807941,-36.391865,-12.5743475
android.sensor.accelerometer,1524162681083,1783119624586978,25.73288,-39.992744,-3.6104562
android.sensor.accelerometer,1524162681103,1783119644577603,29.429527,-39.542637,7.52737
android.sensor.accelerometer,1524162681123,1783119664599478,33.672054,-35.223495,5.8226986
android.sensor.accelerometer,1524162681143,1783119684591666,34.07428,-32.609028,3.821146
android.sensor.accelerometer,1524162681163,1783119704580728,34.265816,-31.1342,2.9400797
android.sensor.accelerometer,1524162681183,1783119724572916,34.28497,-30.71282,6.291962
android.sensor.accelerometer,1524162681203,1783119744594791,32.312145,-31.067162,13.781025
android.sensor.accelerometer,1524162681223,1783119764585416,30.693666,-29.956251,15.418659
android.sensor.accelerometer,1524162681243,1783119784576041,28.25158,-28.021736,14.298173
android.sensor.accelerometer,1524162681263,1783119804597916,24.909275,-26.958712,15.179238
android.sensor.accelerometer,1524162681283,1783119824590103,23.549368,-27.686548,15.840038
android.sensor.accelerometer,1524162681303,1783119844580728,22.07454,-26.987442,16.481684
android.sensor.accelerometer,1524162681323,1783119864571353,19.440918,-26.020184,18.598158
android.sensor.accelerometer,1524162681343,1783119884593228,17.678785,-24.621971,19.469648
android.sensor.accelerometer,1524162681363,1783119904585416,17.372328,-24.612394,14.087482
android.sensor.accelerometer,1524162681383,1783119924576041,15.648502,-24.353819,9.835381
android.sensor.accelerometer,1524162681403,1783119944597916,13.388376,-24.095245,10.151415
android.sensor.accelerometer,1524162681423,1783119964588541,10.658986,-23.472754,12.98615
android.sensor.accelerometer,1524162681443,1783119984579166,9.375694,-23.175873,13.168109
android.sensor.accelerometer,1524162681463,1783120004569791,8.8777,-22.112846,9.921572
android.sensor.accelerometer,1524162681483,1783120024593228,9.14585,-20.69548,4.4915223
android.sensor.accelerometer,1524162681503,1783120044583853,7.297527,-18.119318,-0.095768064
android.sensor.accelerometer,1524162681523,1783120064574478,5.161899,-15.68681,-0.38307226
android.sensor.accelerometer,1524162681543,1783120084596353,3.016694,-13.752295,-0.5363012
android.sensor.accelerometer,1524162681563,1783120104588541,2.882619,-11.645397,-2.4420857
android.sensor.accelerometer,1524162681583,1783120124579166,2.0111294,-9.414001,-4.7309427
android.sensor.accelerometer,1524162681603,1783120144601041,2.5761611,-7.345411,-4.367024
android.sensor.accelerometer,1524162681623,1783120164591666,1.7812861,-5.161899,-5.535394
android.sensor.accelerometer,1524162681643,1783120184582291,1.1013328,-2.8634653,-9.56723
android.sensor.accelerometer,1524162681663,1783120204574478,1.6663644,0.30645782,-6.349423
android.sensor.accelerometer,1524162681683,1783120224596353,5.391742,2.6240451,-5.813122
android.sensor.accelerometer,1524162681703,1783120244586978,8.532935,4.6926355,-11.147403
android.sensor.accelerometer,1524162681723,1783120264577603,9.165004,6.397307,-15.112201
android.sensor.accelerometer,1524162681743,1783120284601041,9.643845,7.4507556,-13.752295
android.sensor.accelerometer,1524162681763,1783120304591666,8.418014,8.896853,-9.586384
android.sensor.accelerometer,1524162681783,1783120324582291,7.431602,9.433155,-6.83784
android.sensor.accelerometer,1524162681803,1783120344572916,7.144298,9.3182335,-5.659893
android.sensor.accelerometer,1524162681823,1783120364594791,6.339846,9.643845,-3.2465374
android.sensor.accelerometer,1524162681843,1783120384585416,5.650316,10.01734,-1.3790601
android.sensor.accelerometer,1524162681863,1783120404576041,4.855441,10.304645,-2.5378537
android.sensor.accelerometer,1524162681883,1783120424599478,4.3766007,10.496181,-2.96881
android.sensor.accelerometer,1524162681903,1783120444590103,3.3806129,10.160992,-1.934515
android.sensor.accelerometer,1524162681923,1783120464580728,1.733402,9.691729,0.009576807
android.sensor.accelerometer,1524162681943,1783120484571353,2.6431987,9.682152,0.93852705
android.sensor.accelerometer,1524162681963,1783120504594791,2.9017725,9.576807,0.02873042
android.sensor.accelerometer,1524162681983,1783120524585416,1.1109096,8.868123,-1.5610195
android.sensor.accelerometer,1524162682003,1783120544576041,-0.08619126,8.2169,-1.4460979
android.sensor.accelerometer,1524162682023,1783120564597916,0.31603462,7.297527,0.45968673
android.sensor.accelerometer,1524162682044,1783120584590103,0.82360536,8.025364,5.851429
android.sensor.accelerometer,1524162682064,1783120604580728,-0.4213795,7.881712,6.301539
android.sensor.accelerometer,1524162682083,1783120624571353,-1.8674773,8.025364,4.414908
android.sensor.accelerometer,1524162682103,1783120644593228,-1.0151415,8.734048,3.5625722
android.sensor.accelerometer,1524162682124,1783120664583853,-0.12449849,9.80665,2.719813
android.sensor.accelerometer,1524162682144,1783120684574478,0.2873042,9.107543,0.1436521
android.sensor.accelerometer,1524162682163,1783120704597916,1.1109096,8.523358,3.5913026
android.sensor.accelerometer,1524162682183,1783120724588541,0.11492168,9.643845,9.749189
android.sensor.accelerometer,1524162682204,1783120744579166,0.5363012,9.710882,9.088389
android.sensor.accelerometer,1524162682224,1783120764601041,1.8387469,9.136273,7.9870567
android.sensor.accelerometer,1524162682244,1783120784591666,1.1875241,9.423578,5.6215854
android.sensor.accelerometer,1524162682263,1783120804582291,-0.7661445,9.80665,4.175488
android.sensor.accelerometer,1524162682283,1783120824574478,-0.40222588,9.586384,5.21936
android.sensor.accelerometer,1524162682303,1783120844596353,0.63206923,9.576807,5.5162406
android.sensor.accelerometer,1524162682323,1783120864586978,1.7717092,9.394848,4.6255975
android.sensor.accelerometer,1524162682343,1783120884577603,1.1779473,9.576807,5.3438582
android.sensor.accelerometer,1524162682363,1783120904601041,0.4309563,9.299079,5.717354
android.sensor.accelerometer,1524162682383,1783120924591666,0.4213795,9.050082,4.060566
android.sensor.accelerometer,1524162682403,1783120944582291,0.1436521,9.56723,2.8060043
android.sensor.accelerometer,1524162682423,1783120964572916,0.31603462,9.222465,2.3654714
android.sensor.accelerometer,1524162682443,1783120984596353,0.019153614,9.193734,4.9320555
android.sensor.accelerometer,1524162682463,1783121004586978,-0.1340753,8.628703,5.2863975
android.sensor.accelerometer,1524162682483,1783121024577603,-0.45010993,8.532935,4.0892963
