Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162693375,1783131914594791,-0.011990412,-0.051539574,-0.01881465
android.sensor.gyroscope,1524162693393,1783131934583853,-0.008726646,-0.03626794,-0.013351769
android.sensor.gyroscope,1524162693413,1783131954576041,0.0,0.0,0.0
android.sensor.gyroscope,1524162693433,1783131974597916,0.0,0.0,0.0
android.sensor.gyroscope,1524162693453,1783131994588541,-0.0019024089,-0.03190462,-0.023439772
android.sensor.gyroscope,1524162693473,1783132014579166,-0.0019024089,-0.035168383,-0.017994344
android.sensor.gyroscope,1524162693493,1783132034571353,-0.0046251225,-0.07061602,-0.032724924
android.sensor.gyroscope,1524162693513,1783132054593228,-0.008988446,-0.09897762,-0.04935791
android.sensor.gyroscope,1524162693533,1783132074583853,-0.0010821042,-0.059166662,-0.034627333
android.sensor.gyroscope,1524162693553,1783132094574478,0.0095294975,-0.031346112,-0.022078415
android.sensor.gyroscope,1524162693573,1783132114597916,0.0,0.0,0.0
android.sensor.gyroscope,1524162693593,1783132134588541,0.0,0.0,0.0
android.sensor.gyroscope,1524162693613,1783132154579166,0.025621433,-0.04145157,-0.027541295
android.sensor.gyroscope,1524162693633,1783132174601041,0.017453292,-0.047996555,-0.023439772
android.sensor.gyroscope,1524162693653,1783132194591666,0.0155334305,-0.08180358,-0.02698279
android.sensor.gyroscope,1524162693673,1783132214582291,0.0076270886,-0.038711403,-0.002443461
android.sensor.gyroscope,1524162693693,1783132234574478,0.0,0.0,0.0
android.sensor.gyroscope,1524162693713,1783132254596353,0.0,0.0,0.0
android.sensor.gyroscope,1524162693733,1783132274586978,-0.0016231562,0.08834857,0.05508259
android.sensor.gyroscope,1524162693753,1783132294577603,-0.019355701,0.12571606,0.08344419
android.sensor.gyroscope,1524162693773,1783132314601041,-0.048537605,0.042812925,0.058904864
android.sensor.gyroscope,1524162693793,1783132334591666,-0.09053023,-0.2527935,-0.05454154
android.sensor.gyroscope,1524162693813,1783132354580728,-0.16334537,-0.96319485,-0.35561085
android.sensor.gyroscope,1524162693833,1783132374572916,-0.23670155,-2.2533772,-0.9762848
android.sensor.gyroscope,1524162693853,1783132394594791,-0.23998277,-3.0483222,-1.4707017
android.sensor.gyroscope,1524162693873,1783132414585416,-0.23043582,-3.5708215,-1.9353956
android.sensor.gyroscope,1524162693893,1783132434577603,-0.18734364,-3.7366278,-2.3542745
android.sensor.gyroscope,1524162693913,1783132454599478,-0.110444434,-3.5751848,-2.7123463
android.sensor.gyroscope,1524162693933,1783132474590103,-0.036529742,-3.2670295,-3.001687
android.sensor.gyroscope,1524162693953,1783132494580728,0.029164452,-2.880055,-3.2547598
android.sensor.gyroscope,1524162693973,1783132514572916,0.0662527,-2.4810903,-3.4906585
android.sensor.gyroscope,1524162693993,1783132534594791,0.084264494,-2.0474806,-3.7189126
android.sensor.gyroscope,1524162694013,1783132554583853,0.060528018,-1.6307833,-4.010435
android.sensor.gyroscope,1524162694034,1783132574576041,-0.0109083075,-1.2329006,-4.317508
android.sensor.gyroscope,1524162694054,1783132594599478,-0.10908308,-0.71066314,-4.7003813
android.sensor.gyroscope,1524162694074,1783132614588541,-0.31852257,-0.17235126,-5.2359877
android.sensor.gyroscope,1524162694093,1783132634580728,-0.7417649,0.310337,-5.932479
android.sensor.gyroscope,1524162694113,1783132654571353,-1.4229844,0.7641226,-6.60279
android.sensor.gyroscope,1524162694134,1783132674593228,-2.5950778,1.0616488,-7.1195645
android.sensor.gyroscope,1524162694153,1783132694583853,-6.1021075,-0.2713289,-6.4669857
android.sensor.gyroscope,1524162694174,1783132714574478,8.716279,-3.4655607,-4.0944204
android.sensor.gyroscope,1524162694193,1783132734596353,-8.797262,-4.439402,-3.2732952
android.sensor.gyroscope,1524162694213,1783132754588541,-7.9464145,-4.68675,-2.984513
android.sensor.gyroscope,1524162694233,1783132774579166,-7.0039363,-4.6818457,-2.9073346
android.sensor.gyroscope,1524162694253,1783132794569791,-6.034476,-4.48794,-2.8887818
