Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162765633,1783204174588541,-0.034627333,0.018256145,0.056164697
android.sensor.gyroscope,1524162765653,1783204194580728,-0.041992623,0.017453292,0.074717544
android.sensor.gyroscope,1524162765673,1783204214572916,-0.032166418,-0.013892821,0.043895032
android.sensor.gyroscope,1524162765693,1783204234593228,0.0,0.0,0.0
android.sensor.gyroscope,1524162765713,1783204254585416,-0.03190462,0.012531464,0.059166662
android.sensor.gyroscope,1524162765733,1783204274576041,-0.031084314,0.014713125,0.059166662
android.sensor.gyroscope,1524162765753,1783204294597916,0.0,0.0,0.0
android.sensor.gyroscope,1524162765773,1783204314588541,-0.025359634,-0.0109083075,0.0283616
android.sensor.gyroscope,1524162765793,1783204334579166,-0.03408628,0.009267698,0.05862561
android.sensor.gyroscope,1524162765813,1783204354571353,-0.0286234,0.028082348,0.066811204
android.sensor.gyroscope,1524162765833,1783204374593228,-0.032166418,0.03190462,0.07497934
android.sensor.gyroscope,1524162765853,1783204394582291,-0.024260076,0.026720991,0.05808456
android.sensor.gyroscope,1524162765873,1783204414574478,-0.025900686,0.034348078,0.06517059
android.sensor.gyroscope,1524162765893,1783204434596353,-0.017715093,0.026441738,0.046355944
android.sensor.gyroscope,1524162765913,1783204454586978,-0.017715093,0.05290093,0.06735226
android.sensor.gyroscope,1524162765933,1783204474577603,-0.015271631,0.048537605,0.059166662
android.sensor.gyroscope,1524162765953,1783204494601041,-0.016353736,0.05534439,0.06571165
android.sensor.gyroscope,1524162765973,1783204514591666,-0.016074482,0.05644395,0.06489134
android.sensor.gyroscope,1524162765993,1783204534582291,-0.018535396,0.04907866,0.057805303
android.sensor.gyroscope,1524162766013,1783204554574478,-0.033265974,0.018535396,0.056985
android.sensor.gyroscope,1524162766034,1783204574596353,-0.02480113,-0.026720991,0.015271631
android.sensor.gyroscope,1524162766054,1783204594586978,-0.031346112,-0.06026622,-0.008447394
android.sensor.gyroscope,1524162766074,1783204614577603,-0.025621433,-0.08044223,-0.022619467
android.sensor.gyroscope,1524162766094,1783204634601041,-0.017994344,-0.08916887,-0.030264009
android.sensor.gyroscope,1524162766114,1783204654590103,-0.012810716,-0.054803338,0.0016231562
android.sensor.gyroscope,1524162766134,1783204674580728,-0.0095294975,0.017715093,0.0752586
android.sensor.gyroscope,1524162766153,1783204694572916,0.012810716,0.17697638,0.208881
android.sensor.gyroscope,1524162766173,1783204714594791,0.09871582,1.0826452,1.0103711
android.sensor.gyroscope,1524162766194,1783204734585416,0.10061823,1.320708,1.2282754
android.sensor.gyroscope,1524162766214,1783204754577603,0.08562585,1.2637231,1.181361
android.sensor.gyroscope,1524162766234,1783204774599478,0.07689921,1.2277169,1.1442728
android.sensor.gyroscope,1524162766254,1783204794590103,0.050440013,1.1238174,1.0518227
android.sensor.gyroscope,1524162766273,1783204814580728,-0.023998277,1.0771823,0.99237674
android.sensor.gyroscope,1524162766293,1783204834571353,-0.17779669,1.0450159,0.91273737
android.sensor.gyroscope,1524162766313,1783204854593228,-0.3228859,0.93101096,0.7657632
android.sensor.gyroscope,1524162766333,1783204874583853,-0.36760125,0.6741334,0.5391322
android.sensor.gyroscope,1524162766353,1783204894576041,-0.3905174,0.5424134,0.41041416
android.sensor.gyroscope,1524162766373,1783204914597916,-0.59803706,-0.6907664,-0.64359015
android.sensor.gyroscope,1524162766393,1783204934588541,-0.73111844,-1.9670384,-1.6940515
android.sensor.gyroscope,1524162766413,1783204954579166,-0.7600211,-4.3455906,-3.5792863
android.sensor.gyroscope,1524162766433,1783204974569791,-0.5462182,-6.7429576,-5.560235
android.sensor.gyroscope,1524162766453,1783204994593228,-0.283616,-7.5646234,-6.52343
android.sensor.gyroscope,1524162766473,1783205014583853,-0.09080948,-7.447634,-6.8550425
android.sensor.gyroscope,1524162766493,1783205034574478,0.008988446,-6.8967733,-6.796958
android.sensor.gyroscope,1524162766513,1783205054596353,0.043895032,-6.2567263,-6.607694
android.sensor.gyroscope,1524162766533,1783205074588541,0.029722957,-5.678045,-6.418169
android.sensor.gyroscope,1524162766553,1783205094577603,-0.033807028,-5.1173577,-6.2128134
android.sensor.gyroscope,1524162766573,1783205114601041,-0.14398967,-4.5334926,-5.9881024
android.sensor.gyroscope,1524162766593,1783205134593228,-0.26834437,-3.9337976,-5.7074885
android.sensor.gyroscope,1524162766613,1783205154582291,-0.41123447,-3.3733897,-5.4244137
android.sensor.gyroscope,1524162766633,1783205174574478,-0.5685934,-2.8061578,-5.144899
android.sensor.gyroscope,1524162766653,1783205194596353,-0.69785243,-2.1287432,-4.831822
android.sensor.gyroscope,1524162766673,1783205214586978,-0.88111204,-1.569976,-4.624023
android.sensor.gyroscope,1524162766693,1783205234577603,-1.1707319,-1.1028212,-4.5184827
android.sensor.gyroscope,1524162766713,1783205254599478,-1.5683354,-0.5898515,-4.481133
android.sensor.gyroscope,1524162766733,1783205274590103,-2.1857457,0.03598869,-4.587214
