Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162734188,1783172724579166,-0.32561144,7.4028716,6.1387334
android.sensor.accelerometer,1524162734203,1783172744571353,-0.4405331,7.489063,6.1100025
android.sensor.accelerometer,1524162734223,1783172764591666,-0.45010993,7.489063,6.196194
android.sensor.accelerometer,1524162734243,1783172784583853,-0.4309563,7.4124484,6.5505357
android.sensor.accelerometer,1524162734263,1783172804574478,-0.4405331,7.326257,6.7708025
android.sensor.accelerometer,1524162734283,1783172824597916,-0.45968673,7.422025,6.646304
android.sensor.accelerometer,1524162734303,1783172844586978,-0.32561144,7.517793,6.4739213
android.sensor.accelerometer,1524162734323,1783172864579166,-0.10534488,7.52737,6.3781533
android.sensor.accelerometer,1524162734343,1783172884601041,-0.12449849,7.4603324,6.435614
android.sensor.accelerometer,1524162734363,1783172904591666,-0.095768064,7.4028716,6.5122285
android.sensor.accelerometer,1524162734383,1783172924582291,-0.02873042,7.52737,6.215348
android.sensor.accelerometer,1524162734403,1783172944572916,-0.08619126,7.52737,5.93762
android.sensor.accelerometer,1524162734423,1783172964596353,-0.19153613,7.383718,5.93762
android.sensor.accelerometer,1524162734443,1783172984586978,-0.22026655,7.2783732,6.090849
android.sensor.accelerometer,1524162734463,1783173004577603,-0.30645782,7.335834,6.1004257
android.sensor.accelerometer,1524162734483,1783173024599478,0.8331822,7.872135,5.813122
android.sensor.accelerometer,1524162734503,1783173044590103,1.685518,8.485051,5.2768207
android.sensor.accelerometer,1524162734523,1783173064582291,1.2737153,9.308656,6.0142345
android.sensor.accelerometer,1524162734543,1783173084572916,1.4173675,10.199299,6.301539
android.sensor.accelerometer,1524162734563,1783173104594791,2.4899697,11.118672,6.6079965
android.sensor.accelerometer,1524162734583,1783173124585416,1.9249382,12.105083,8.283937
android.sensor.accelerometer,1524162734603,1783173144576041,1.0630256,13.67568,10.0748005
android.sensor.accelerometer,1524162734623,1783173164597916,0.641646,15.217546,9.883265
android.sensor.accelerometer,1524162734643,1783173184590103,1.2066777,16.318878,8.963891
android.sensor.accelerometer,1524162734663,1783173204580728,1.8962077,16.041151,11.15698
android.sensor.accelerometer,1524162734683,1783173224571353,0.61291564,16.347609,16.290148
android.sensor.accelerometer,1524162734703,1783173244593228,-1.0630256,15.456966,17.24783
android.sensor.accelerometer,1524162734723,1783173264583853,-2.4420857,11.530476,20.743364
android.sensor.accelerometer,1524162734743,1783173284576041,-3.0933087,6.5122285,25.024197
android.sensor.accelerometer,1524162734763,1783173304597916,-1.6567876,1.7621324,26.805483
android.sensor.accelerometer,1524162734783,1783173324590103,-1.6184803,-4.050989,22.084116
android.sensor.accelerometer,1524162734803,1783173344580728,-0.34476504,-6.3685765,16.031574
android.sensor.accelerometer,1524162734823,1783173364571353,2.1452048,-8.274361,9.193734
android.sensor.accelerometer,1524162734843,1783173384593228,5.209783,-9.442732,5.353435
android.sensor.accelerometer,1524162734863,1783173404583853,7.9008656,-9.825804,2.2122424
android.sensor.accelerometer,1524162734883,1783173424574478,10.486604,-9.662998,-6.8665705
android.sensor.accelerometer,1524162734903,1783173444596353,10.505757,-7.1730285,-22.323536
android.sensor.accelerometer,1524162734923,1783173464588541,7.383718,-3.6487634,-39.2266
android.sensor.accelerometer,1524162734943,1783173484579166,3.964798,-0.35434186,-47.855305
android.sensor.accelerometer,1524162734963,1783173504601041,0.641646,0.29688102,-41.189846
android.sensor.accelerometer,1524162734983,1783173524591666,-4.7979803,0.32561144,-29.745562
android.sensor.accelerometer,1524162735003,1783173544582291,-3.5242648,0.8810662,-25.876532
android.sensor.accelerometer,1524162735023,1783173564574478,-1.292869,1.292869,-29.860483
android.sensor.accelerometer,1524162735043,1783173584596353,0.05746084,1.043872,-32.254684
android.sensor.accelerometer,1524162735063,1783173604588541,0.2777274,-0.095768064,-30.693666
android.sensor.accelerometer,1524162735083,1783173624577603,5.257667,-3.2561142,-25.119965
android.sensor.accelerometer,1524162735103,1783173644599478,9.835381,-7.2783732,-15.820885
android.sensor.accelerometer,1524162735123,1783173664591666,13.704411,-11.051635,-3.3327289
android.sensor.accelerometer,1524162735143,1783173684582291,17.927782,-13.445837,7.0581064
android.sensor.accelerometer,1524162735163,1783173704572916,19.096153,-14.642938,15.638926
android.sensor.accelerometer,1524162735183,1783173724594791,17.228676,-13.627796,21.978771
android.sensor.accelerometer,1524162735203,1783173744585416,17.860744,-15.705963,24.813507
android.sensor.accelerometer,1524162735223,1783173764577603,19.191921,-19.52711,33.6529
android.sensor.accelerometer,1524162735243,1783173784599478,16.510414,-19.057846,46.390053
android.sensor.accelerometer,1524162735263,1783173804590103,9.595961,-17.669209,51.5328
android.sensor.accelerometer,1524162735283,1783173824582291,2.3175871,-15.045163,47.424347
android.sensor.accelerometer,1524162735303,1783173844571353,0.2873042,-13.350069,38.29765
android.sensor.accelerometer,1524162735323,1783173864594791,1.685518,-12.306197,26.221296
android.sensor.accelerometer,1524162735343,1783173884583853,2.8060043,-11.243171,16.64449
android.sensor.accelerometer,1524162735363,1783173904576041,5.9663506,-10.352529,13.876793
android.sensor.accelerometer,1524162735383,1783173924597916,8.2169,-11.243171,14.652514
android.sensor.accelerometer,1524162735403,1783173944590103,11.386824,-13.560759,11.176133
android.sensor.accelerometer,1524162735423,1783173964580728,15.638926,-13.215993,5.803545
android.sensor.accelerometer,1524162735443,1783173984571353,21.576546,-10.113108,2.681506
android.sensor.accelerometer,1524162735463,1783174004593228,28.64423,-7.2592196,-6.742072
android.sensor.accelerometer,1524162735483,1783174024583853,37.52193,-2.9783869,-23.740904
android.sensor.accelerometer,1524162735503,1783174044574478,34.9745,2.7581203,-34.90746
android.sensor.accelerometer,1524162735523,1783174064597916,30.042442,6.0046577,-37.93373
android.sensor.accelerometer,1524162735543,1783174084588541,29.946674,6.8761473,-35.45334
android.sensor.accelerometer,1524162735563,1783174104579166,28.653807,6.7229185,-31.019278
android.sensor.accelerometer,1524162735583,1783174124569791,26.81506,5.439626,-33.26025
android.sensor.accelerometer,1524162735603,1783174144593228,25.388115,4.175488,-39.006332
android.sensor.accelerometer,1524162735623,1783174164583853,18.368315,2.9496565,-41.065346
android.sensor.accelerometer,1524162735643,1783174184574478,15.68681,0.7278373,-37.177162
android.sensor.accelerometer,1524162735663,1783174204596353,17.132908,-4.654328,-25.684996
android.sensor.accelerometer,1524162735683,1783174224588541,18.138472,-9.021352,-18.243816
android.sensor.accelerometer,1524162735703,1783174244579166,17.72667,-12.995727,-12.861651
android.sensor.accelerometer,1524162735723,1783174264601041,16.596605,-17.506403,-7.4028716
android.sensor.accelerometer,1524162735743,1783174284591666,17.152061,-20.791248,2.5187001
android.sensor.accelerometer,1524162735763,1783174304582291,16.625336,-20.72421,16.692375
android.sensor.accelerometer,1524162735783,1783174324572916,14.231135,-17.286137,24.162283
android.sensor.accelerometer,1524162735803,1783174344596353,13.40753,-14.757859,23.21418
android.sensor.accelerometer,1524162735823,1783174364585416,14.144943,-13.761871,23.578098
android.sensor.accelerometer,1524162735843,1783174384577603,11.884817,-13.378799,31.469387
android.sensor.accelerometer,1524162735863,1783174404599478,6.885724,-11.511322,40.61524
android.sensor.accelerometer,1524162735883,1783174424590103,3.2082303,-7.9487495,40.66312
android.sensor.accelerometer,1524162735903,1783174444582291,3.2752678,-4.548983,31.24912
android.sensor.accelerometer,1524162735923,1783174464572916,3.7062242,-1.5801731,21.65316
android.sensor.accelerometer,1524162735943,1783174484594791,1.9153614,0.25857377,15.591042
android.sensor.accelerometer,1524162735963,1783174504585416,1.1971009,2.2697031,9.414001
android.sensor.accelerometer,1524162735983,1783174524576041,2.0398598,3.4380736,7.431602
android.sensor.accelerometer,1524162736003,1783174544597916,3.2082303,3.6104562,7.8050976
android.sensor.accelerometer,1524162736023,1783174564588541,3.667917,3.1794999,8.504205
android.sensor.accelerometer,1524162736043,1783174584579166,4.76925,3.5913026,8.801085
android.sensor.accelerometer,1524162736063,1783174604571353,4.1659107,3.1507695,10.151415
android.sensor.accelerometer,1524162736083,1783174624593228,0.36391866,3.8402996,8.580819
android.sensor.accelerometer,1524162736103,1783174644583853,-1.4077905,4.817134,8.025364
android.sensor.accelerometer,1524162736123,1783174664576041,0.545878,4.3861775,7.2592196
android.sensor.accelerometer,1524162736143,1783174684597916,2.8634653,5.4204726,8.130709
android.sensor.accelerometer,1524162736163,1783174704588541,4.5394063,5.45878,6.8665705
android.sensor.accelerometer,1524162736183,1783174724579166,3.5051112,6.167464,5.93762
android.sensor.accelerometer,1524162736203,1783174744571353,3.514688,6.579266,7.489063
android.sensor.accelerometer,1524162736223,1783174764591666,2.72939,6.205771,7.690176
android.sensor.accelerometer,1524162736243,1783174784582291,2.327164,6.215348,6.7133417
android.sensor.accelerometer,1524162736263,1783174804574478,1.7429788,6.3111157,4.817134
android.sensor.accelerometer,1524162736283,1783174824596353,0.7661445,6.7803793,7.0485296
android.sensor.accelerometer,1524162736303,1783174844588541,1.2737153,6.301539,8.350976
android.sensor.accelerometer,1524162736323,1783174864577603,1.3311762,6.579266,7.9583263
android.sensor.accelerometer,1524162736343,1783174884601041,2.3558946,5.851429,8.178593
android.sensor.accelerometer,1524162736363,1783174904591666,2.719813,5.8226986,6.1866174
android.sensor.accelerometer,1524162736383,1783174924582291,0.78529817,6.7708025,4.711789
android.sensor.accelerometer,1524162736403,1783174944574478,-0.46926352,5.755661,6.445191
android.sensor.accelerometer,1524162736423,1783174964594791,-0.5746084,4.9895163,8.695741
