Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162719936,1783158474585416,0.036529742,0.00816814,0.06843436
android.sensor.gyroscope,1524162719953,1783158494577603,0.015271631,-0.0038048178,0.03626794
android.sensor.gyroscope,1524162719973,1783158514599478,0.023998277,-0.008726646,0.06352998
android.sensor.gyroscope,1524162719993,1783158534590103,0.016632987,0.017994344,0.07389724
android.sensor.gyroscope,1524162720013,1783158554580728,0.009808751,0.032986723,0.08044223
android.sensor.gyroscope,1524162720033,1783158574571353,-0.011170107,0.022357667,0.07389724
android.sensor.gyroscope,1524162720053,1783158594593228,-0.02453933,0.013351769,0.06244788
android.sensor.gyroscope,1524162720073,1783158614585416,-0.03598869,0.006806784,0.057805303
android.sensor.gyroscope,1524162720093,1783158634576041,-0.040072758,0.006265732,0.05534439
android.sensor.gyroscope,1524162720113,1783158654597916,-0.032724924,0.0051661744,0.045256387
android.sensor.gyroscope,1524162720133,1783158674588541,-0.041992623,0.008447394,0.053441983
android.sensor.gyroscope,1524162720153,1783158694580728,-0.027262043,0.015271631,0.046617743
android.sensor.gyroscope,1524162720173,1783158714571353,-0.028902652,-0.013892821,0.023177972
android.sensor.gyroscope,1524162720193,1783158734593228,-0.029722957,-0.046076693,-0.012269665
android.sensor.gyroscope,1524162720213,1783158754583853,-0.01881465,-0.07661995,-0.054803338
android.sensor.gyroscope,1524162720233,1783158774574478,-0.016074482,-0.11943288,-0.09925687
android.sensor.gyroscope,1524162720253,1783158794596353,-0.011711159,-0.124354705,-0.11725122
android.sensor.gyroscope,1524162720273,1783158814588541,-0.004363323,-0.09599311,-0.110444434
android.sensor.gyroscope,1524162720293,1783158834579166,-0.011711159,-0.07443829,-0.10608111
android.sensor.gyroscope,1524162720313,1783158854601041,-0.0155334305,0.031625368,-0.017715093
android.sensor.gyroscope,1524162720333,1783158874591666,-0.02289872,0.066811204,0.033527777
android.sensor.gyroscope,1524162720353,1783158894582291,-0.047996555,0.02453933,0.015271631
android.sensor.gyroscope,1524162720373,1783158914574478,-0.071174525,-0.042533673,-0.028082348
android.sensor.gyroscope,1524162720393,1783158934596353,-0.11807153,-0.15325736,-0.10035643
android.sensor.gyroscope,1524162720413,1783158954586978,-0.12489576,-0.2086192,-0.13798574
android.sensor.gyroscope,1524162720433,1783158974577603,-0.105260804,-0.18816395,-0.1229759
android.sensor.gyroscope,1524162720453,1783158994601041,-0.060528018,-0.16989034,-0.10988593
android.sensor.gyroscope,1524162720473,1783159014591666,-0.0038048178,-0.20943952,-0.13308136
android.sensor.gyroscope,1524162720493,1783159034580728,0.08234464,-0.17833774,-0.07716101
android.sensor.gyroscope,1524162720513,1783159054574478,0.1903456,-0.07143632,0.045814894
android.sensor.gyroscope,1524162720533,1783159074594791,0.22579324,-0.1513375,0.034627333
android.sensor.gyroscope,1524162720553,1783159094585416,0.2077989,-0.3086964,-0.040631264
android.sensor.gyroscope,1524162720573,1783159114576041,0.10662217,-0.59939843,-0.198793
android.sensor.gyroscope,1524162720593,1783159134599478,-0.10143854,-1.1118271,-0.4933173
android.sensor.gyroscope,1524162720613,1783159154590103,-0.2617994,-1.7589602,-0.9351125
android.sensor.gyroscope,1524162720633,1783159174580728,-0.32915163,-2.3436456,-1.4041697
android.sensor.gyroscope,1524162720653,1783159194572916,-0.45841074,-3.3720284,-2.276014
android.sensor.gyroscope,1524162720673,1783159214593228,-0.6067637,-4.640115,-3.5116549
