Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162830383,1783268924597916,0.02873042,5.8705826,7.651869
android.sensor.accelerometer,1524162830403,1783268944590103,0.1340753,5.93762,7.680599
android.sensor.accelerometer,1524162830423,1783268964580728,-0.019153614,5.90889,7.565677
android.sensor.accelerometer,1524162830443,1783268984571353,-0.32561144,5.851429,7.8050976
android.sensor.accelerometer,1524162830463,1783269004593228,-0.32561144,5.8322754,8.034941
android.sensor.accelerometer,1524162830483,1783269024585416,-0.02873042,5.793968,8.073248
android.sensor.accelerometer,1524162830503,1783269044576041,0.16280572,5.889736,7.872135
android.sensor.accelerometer,1524162830523,1783269064597916,0.1436521,5.93762,7.795521
android.sensor.accelerometer,1524162830543,1783269084588541,-0.05746084,5.9184666,7.603985
android.sensor.accelerometer,1524162830563,1783269104579166,-0.17238252,5.9184666,7.824251
android.sensor.accelerometer,1524162830583,1783269124571353,0.009576807,5.90889,8.1881695
android.sensor.accelerometer,1524162830603,1783269144593228,0.17238252,5.899313,8.159439
android.sensor.accelerometer,1524162830623,1783269164583853,0.10534488,5.947197,7.6135616
android.sensor.accelerometer,1524162830643,1783269184574478,0.16280572,6.0142345,7.3645644
android.sensor.accelerometer,1524162830663,1783269204596353,0.34476504,6.081272,7.833828
android.sensor.accelerometer,1524162830683,1783269224588541,0.45968673,6.0046577,7.920019
android.sensor.accelerometer,1524162830703,1783269244579166,1.3982137,7.383718,8.207323
android.sensor.accelerometer,1524162830723,1783269264601041,0.94810385,8.408437,10.429143
android.sensor.accelerometer,1524162830743,1783269284591666,3.016694,10.563218,12.516887
android.sensor.accelerometer,1524162830763,1783269304582291,10.984597,11.60709,13.809755
android.sensor.accelerometer,1524162830783,1783269324572916,16.759413,12.689269,15.409082
android.sensor.accelerometer,1524162830803,1783269344594791,17.764977,11.9614315,18.636467
android.sensor.accelerometer,1524162830823,1783269364586978,18.167202,8.619126,22.811954
android.sensor.accelerometer,1524162830843,1783269384577603,16.261417,4.4819455,21.365856
android.sensor.accelerometer,1524162830863,1783269404599478,11.511322,0.34476504,20.800825
android.sensor.accelerometer,1524162830883,1783269424590103,5.5641246,-4.2521024,15.160085
android.sensor.accelerometer,1524162830903,1783269444580728,-0.6895301,-7.9391727,7.699753
android.sensor.accelerometer,1524162830923,1783269464572916,-7.144298,-11.003751,1.4460979
android.sensor.accelerometer,1524162830943,1783269484594791,-14.518439,-16.567875,-3.0550013
android.sensor.accelerometer,1524162830963,1783269504585416,-31.067162,-20.398598,-9.557653
android.sensor.accelerometer,1524162830983,1783269524577603,-48.506527,-21.806389,-14.18325
android.sensor.accelerometer,1524162831003,1783269544599478,-52.557514,-23.568521,-15.284584
android.sensor.accelerometer,1524162831023,1783269564590103,-36.22906,-29.266722,-13.072341
android.sensor.accelerometer,1524162831043,1783269584580728,-17.918205,-33.882744,-7.0006456
android.sensor.accelerometer,1524162831063,1783269604572916,1.4748282,-31.565155,-1.043872
android.sensor.accelerometer,1524162831083,1783269624594791,32.30257,-19.785683,-3.9935284
android.sensor.accelerometer,1524162831103,1783269644583853,59.558163,-0.82360536,20.082563
android.sensor.accelerometer,1524162831123,1783269664574478,77.189064,15.112201,50.374004
android.sensor.accelerometer,1524162831143,1783269684597916,77.22737,24.83266,54.836796
android.sensor.accelerometer,1524162831163,1783269704588541,56.74258,19.488802,41.48673
android.sensor.accelerometer,1524162831183,1783269724579166,32.733524,7.9391727,12.861651
android.sensor.accelerometer,1524162831203,1783269744571353,14.202404,-2.4612393,-11.109096
android.sensor.accelerometer,1524162831223,1783269764593228,0.6895301,-9.787497,-17.99482
android.sensor.accelerometer,1524162831243,1783269784583853,-14.346057,-16.998833,-15.217546
android.sensor.accelerometer,1524162831263,1783269804574478,-35.213917,-22.97476,-12.823344
android.sensor.accelerometer,1524162831283,1783269824596353,-62.823853,-24.095245,-8.580819
android.sensor.accelerometer,1524162831303,1783269844588541,-59.366627,-25.809494,-10.869676
android.sensor.accelerometer,1524162831323,1783269864579166,-37.905003,-31.229967,-10.879252
android.sensor.accelerometer,1524162831343,1783269884601041,-10.91756,-31.115046,-8.054094
android.sensor.accelerometer,1524162831363,1783269904591666,17.592594,-19.929335,-12.401965
android.sensor.accelerometer,1524162831383,1783269924582291,45.25999,-3.4093432,-4.5872903
