Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524162388628,1782827164593228,0.2681506,6.196194,7.5848308
android.sensor.accelerometer,1524162388643,1782827184583853,0.50757074,6.2632318,7.642292
android.sensor.accelerometer,1524162388663,1782827204572916,0.60333884,6.3111157,7.642292
android.sensor.accelerometer,1524162388683,1782827224596353,0.5650316,6.349423,7.5465236
android.sensor.accelerometer,1524162388703,1782827244586978,0.38307226,6.301539,7.335834
android.sensor.accelerometer,1524162388723,1782827264577603,0.35434186,6.4164605,7.1059904
android.sensor.accelerometer,1524162388743,1782827284599478,0.35434186,6.4068837,7.240066
android.sensor.accelerometer,1524162388763,1782827304590103,0.40222588,6.2728086,7.73806
android.sensor.accelerometer,1524162388783,1782827324582291,0.37349546,6.301539,7.489063
android.sensor.accelerometer,1524162388803,1782827344572916,0.17238252,6.4260373,7.2209125
android.sensor.accelerometer,1524162388824,1782827364594791,0.076614454,6.349423,7.4028716
android.sensor.accelerometer,1524162388843,1782827384585416,0.2873042,6.2823853,7.5944076
android.sensor.accelerometer,1524162388863,1782827404577603,0.7469909,6.4164605,7.73806
android.sensor.accelerometer,1524162388883,1782827424599478,0.40222588,6.4547677,7.536947
android.sensor.accelerometer,1524162388903,1782827444590103,0.18195933,6.445191,7.517793
android.sensor.accelerometer,1524162388923,1782827464580728,0.45968673,6.3111157,8.025364
android.sensor.accelerometer,1524162388943,1782827484572916,0.9864111,6.38773,7.3645644
android.sensor.accelerometer,1524162388963,1782827504594791,0.9768343,6.4068837,6.1387334
android.sensor.accelerometer,1524162388983,1782827524583853,0.5267244,6.1770406,5.995081
android.sensor.accelerometer,1524162389003,1782827544576041,-0.61291564,6.1387334,5.6982
android.sensor.accelerometer,1524162389023,1782827564597916,-0.641646,5.1523223,4.2904096
android.sensor.accelerometer,1524162389043,1782827584590103,-1.2449849,5.0374002,3.323152
android.sensor.accelerometer,1524162389063,1782827604579166,-0.38307226,4.405331,3.8019924
android.sensor.accelerometer,1524162389083,1782827624569791,1.8674773,3.122039,3.9552212
android.sensor.accelerometer,1524162389103,1782827644593228,1.7908629,2.5091233,2.681506
android.sensor.accelerometer,1524162389123,1782827664583853,2.1739352,1.5897499,1.2162545
android.sensor.accelerometer,1524162389143,1782827684576041,0.31603462,2.0973208,-2.4133554
android.sensor.accelerometer,1524162389163,1782827704597916,0.019153614,-0.095768064,-5.6790466
android.sensor.accelerometer,1524162389183,1782827724588541,0.7086837,-1.7525556,-5.305551
android.sensor.accelerometer,1524162389203,1782827744579166,2.633622,-3.9264908,-4.1371803
android.sensor.accelerometer,1524162389223,1782827764601041,4.7022123,-5.7365074,-3.9360676
android.sensor.accelerometer,1524162389243,1782827784593228,5.9663506,-8.169016,-5.046977
android.sensor.accelerometer,1524162389263,1782827804583853,7.038953,-11.032481,-4.9320555
android.sensor.accelerometer,1524162389283,1782827824574478,8.2169,-14.020445,-4.012682
android.sensor.accelerometer,1524162389303,1782827844596353,9.643845,-16.960526,-2.432509
android.sensor.accelerometer,1524162389323,1782827864588541,11.061212,-19.804836,-2.1643584
android.sensor.accelerometer,1524162389343,1782827884577603,14.18325,-23.463177,-3.4284968
android.sensor.accelerometer,1524162389363,1782827904601041,16.376339,-27.753586,-4.6926355
android.sensor.accelerometer,1524162389383,1782827924590103,17.985243,-32.29299,-5.765238
android.sensor.accelerometer,1524162389403,1782827944582291,19.191921,-39.954437,-6.655881
android.sensor.accelerometer,1524162389423,1782827964572916,18.157625,-44.369347,-4.453215
android.sensor.accelerometer,1524162389443,1782827984596353,17.180792,-46.06444,-0.4309563
android.sensor.accelerometer,1524162389463,1782828004586978,16.443377,-44.89607,3.7541082
android.sensor.accelerometer,1524162389483,1782828024576041,16.385916,-41.994297,6.3302693
android.sensor.accelerometer,1524162389503,1782828044599478,17.113754,-38.63284,6.1770406
android.sensor.accelerometer,1524162389523,1782828064590103,17.180792,-34.888306,3.064578
android.sensor.accelerometer,1524162389543,1782828084580728,16.97968,-31.344889,-0.2681506
android.sensor.accelerometer,1524162389563,1782828104572916,16.654066,-27.85893,-3.4284968
android.sensor.accelerometer,1524162389583,1782828124594791,16.481684,-25.914839,-4.817134
android.sensor.accelerometer,1524162389603,1782828144583853,14.824897,-24.028208,-4.711789
android.sensor.accelerometer,1524162389623,1782828164576041,12.717999,-23.376986,-4.309563
android.sensor.accelerometer,1524162389643,1782828184597916,11.128249,-22.380997,-2.480393
android.sensor.accelerometer,1524162389663,1782828204590103,10.486604,-20.819979,-0.90979666
android.sensor.accelerometer,1524162389683,1782828224579166,10.745177,-19.249382,-0.50757074
android.sensor.accelerometer,1524162389703,1782828244571353,10.477027,-17.908628,1.7908629
android.sensor.accelerometer,1524162389723,1782828264593228,9.490616,-15.705963,6.981492
android.sensor.accelerometer,1524162389743,1782828284583853,8.647857,-13.522451,9.337387
android.sensor.accelerometer,1524162389763,1782828304576041,8.111555,-11.204864,12.430696
android.sensor.accelerometer,1524162389783,1782828324597916,7.8912888,-9.212888,14.930242
android.sensor.accelerometer,1524162389803,1782828344588541,7.2687964,-7.8050976,14.930242
android.sensor.accelerometer,1524162389823,1782828364579166,5.1810527,-7.326257,18.617311
android.sensor.accelerometer,1524162389843,1782828384571353,2.5761611,-7.2687964,25.244463
android.sensor.accelerometer,1524162389863,1782828404593228,2.9113493,-6.8282633,22.878992
android.sensor.accelerometer,1524162389883,1782828424582291,6.042965,-5.8705826,14.279019
android.sensor.accelerometer,1524162389903,1782828444574478,7.833828,-6.3302693,12.4785795
android.sensor.accelerometer,1524162389923,1782828464596353,8.724471,-8.810662,15.150508
android.sensor.accelerometer,1524162389943,1782828484586978,10.055647,-12.919112,14.834474
android.sensor.accelerometer,1524162389963,1782828504579166,12.583924,-18.138472,10.955867
android.sensor.accelerometer,1524162389983,1782828524601041,15.399506,-24.104822,10.266336
android.sensor.accelerometer,1524162390003,1782828544591666,21.059399,-32.39834,11.003751
android.sensor.accelerometer,1524162390024,1782828564582291,29.410374,-44.75242,10.333375
android.sensor.accelerometer,1524162390044,1782828584574478,38.824375,-67.9666,6.6175733
android.sensor.accelerometer,1524162390064,1782828604594791,37.28251,-78.40532,4.2904096
android.sensor.accelerometer,1524162390084,1782828624586978,43.737278,-78.40532,-4.3957543
android.sensor.accelerometer,1524162390104,1782828644577603,57.240574,-78.40532,-13.599066
android.sensor.accelerometer,1524162390123,1782828664599478,68.895546,-78.40532,-16.19438
android.sensor.accelerometer,1524162390144,1782828684590103,78.16589,-78.40532,-12.105083
android.sensor.accelerometer,1524162390164,1782828704582291,78.22336,-78.40532,-1.7621324
android.sensor.accelerometer,1524162390184,1782828724572916,76.95922,-78.40532,6.3781533
android.sensor.accelerometer,1524162390203,1782828744594791,72.257,-78.40532,3.5529952
android.sensor.accelerometer,1524162390223,1782828764585416,68.7519,-78.40532,-1.6280571
android.sensor.accelerometer,1524162390244,1782828784576041,63.35058,-78.40532,-0.6799533
android.sensor.accelerometer,1524162390263,1782828804597916,57.48957,-78.40532,2.6719291
android.sensor.accelerometer,1524162390283,1782828824590103,51.97333,-78.40532,4.0892963
android.sensor.accelerometer,1524162390303,1782828844580728,44.608765,-77.572136,2.6623523
android.sensor.accelerometer,1524162390323,1782828864571353,33.614594,-67.42072,-0.61291564
android.sensor.accelerometer,1524162390343,1782828884593228,23.118412,-57.518303,-4.223372
android.sensor.accelerometer,1524162390363,1782828904583853,14.326903,-47.941494,1.685518
android.sensor.accelerometer,1524162390383,1782828924576041,12.239159,-45.604755,3.667917
android.sensor.accelerometer,1524162390403,1782828944597916,11.463438,-45.269566,2.0111294
android.sensor.accelerometer,1524162390423,1782828964588541,9.615114,-44.790726,-3.6104562
android.sensor.accelerometer,1524162390443,1782828984580728,6.301539,-43.12436,-14.939818
android.sensor.accelerometer,1524162390463,1782829004569791,0.37349546,-39.006332,-23.865402
android.sensor.accelerometer,1524162390483,1782829024593228,-9.892841,-33.221943,-34.179623
android.sensor.accelerometer,1524162390503,1782829044582291,-22.649149,-27.495012,-43.37336
android.sensor.accelerometer,1524162390523,1782829064574478,-22.285229,-23.942017,-34.42862
android.sensor.accelerometer,1524162390543,1782829084597916,-14.384364,-22.112846,-25.9723
android.sensor.accelerometer,1524162390563,1782829104586978,-5.0661306,-20.456059,-21.844696
android.sensor.accelerometer,1524162390583,1782829124577603,4.6926355,-19.057846,-16.270994
android.sensor.accelerometer,1524162390603,1782829144601041,12.516887,-15.935806,-8.973468
