Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162388638,1782827174571353,0.020717058,0.013631022,0.06380924
android.sensor.gyroscope,1524162388653,1782827194593228,0.020717058,0.013351769,0.06380924
android.sensor.gyroscope,1524162388673,1782827214583853,0.016894788,0.0109083075,0.05235988
android.sensor.gyroscope,1524162388693,1782827234576041,0.0155334305,0.005986479,0.035709437
android.sensor.gyroscope,1524162388713,1782827254599478,0.0,0.0,0.0
android.sensor.gyroscope,1524162388733,1782827274588541,0.0,0.0,0.0
android.sensor.gyroscope,1524162388753,1782827294579166,0.019355701,-2.6179937E-4,0.052621678
android.sensor.gyroscope,1524162388773,1782827314571353,0.017453292,-0.00408407,0.053162728
android.sensor.gyroscope,1524162388793,1782827334593228,0.02125811,-0.019896753,0.047996555
android.sensor.gyroscope,1524162388814,1782827354583853,0.0109083075,-0.0051661744,0.0376293
android.sensor.gyroscope,1524162388834,1782827374574478,0.0155334305,-0.007347836,0.053441983
android.sensor.gyroscope,1524162388853,1782827394596353,0.012810716,-0.017994344,0.032724924
android.sensor.gyroscope,1524162388873,1782827414586978,0.0,0.0,0.0
android.sensor.gyroscope,1524162388893,1782827434579166,0.0,0.0,0.0
android.sensor.gyroscope,1524162388913,1782827454601041,0.0,0.0,0.0
android.sensor.gyroscope,1524162388933,1782827474591666,0.0,0.0,0.0
android.sensor.gyroscope,1524162388953,1782827494582291,-0.0016231562,-0.056164697,-0.0035430184
android.sensor.gyroscope,1524162388973,1782827514574478,-0.0027227136,-0.07689921,-0.012810716
android.sensor.gyroscope,1524162388993,1782827534596353,0.0155334305,-0.045814894,0.048258353
android.sensor.gyroscope,1524162389013,1782827554586978,0.021537364,-0.020717058,0.061627574
android.sensor.gyroscope,1524162389033,1782827574577603,0.015271631,-0.03190462,0.017715093
android.sensor.gyroscope,1524162389053,1782827594601041,0.029443704,-0.056985,-0.023719024
android.sensor.gyroscope,1524162389073,1782827614591666,0.036808994,-0.0095294975,-0.011170107
android.sensor.gyroscope,1524162389093,1782827634582291,0.102538094,-2.6179937E-4,-0.018535396
android.sensor.gyroscope,1524162389113,1782827654574478,0.12761848,0.03817035,0.046076693
android.sensor.gyroscope,1524162389133,1782827674596353,0.1338842,0.053983033,0.106901415
android.sensor.gyroscope,1524162389153,1782827694585416,0.17643534,0.10770427,0.25251424
android.sensor.gyroscope,1524162389173,1782827714577603,0.2920634,0.20833996,0.3487866
android.sensor.gyroscope,1524162389193,1782827734599478,0.3836932,0.25333455,0.40933207
android.sensor.gyroscope,1524162389213,1782827754590103,0.42814672,0.2617994,0.4851317
android.sensor.gyroscope,1524162389233,1782827774580728,0.41259584,0.26834437,0.70685834
android.sensor.gyroscope,1524162389253,1782827794572916,0.40086722,0.35096827,1.1374485
android.sensor.gyroscope,1524162389273,1782827814594791,0.4633151,0.6299417,1.9812105
android.sensor.gyroscope,1524162389293,1782827834585416,0.73902476,1.5053464,3.8293571
android.sensor.gyroscope,1524162389313,1782827854576041,2.5688977,4.0096145,7.951336
android.sensor.gyroscope,1524162389333,1782827874597916,4.8263764,3.7229967,9.936648
android.sensor.gyroscope,1524162389353,1782827894590103,5.9572973,1.3078973,10.102996
android.sensor.gyroscope,1524162389373,1782827914579166,6.044285,-0.72621405,9.568768
android.sensor.gyroscope,1524162389393,1782827934571353,5.6976795,-1.8794928,8.87362
android.sensor.gyroscope,1524162389413,1782827954593228,5.2302456,-2.4516292,8.1509495
android.sensor.gyroscope,1524162389433,1782827974583853,4.7712936,-2.6869867,7.5575376
android.sensor.gyroscope,1524162389453,1782827994574478,4.3712296,-2.67826,7.019767
android.sensor.gyroscope,1524162389473,1782828014597916,4.0786076,-2.529907,6.497791
android.sensor.gyroscope,1524162389493,1782828034588541,3.8743517,-2.374189,5.9572973
android.sensor.gyroscope,1524162389513,1782828054579166,3.7699113,-2.2258358,5.39497
android.sensor.gyroscope,1524162389533,1782828074571353,3.6125524,-2.10094,4.8503747
android.sensor.gyroscope,1524162389553,1782828094593228,3.4445643,-2.0202186,4.326776
android.sensor.gyroscope,1524162389573,1782828114583853,3.3692882,-2.0698383,3.8048177
android.sensor.gyroscope,1524162389593,1782828134574478,3.34721,-2.1974742,3.3035767
android.sensor.gyroscope,1524162389613,1782828154596353,3.307399,-2.2942877,2.8522346
android.sensor.gyroscope,1524162389633,1782828174588541,3.3062994,-2.4260077,2.450006
android.sensor.gyroscope,1524162389653,1782828194579166,3.5070121,-2.727618,2.035211
android.sensor.gyroscope,1524162389673,1782828214599478,3.7971733,-3.1486788,1.6217774
android.sensor.gyroscope,1524162389693,1782828234591666,3.9809737,-3.4868362,1.2686275
android.sensor.gyroscope,1524162389713,1782828254582291,4.0876136,-3.7622666,0.9702809
android.sensor.gyroscope,1524162389733,1782828274572916,4.2586036,-4.1203384,0.6948505
android.sensor.gyroscope,1524162389753,1782828294594791,4.3984914,-4.411861,0.48595202
android.sensor.gyroscope,1524162389773,1782828314585416,4.370671,-4.4549527,0.36596063
android.sensor.gyroscope,1524162389793,1782828334577603,4.2665095,-4.3556786,0.30597368
android.sensor.gyroscope,1524162389813,1782828354599478,4.1609697,-4.2547812,0.2563365
android.sensor.gyroscope,1524162389833,1782828374590103,4.041519,-4.1086097,0.25033256
android.sensor.gyroscope,1524162389853,1782828394580728,3.9046156,-3.8263552,0.3212453
android.sensor.gyroscope,1524162389873,1782828414571353,3.7797198,-3.4830139,0.41996112
android.sensor.gyroscope,1524162389893,1782828434594791,3.6523633,-3.165591,0.4742234
android.sensor.gyroscope,1524162389913,1782828454585416,3.5217428,-2.84651,0.46631706
android.sensor.gyroscope,1524162389933,1782828474576041,3.393845,-2.4870942,0.42268384
android.sensor.gyroscope,1524162389953,1782828494599478,3.2482147,-2.11129,0.36187658
android.sensor.gyroscope,1524162389973,1782828514590103,3.0573106,-1.7794155,0.27488935
android.sensor.gyroscope,1524162389993,1782828534579166,2.8249724,-1.5105126,0.1968906
android.sensor.gyroscope,1524162390013,1782828554571353,2.5844486,-1.2470901,0.12925908
android.sensor.gyroscope,1524162390034,1782828574594791,2.3196473,-1.0215586,0.07661995
android.sensor.gyroscope,1524162390054,1782828594583853,2.0398536,-0.8838347,0.029164452
android.sensor.gyroscope,1524162390074,1782828614574478,1.7627826,-0.8552113,0.08152433
android.sensor.gyroscope,1524162390094,1782828634597916,1.5009831,-0.88411397,0.13824753
android.sensor.gyroscope,1524162390113,1782828654588541,1.2236329,-0.9312902,0.08888962
android.sensor.gyroscope,1524162390133,1782828674579166,0.93811446,-0.9615542,-0.039531708
android.sensor.gyroscope,1524162390154,1782828694571353,0.6847625,-0.95146626,-0.19907226
android.sensor.gyroscope,1524162390174,1782828714591666,0.48895398,-0.8884773,-0.32669073
android.sensor.gyroscope,1524162390193,1782828734582291,0.32915163,-0.7349407,-0.42214277
android.sensor.gyroscope,1524162390213,1782828754574478,0.18133971,-0.59041,-0.47696358
android.sensor.gyroscope,1524162390233,1782828774596353,0.016632987,-0.48377037,-0.49932125
android.sensor.gyroscope,1524162390253,1782828794586978,-0.15707964,-0.36487854,-0.5023232
android.sensor.gyroscope,1524162390273,1782828814577603,-0.36377898,-0.16362461,-0.4886922
android.sensor.gyroscope,1524162390293,1782828834601041,-0.5865877,0.09407324,-0.4646939
android.sensor.gyroscope,1524162390313,1782828854591666,-0.78211695,0.32642892,-0.43004912
android.sensor.gyroscope,1524162390333,1782828874582291,-0.9820095,0.54023176,-0.38833576
android.sensor.gyroscope,1524162390353,1782828894574478,-1.151638,0.7035771,-0.33541736
android.sensor.gyroscope,1524162390373,1782828914594791,-1.2487133,0.8369377,-0.27324873
android.sensor.gyroscope,1524162390393,1782828934586978,-1.2645434,0.91820025,-0.20369738
android.sensor.gyroscope,1524162390413,1782828954577603,-1.2648052,0.9659176,-0.13962634
android.sensor.gyroscope,1524162390433,1782828974599478,-1.2514534,0.9702809,-0.079080865
android.sensor.gyroscope,1524162390453,1782828994590103,-1.2277169,0.9252863,-0.016894788
android.sensor.gyroscope,1524162390473,1782829014582291,-1.1862653,0.8249299,0.047717303
android.sensor.gyroscope,1524162390493,1782829034572916,-1.1202744,0.64385194,0.119991384
android.sensor.gyroscope,1524162390513,1782829054594791,-1.0409144,0.38205257,0.20998056
android.sensor.gyroscope,1524162390533,1782829074585416,-0.9550093,0.10580186,0.2947861
android.sensor.gyroscope,1524162390553,1782829094576041,-0.87210613,-0.12025318,0.33515558
android.sensor.gyroscope,1524162390573,1782829114599478,-0.81430084,-0.24979152,0.34442326
android.sensor.gyroscope,1524162390593,1782829134590103,-0.7567573,-0.31578243,0.35941565
android.sensor.gyroscope,1524162390613,1782829154580728,-0.6645865,-0.3697829,0.38041195
android.sensor.gyroscope,1524162390633,1782829174572916,-0.5334075,-0.4750437,0.41914082
