Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524162872779,1783311314586978,-0.008988446,0.029722957,0.046896998
android.sensor.gyroscope,1524162872793,1783311334577603,-0.0070860367,0.03598869,0.057805303
android.sensor.gyroscope,1524162872813,1783311354601041,-0.007906342,0.040631264,0.0659909
android.sensor.gyroscope,1524162872833,1783311374591666,-0.0076270886,0.046076693,0.07417649
android.sensor.gyroscope,1524162872853,1783311394582291,-0.004363323,0.03598869,0.05808456
android.sensor.gyroscope,1524162872873,1783311414572916,-0.0049043754,0.040893063,0.0662527
android.sensor.gyroscope,1524162872893,1783311434594791,-0.00408407,0.040631264,0.06653195
android.sensor.gyroscope,1524162872913,1783311454586978,-0.0051661744,0.04553564,0.074717544
android.sensor.gyroscope,1524162872933,1783311474577603,2.6179937E-4,0.040893063,0.06653195
android.sensor.gyroscope,1524162872953,1783311494599478,0.0035430184,0.040631264,0.06653195
android.sensor.gyroscope,1524162872973,1783311514590103,0.0021816615,0.029443704,0.047717303
android.sensor.gyroscope,1524162872993,1783311534580728,0.002443461,0.040631264,0.06653195
android.sensor.gyroscope,1524162873013,1783311554571353,-0.0038048178,0.034906585,0.058904864
android.sensor.gyroscope,1524162873033,1783311574594791,-0.0032637657,0.028082348,0.048537605
android.sensor.gyroscope,1524162873053,1783311594585416,-0.0019024089,0.019896753,0.03408628
android.sensor.gyroscope,1524162873073,1783311614576041,-0.002984513,0.027803095,0.048799407
android.sensor.gyroscope,1524162873093,1783311634599478,-0.0019024089,0.019634955,0.034348078
android.sensor.gyroscope,1524162873113,1783311654590103,-0.0070860367,0.019076448,0.033807028
android.sensor.gyroscope,1524162873133,1783311674579166,-0.0046251225,0.019355701,0.03408628
android.sensor.gyroscope,1524162873153,1783311694571353,0.0010821042,0.0286234,0.048258353
android.sensor.gyroscope,1524162873173,1783311714593228,0.02453933,0.0567232,0.092170835
android.sensor.gyroscope,1524162873193,1783311734583853,0.015271631,0.02125811,0.029722957
android.sensor.gyroscope,1524162873213,1783311754574478,0.0,0.0,0.0
