Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711580194,931468770311,-0.22984336,-5.3438582,8.130709
android.sensor.accelerometer,1524711580212,931488762499,-0.20111294,-5.4204726,8.159439
android.sensor.accelerometer,1524711580232,931508753124,-0.25857377,-5.3342814,8.475474
android.sensor.accelerometer,1524711580252,931528743749,-0.22026655,-5.315128,8.599973
android.sensor.accelerometer,1524711580272,931548765624,-0.22984336,-5.315128,8.437167
android.sensor.accelerometer,1524711580292,931568756249,-0.19153613,-5.209783,8.341399
android.sensor.accelerometer,1524711580312,931588748436,-0.22984336,-5.104438,8.446744
android.sensor.accelerometer,1524711580332,931608770311,-0.19153613,-5.1140146,8.590396
android.sensor.accelerometer,1524711580352,931628762499,-0.17238252,-5.2289367,8.676587
android.sensor.accelerometer,1524711580372,931648753124,-0.25857377,-5.315128,8.619126
android.sensor.accelerometer,1524711580392,931668743749,-0.25857377,-5.4300494,8.437167
android.sensor.accelerometer,1524711580412,931688765624,-0.24899697,-5.4300494,8.236053
android.sensor.accelerometer,1524711580432,931708756249,-0.2873042,-5.315128,8.226477
android.sensor.accelerometer,1524711580452,931728746874,-0.2681506,-5.2289367,8.226477
android.sensor.accelerometer,1524711580472,931748770311,-0.20111294,-5.2863975,8.293514
android.sensor.accelerometer,1524711580492,931768760936,-0.1340753,-5.3725886,8.255207
android.sensor.accelerometer,1524711580512,931788751561,-0.1340753,-5.439626,8.312668
android.sensor.accelerometer,1524711580532,931808773436,-0.1340753,-5.2289367,8.283937
android.sensor.accelerometer,1524711580552,931828765624,-0.1436521,-5.0661306,8.283937
android.sensor.accelerometer,1524711580572,931848756249,-0.08619126,-5.133168,8.437167
android.sensor.accelerometer,1524711580592,931868746874,-0.10534488,-5.209783,8.839393
android.sensor.accelerometer,1524711580612,931888768749,-0.1340753,-5.267244,8.619126
android.sensor.accelerometer,1524711580632,931908759374,-0.08619126,-5.3342814,7.9870567
android.sensor.accelerometer,1524711580652,931928749999,-0.095768064,-5.2480903,7.8146744
android.sensor.accelerometer,1524711580672,931948773436,-0.15322891,-5.0661306,8.322245
android.sensor.accelerometer,1524711580692,931968764061,-0.19153613,-5.1235914,8.839393
android.sensor.accelerometer,1524711580712,931988754686,-0.1340753,-5.2768207,8.772355
android.sensor.accelerometer,1524711580732,932008745311,-0.05746084,-5.353435,8.389283
android.sensor.accelerometer,1524711580752,932028768749,-0.06703765,-5.2002063,8.283937
android.sensor.accelerometer,1524711580772,932048757811,-0.1340753,-5.00867,8.341399
android.sensor.accelerometer,1524711580792,932068749999,-0.1436521,-4.999093,8.504205
android.sensor.accelerometer,1524711580812,932088771874,-0.12449849,-5.3247046,8.532935
android.sensor.accelerometer,1524711580832,932108762499,-0.15322891,-5.2768207,8.475474
android.sensor.accelerometer,1524711580852,932128753124,-0.24899697,-5.2002063,8.494628
android.sensor.accelerometer,1524711580872,932148745311,-0.23942018,-5.161899,8.418014
android.sensor.accelerometer,1524711580892,932168767186,-0.23942018,-5.161899,8.350976
android.sensor.accelerometer,1524711580912,932188756249,-0.19153613,-5.21936,8.360553
android.sensor.accelerometer,1524711580932,932208748436,-0.1436521,-5.2959743,8.446744
android.sensor.accelerometer,1524711580952,932228771874,-0.19153613,-5.257667,8.485051
android.sensor.accelerometer,1524711580972,932248762499,-0.20111294,-5.142745,8.408437
android.sensor.accelerometer,1524711580992,932268751561,-0.17238252,-5.133168,8.341399
android.sensor.accelerometer,1524711581011,932288743749,-0.1436521,-5.2959743,8.389283
android.sensor.accelerometer,1524711581031,932308765624,-0.12449849,-5.2385135,8.42759
android.sensor.accelerometer,1524711581052,932328756249,-0.1340753,-5.094861,8.446744
android.sensor.accelerometer,1524711581072,932348748436,-0.11492168,-5.085284,8.42759
android.sensor.accelerometer,1524711581092,932368770311,-0.095768064,-5.161899,8.485051
android.sensor.accelerometer,1524711581111,932388760936,-0.076614454,-5.257667,8.513782
android.sensor.accelerometer,1524711581131,932408751561,-0.02873042,-5.142745,8.389283
android.sensor.accelerometer,1524711581151,932428773436,-0.12449849,-5.056554,8.24563
android.sensor.accelerometer,1524711581171,932448765624,-0.076614454,-5.1140146,8.418014
android.sensor.accelerometer,1524711581192,932468754686,-0.1340753,-5.2959743,8.542512
android.sensor.accelerometer,1524711581211,932488746874,-0.1340753,-5.2768207,8.465898
android.sensor.accelerometer,1524711581232,932508768749,-0.18195933,-5.1140146,8.360553
android.sensor.accelerometer,1524711581252,932528759374,-0.18195933,-5.142745,8.379706
android.sensor.accelerometer,1524711581271,932548749999,-0.16280572,-5.2385135,8.475474
android.sensor.accelerometer,1524711581291,932568773436,-0.17238252,-5.3438582,8.6095495
android.sensor.accelerometer,1524711581311,932588764061,-0.1436521,-5.2959743,8.42759
android.sensor.accelerometer,1524711581331,932608754686,-0.1436521,-5.1523223,8.073248
android.sensor.accelerometer,1524711581352,932628745311,-0.1340753,-5.1906295,8.130709
android.sensor.accelerometer,1524711581371,932648768749,-0.15322891,-5.2385135,8.494628
android.sensor.accelerometer,1524711581391,932668757811,-0.1340753,-5.2002063,8.762778
android.sensor.accelerometer,1524711581411,932688749999,-0.1340753,-5.1906295,8.743625
android.sensor.accelerometer,1524711581431,932708773436,-0.10534488,-5.142745,8.446744
android.sensor.accelerometer,1524711581451,932728762499,-0.047884032,-5.1523223,8.24563
android.sensor.accelerometer,1524711581471,932748753124,-0.038307227,-5.1523223,8.303091
android.sensor.accelerometer,1524711581491,932768745311,-0.095768064,-5.2289367,8.513782
android.sensor.accelerometer,1524711581511,932788767186,-0.17238252,-5.171476,8.504205
