Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711580194,931468770311,0.030543262,0.023177972,0.010088003
android.sensor.gyroscope,1524711580213,931488762499,0.035709437,0.018535396,0.05534439
android.sensor.gyroscope,1524711580233,931508753124,0.020437805,0.0109083075,0.03190462
android.sensor.gyroscope,1524711580253,931528743749,0.037350047,0.02289872,0.034906585
android.sensor.gyroscope,1524711580273,931548765624,0.023719024,0.029722957,-0.0109083075
android.sensor.gyroscope,1524711580294,931568756249,0.028082348,0.04717625,-0.040893063
android.sensor.gyroscope,1524711580313,931588748436,0.0,0.0,0.0
android.sensor.gyroscope,1524711580333,931608770311,0.0,0.0,0.0
android.sensor.gyroscope,1524711580353,931628762499,0.0376293,0.006806784,0.010088003
android.sensor.gyroscope,1524711580373,931648753124,0.053983033,0.015271631,0.004363323
android.sensor.gyroscope,1524711580393,931668743749,0.052080624,0.020176006,-0.0054454273
android.sensor.gyroscope,1524711580413,931688765624,0.0,0.0,0.0
android.sensor.gyroscope,1524711580433,931708756249,0.036808994,0.005986479,0.013351769
android.sensor.gyroscope,1524711580453,931728746874,0.031625368,-0.014172073,0.044174284
android.sensor.gyroscope,1524711580473,931748770311,0.023177972,-0.026441738,0.05862561
android.sensor.gyroscope,1524711580493,931768760936,0.016894788,-0.0283616,0.059986968
android.sensor.gyroscope,1524711580513,931788751561,0.011711159,-0.034348078,0.06899287
android.sensor.gyroscope,1524711580533,931808773436,0.008988446,-0.03817035,0.07826056
android.sensor.gyroscope,1524711580553,931828765624,0.007906342,-0.040352013,0.07716101
android.sensor.gyroscope,1524711580573,931848756249,0.01308997,-0.07417649,0.13226105
android.sensor.gyroscope,1524711580593,931868746874,0.014992379,-0.08452629,0.14835298
android.sensor.gyroscope,1524711580613,931888768749,0.022357667,-0.09489355,0.15053464
android.sensor.gyroscope,1524711580633,931908759374,0.021816615,-0.07990117,0.11398745
android.sensor.gyroscope,1524711580653,931928749999,0.019634955,-0.044174284,0.048258353
android.sensor.gyroscope,1524711580673,931948773436,0.027803095,-0.012531464,-0.025080381
android.sensor.gyroscope,1524711580693,931968764061,0.03244567,-0.011170107,-0.019355701
android.sensor.gyroscope,1524711580713,931988754686,0.033807028,0.007906342,-0.044174284
android.sensor.gyroscope,1524711580733,932008745311,0.02480113,0.0286234,-0.06817256
android.sensor.gyroscope,1524711580753,932028768749,0.02453933,0.052621678,-0.102538094
android.sensor.gyroscope,1524711580773,932048757811,0.0286234,0.049898963,-0.10908308
android.sensor.gyroscope,1524711580793,932068749999,0.023998277,0.053162728,-0.108524576
android.sensor.gyroscope,1524711580813,932088771874,0.020717058,0.053162728,-0.10307915
android.sensor.gyroscope,1524711580833,932108762499,0.022078415,0.048799407,-0.09707521
android.sensor.gyroscope,1524711580853,932128753124,0.016353736,0.044436082,-0.08344419
android.sensor.gyroscope,1524711580873,932148745311,0.023439772,0.037088245,-0.0853466
android.sensor.gyroscope,1524711580893,932168767186,0.019355701,0.040631264,-0.08480555
android.sensor.gyroscope,1524711580913,932188756249,0.02125811,0.019896753,-0.047996555
android.sensor.gyroscope,1524711580933,932208748436,0.029722957,0.017453292,-0.044436082
android.sensor.gyroscope,1524711580953,932228771874,0.022357667,0.029164452,-0.057805303
android.sensor.gyroscope,1524711580973,932248762499,0.03408628,0.04117232,-0.07962192
android.sensor.gyroscope,1524711580993,932268751561,0.022078415,0.035709437,-0.06571165
android.sensor.gyroscope,1524711581013,932288743749,0.023177972,0.023719024,-0.045256387
android.sensor.gyroscope,1524711581033,932308765624,0.028082348,0.029722957,-0.054803338
android.sensor.gyroscope,1524711581054,932328756249,0.03926991,-0.0051661744,0.0
android.sensor.gyroscope,1524711581073,932348748436,0.03926991,-0.0038048178,0.0
android.sensor.gyroscope,1524711581093,932368770311,0.0,0.0,0.0
android.sensor.gyroscope,1524711581113,932388760936,0.020437805,-0.0283616,0.043895032
android.sensor.gyroscope,1524711581133,932408751561,0.0286234,-0.025900686,0.040893063
android.sensor.gyroscope,1524711581153,932428773436,0.018535396,-0.027541295,0.045256387
android.sensor.gyroscope,1524711581173,932448765624,0.027803095,-0.037350047,0.06244788
android.sensor.gyroscope,1524711581193,932468754686,0.0155334305,-0.027541295,0.046355944
android.sensor.gyroscope,1524711581213,932488746874,0.01881465,-0.047996555,0.08098327
android.sensor.gyroscope,1524711581233,932508768749,0.016353736,-0.06925467,0.11534881
android.sensor.gyroscope,1524711581253,932528759374,0.013892821,-0.08290314,0.13824753
android.sensor.gyroscope,1524711581273,932548749999,0.012269665,-0.0662527,0.11126474
android.sensor.gyroscope,1524711581293,932568773436,0.012269665,-0.07143632,0.12079424
android.sensor.gyroscope,1524711581313,932588764061,0.01144936,-0.06544985,0.11180579
android.sensor.gyroscope,1524711581333,932608754686,0.009808751,-0.06544985,0.11180579
android.sensor.gyroscope,1524711581353,932628745311,0.0095294975,-0.07061602,0.12161454
android.sensor.gyroscope,1524711581373,932648768749,0.0076270886,-0.05862561,0.101717785
android.sensor.gyroscope,1524711581393,932668757811,0.002984513,-0.037350047,0.06843436
android.sensor.gyroscope,1524711581413,932688749999,0.002984513,-0.03244567,0.06026622
android.sensor.gyroscope,1524711581433,932708773436,0.0,0.0,0.0
android.sensor.gyroscope,1524711581453,932728762499,0.0,0.0,0.0
android.sensor.gyroscope,1524711581473,932748753124,0.005986479,0.031084314,-0.07143632
android.sensor.gyroscope,1524711581493,932768745311,0.0051661744,0.04717625,-0.10798352
android.sensor.gyroscope,1524711581513,932788767186,0.0046251225,0.05290093,-0.11126474
android.sensor.gyroscope,1524711581533,932808757811,0.0049043754,0.0662527,-0.13034119
android.sensor.gyroscope,1524711581554,932828748436,0.004363323,0.059166662,-0.11562806
android.sensor.gyroscope,1524711581573,932848770311,0.0035430184,0.05644395,-0.10962413
android.sensor.gyroscope,1524711581593,932868760936,0.002984513,0.047996555,-0.09243264
android.sensor.gyroscope,1524711581613,932888753124,0.002443461,0.03544764,-0.069533914
android.sensor.gyroscope,1524711581633,932908743749,0.002443461,0.045814894,-0.084264494
android.sensor.gyroscope,1524711581653,932928765624,0.0021816615,0.038711403,-0.05644395
android.sensor.gyroscope,1524711581673,932948756249,0.0016231562,0.03244567,-0.045814894
android.sensor.gyroscope,1524711581693,932968748436,0.0013613568,0.023177972,-0.032166418
android.sensor.gyroscope,1524711581713,932988770311,0.0019024089,0.044436082,-0.06407104
android.sensor.gyroscope,1524711581733,933008760936,0.0010821042,0.033807028,-0.044715334
android.sensor.gyroscope,1524711581753,933028753124,-0.006806784,0.032724924,-0.04499459
android.sensor.gyroscope,1524711581773,933048743749,-0.010629055,0.034906585,-0.042812925
android.sensor.gyroscope,1524711581793,933068764061,-0.010629055,0.03544764,-0.04225442
android.sensor.gyroscope,1524711581813,933088756249,-0.011170107,0.036808994,-0.040893063
android.sensor.gyroscope,1524711581833,933108746874,-0.022078415,-0.0051661744,0.03244567
android.sensor.gyroscope,1524711581853,933128768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711581873,933148759374,-5.410521E-4,-0.033807028,0.044715334
android.sensor.gyroscope,1524711581893,933168749999,-0.0010821042,-0.050178215,0.07171558
android.sensor.gyroscope,1524711581913,933188773436,0.0,-0.0376293,0.04171337
android.sensor.gyroscope,1524711581933,933208764061,0.0046251225,-0.0662527,0.08888962
android.sensor.gyroscope,1524711581953,933228754686,0.004363323,-0.062168628,0.08344419
android.sensor.gyroscope,1524711581973,933248746874,0.0035430184,-0.045814894,0.06298893
android.sensor.gyroscope,1524711581993,933268767186,0.004363323,-0.06380924,0.09080948
android.sensor.gyroscope,1524711582013,933288757811,0.00408407,-0.059445914,0.0853466
android.sensor.gyroscope,1524711582033,933308749999,0.0032637657,-0.043895032,0.06435029
android.sensor.gyroscope,1524711582053,933328771874,0.0038048178,-0.04907866,0.07225663
android.sensor.gyroscope,1524711582073,933348762499,-8.0285146E-4,-0.02289872,0.032166418
android.sensor.gyroscope,1524711582093,933368753124,-0.0049043754,-0.023439772,0.05071927
android.sensor.gyroscope,1524711582113,933388745311,-0.0054454273,-0.026720991,0.07307693
android.sensor.gyroscope,1524711582133,933408767186,-0.0035430184,-0.009267698,0.03817035
android.sensor.gyroscope,1524711582153,933428757811,0.0,0.0,0.0
android.sensor.gyroscope,1524711582173,933448748436,-0.007347836,0.05534439,0.0054454273
android.sensor.gyroscope,1524711582193,933468771874,0.0,0.0,0.0
android.sensor.gyroscope,1524711582213,933488762499,-8.0285146E-4,0.037891097,-0.04145157
android.sensor.gyroscope,1524711582233,933508753124,0.0,0.0,0.0
