Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711395475,746748753124,-0.79487497,7.086837,6.6271505
android.sensor.accelerometer,1524711395492,746768743749,-0.7278373,7.07726,6.6367273
android.sensor.accelerometer,1524711395512,746788765624,-0.59376204,7.07726,6.6079965
android.sensor.accelerometer,1524711395532,746808756249,-0.60333884,7.086837,6.435614
android.sensor.accelerometer,1524711395552,746828748436,-0.60333884,7.067683,6.0621185
android.sensor.accelerometer,1524711395572,746848768749,-0.8331822,7.0006456,5.592855
android.sensor.accelerometer,1524711395592,746868760936,-0.9576807,7.067683,5.4204726
android.sensor.accelerometer,1524711395612,746888751561,-0.6895301,7.019799,5.8322754
android.sensor.accelerometer,1524711395632,746908773436,-0.31603462,6.981492,6.4643445
android.sensor.accelerometer,1524711395652,746928765624,-0.076614454,6.8282633,7.019799
android.sensor.accelerometer,1524711395672,746948754686,-0.19153613,6.8186865,7.345411
android.sensor.accelerometer,1524711395691,746968746874,-0.23942018,6.8282633,7.642292
android.sensor.accelerometer,1524711395712,746988768749,-0.4405331,6.789956,7.9583263
android.sensor.accelerometer,1524711395732,747008759374,-0.5363012,6.7803793,8.121132
android.sensor.accelerometer,1524711395752,747028749999,-0.46926352,6.8569937,7.747637
android.sensor.accelerometer,1524711395772,747048771874,-0.49799395,6.991069,7.3645644
android.sensor.accelerometer,1524711395792,747068764061,-0.60333884,6.9623384,7.1347213
android.sensor.accelerometer,1524711395812,747088753124,-0.63206923,6.981492,6.8282633
android.sensor.accelerometer,1524711395832,747108745311,-0.46926352,6.943185,6.646304
android.sensor.accelerometer,1524711395852,747128767186,-0.5363012,7.0006456,6.8665705
android.sensor.accelerometer,1524711395872,747148759374,-0.61291564,6.9240313,6.8665705
android.sensor.accelerometer,1524711395892,747168749999,-0.6512229,6.9048777,6.742072
android.sensor.accelerometer,1524711395912,747188771874,-0.7565677,6.8282633,6.9240313
android.sensor.accelerometer,1524711395932,747208762499,-0.7278373,6.751649,7.1730285
android.sensor.accelerometer,1524711395952,747228754686,-0.60333884,6.789956,7.192182
android.sensor.accelerometer,1524711395972,747248745311,-0.641646,6.8282633,7.1730285
android.sensor.accelerometer,1524711395992,747268767186,-0.7086837,6.8091097,7.07726
android.sensor.accelerometer,1524711396012,747288757811,-0.7086837,6.8665705,7.0964136
android.sensor.accelerometer,1524711396032,747308746874,-0.6512229,6.933608,7.1155677
android.sensor.accelerometer,1524711396052,747328770311,-0.80445176,6.9240313,7.2113357
android.sensor.accelerometer,1524711396072,747348762499,-0.842759,6.9144545,7.2783732
android.sensor.accelerometer,1524711396092,747368753124,-0.82360536,7.0581064,7.240066
android.sensor.accelerometer,1524711396112,747388743749,-0.62249243,7.2209125,7.1826053
android.sensor.accelerometer,1524711396132,747408765624,-0.32561144,7.3645644,7.0581064
android.sensor.accelerometer,1524711396152,747428756249,-0.23942018,7.479486,6.885724
android.sensor.accelerometer,1524711396172,747448746874,-0.63206923,7.680599,7.1634517
android.sensor.accelerometer,1524711396192,747468768749,-1.1300632,7.9487495,7.575254
android.sensor.accelerometer,1524711396212,747488760936,-1.3599066,8.130709,7.536947
android.sensor.accelerometer,1524711396232,747508749999,-1.2449849,8.322245,7.3645644
android.sensor.accelerometer,1524711396252,747528773436,-1.2737153,8.446744,7.5561004
android.sensor.accelerometer,1524711396272,747548765624,-1.5993267,8.590396,8.303091
android.sensor.accelerometer,1524711396292,747568756249,-1.982399,8.6574335,8.6574335
android.sensor.accelerometer,1524711396312,747588746874,-2.2026656,8.42759,8.676587
android.sensor.accelerometer,1524711396332,747608768749,-2.1643584,8.695741,9.174581
android.sensor.accelerometer,1524711396352,747628760936,-2.6719291,8.858546,8.63828
android.sensor.accelerometer,1524711396372,747648751561,-3.715801,9.768343,8.552089
android.sensor.accelerometer,1524711396392,747668773436,-2.5187001,7.97748,7.28795
android.sensor.accelerometer,1524711396412,747688762499,-3.2465374,8.207323,8.858546
android.sensor.accelerometer,1524711396432,747708754686,-2.815581,8.283937,7.651869
android.sensor.accelerometer,1524711396452,747728745311,-2.3942018,8.513782,7.536947
android.sensor.accelerometer,1524711396472,747748767186,-2.1260512,8.714894,8.66701
