Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711507173,858448745311,-0.03598869,-0.035709437,-0.023998277
android.sensor.gyroscope,1524711507193,858468767186,-0.043895032,-0.029164452,-0.019634955
android.sensor.gyroscope,1524711507213,858488757811,-0.063268185,-0.02289872,-0.011990412
android.sensor.gyroscope,1524711507233,858508748436,-0.06735226,-0.01144936,-0.0032637657
android.sensor.gyroscope,1524711507253,858528771874,-0.05534439,-0.0095294975,-0.0021816615
android.sensor.gyroscope,1524711507273,858548762499,-0.058346357,-0.032724924,-0.014451326
android.sensor.gyroscope,1524711507293,858568753124,0.0,0.0,0.0
android.sensor.gyroscope,1524711507313,858588743749,-0.04335398,0.019355701,0.07335619
android.sensor.gyroscope,1524711507333,858608765624,-0.045256387,0.048537605,0.124354705
android.sensor.gyroscope,1524711507353,858628756249,-0.036808994,0.06026622,0.14561282
android.sensor.gyroscope,1524711507373,858648749999,-0.031625368,0.07143632,0.1704314
android.sensor.gyroscope,1524711507393,858668770311,-0.026720991,0.08398525,0.18434167
android.sensor.gyroscope,1524711507413,858688762499,-0.023719024,0.12733923,0.24160592
android.sensor.gyroscope,1524711507433,858708751561,-0.025080381,0.12217305,0.23479915
android.sensor.gyroscope,1524711507453,858728743749,-0.017453292,0.14697418,0.27979374
android.sensor.gyroscope,1524711507473,858748765624,-0.011711159,0.26234043,0.4565083
android.sensor.gyroscope,1524711507493,858768756249,-0.00572468,0.3755076,0.6334847
android.sensor.gyroscope,1524711507513,858788746874,0.012531464,0.49113566,0.8371995
android.sensor.gyroscope,1524711507533,858808770311,0.013892821,0.9435599,1.4933386
android.sensor.gyroscope,1524711507553,858828760936,0.1055226,1.3561732,2.2858229
android.sensor.gyroscope,1524711507573,858848751561,0.11098549,1.1810818,2.0275664
android.sensor.gyroscope,1524711507593,858868773436,0.10307915,1.0362892,1.7963103
android.sensor.gyroscope,1524711507613,858888764061,0.11753047,0.9242042,1.6553227
android.sensor.gyroscope,1524711507633,858908754686,0.21270327,0.5533217,1.3316164
android.sensor.gyroscope,1524711507653,858928746874,0.2263343,0.53368676,1.3046336
android.sensor.gyroscope,1524711507673,858948768749,0.2536138,0.49359655,1.2811763
android.sensor.gyroscope,1524711507693,858968760936,0.28251645,0.4036074,1.2195488
android.sensor.gyroscope,1524711507713,858988749999,0.28878218,0.34306192,1.1660894
android.sensor.gyroscope,1524711507733,859008773436,0.28005552,0.32751104,1.1696324
android.sensor.gyroscope,1524711507753,859028764061,0.25905922,0.37414622,1.2386253
android.sensor.gyroscope,1524711507773,859048754686,0.23752186,0.4712389,1.3752496
android.sensor.gyroscope,1524711507793,859068745311,0.23233823,0.46549675,1.4336134
android.sensor.gyroscope,1524711507813,859088768749,0.22933626,0.40851176,1.4357951
android.sensor.gyroscope,1524711507833,859108757811,0.22879522,0.320425,1.4197031
android.sensor.gyroscope,1524711507853,859128749999,0.24134412,0.14535102,1.3439035
android.sensor.gyroscope,1524711507873,859148771874,0.32260665,-0.27296948,1.2787155
android.sensor.gyroscope,1524711507893,859168762499,0.3706032,-0.5483999,1.224715
android.sensor.gyroscope,1524711507913,859188753124,0.425424,-0.7035771,1.2173672
android.sensor.gyroscope,1524711507933,859208745311,0.48377037,-0.8309338,1.1786383
android.sensor.gyroscope,1524711507953,859228767186,0.54459506,-0.9397376,1.0840065
android.sensor.gyroscope,1524711507973,859248757811,0.6062227,-0.9552885,1.0490999
android.sensor.gyroscope,1524711507993,859268748436,0.644393,-0.87456703,0.99892175
android.sensor.gyroscope,1524711508013,859288771874,0.617672,-0.96783745,0.7166671
android.sensor.gyroscope,1524711508033,859308760936,0.60894537,-0.9293878,0.5500405
android.sensor.gyroscope,1524711508054,859328753124,0.8145626,-0.70139545,0.74803066
android.sensor.gyroscope,1524711508073,859348743749,1.1810818,-0.31906363,1.0488207
android.sensor.gyroscope,1524711508093,859368765624,1.7221339,0.3187844,1.382615
