Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711436774,788048749999,1.0534488,3.964798,9.021352
android.sensor.accelerometer,1524711436792,788068771874,1.0247183,3.9073372,9.097966
android.sensor.accelerometer,1524711436811,788088764061,0.9864111,3.86903,9.251195
android.sensor.accelerometer,1524711436831,788108753124,0.9959879,3.8594532,9.088389
android.sensor.accelerometer,1524711436851,788128745311,1.1683705,3.8786068,8.619126
android.sensor.accelerometer,1524711436871,788148768749,1.13964,4.012682,8.647857
android.sensor.accelerometer,1524711436892,788168757811,1.0630256,3.964798,8.973468
android.sensor.accelerometer,1524711436912,788188748436,1.0151415,3.9456444,9.107543
android.sensor.accelerometer,1524711436932,788208771874,1.1013328,3.9360676,8.810662
android.sensor.accelerometer,1524711436952,788228762499,1.1875241,3.916914,8.762778
android.sensor.accelerometer,1524711436972,788248753124,1.1971009,3.9456444,8.992621
android.sensor.accelerometer,1524711436992,788268743749,1.2066777,4.0222588,9.184157
android.sensor.accelerometer,1524711437012,788288767186,1.13964,4.271256,8.992621
android.sensor.accelerometer,1524711437032,788308756249,1.685518,4.453215,8.7053175
android.sensor.accelerometer,1524711437051,788328748436,2.2218192,4.7979803,9.308656
android.sensor.accelerometer,1524711437072,788348770311,4.453215,5.3247046,10.160992
android.sensor.accelerometer,1524711437092,788368760936,5.947197,6.0716953,11.760319
android.sensor.accelerometer,1524711437112,788388751561,7.651869,5.8322754,12.411542
android.sensor.accelerometer,1524711437132,788408743749,9.844957,5.0278234,13.790602
android.sensor.accelerometer,1524711437152,788428765624,13.522451,4.7979803,14.978126
android.sensor.accelerometer,1524711437172,788448756249,15.198392,3.9073372,14.259866
android.sensor.accelerometer,1524711437192,788468748436,16.031574,2.8634653,9.548077
android.sensor.accelerometer,1524711437212,788488770311,17.152061,1.9057846,6.0238113
android.sensor.accelerometer,1524711437232,788508760936,17.879898,0.7374141,8.073248
android.sensor.accelerometer,1524711437252,788528751561,16.615759,-0.16280572,6.694188
android.sensor.accelerometer,1524711437272,788548773436,16.089035,-0.82360536,6.694188
android.sensor.accelerometer,1524711437292,788568765624,15.571888,-1.6950948,8.896853
android.sensor.accelerometer,1524711437312,788588756249,14.614207,-2.5761611,10.572795
