Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711428993,780268745311,0.0,0.0,0.0
android.sensor.gyroscope,1524711429013,780288767186,0.002443461,-0.033265974,-0.07061602
android.sensor.gyroscope,1524711429033,780308759374,0.0021816615,-0.036808994,-0.07934267
android.sensor.gyroscope,1524711429053,780328748436,0.0019024089,-0.023719024,-0.05071927
android.sensor.gyroscope,1524711429073,780348771874,0.0,0.0,0.0
android.sensor.gyroscope,1524711429093,780368762499,0.0,0.0,0.0
android.sensor.gyroscope,1524711429113,780388753124,0.0,0.0,0.0
android.sensor.gyroscope,1524711429133,780408745311,0.0035430184,-0.024260076,-0.050440013
android.sensor.gyroscope,1524711429153,780428767186,0.006265732,-0.033807028,-0.07007497
android.sensor.gyroscope,1524711429174,780448757811,0.008988446,-0.040893063,-0.08644616
android.sensor.gyroscope,1524711429194,780468748436,0.010088003,-0.044715334,-0.0935322
android.sensor.gyroscope,1524711429214,780488771874,0.0054454273,-0.049898963,-0.10662217
android.sensor.gyroscope,1524711429234,780508762499,0.0038048178,-0.057526052,-0.1227141
android.sensor.gyroscope,1524711429254,780528753124,0.0035430184,-0.057526052,-0.1227141
android.sensor.gyroscope,1524711429273,780548743749,0.0027227136,-0.05534439,-0.11780973
android.sensor.gyroscope,1524711429294,780568765624,0.007906342,-0.040893063,-0.08644616
android.sensor.gyroscope,1524711429313,780588757811,0.008447394,-0.043895032,-0.09407324
android.sensor.gyroscope,1524711429333,780608748436,0.007906342,-0.040352013,-0.08670796
android.sensor.gyroscope,1524711429353,780628768749,0.006544985,-0.036808994,-0.079080865
android.sensor.gyroscope,1524711429373,780648760936,0.009808751,-0.0286234,-0.061348323
android.sensor.gyroscope,1524711429393,780668751561,0.025900686,-0.022078415,-0.044715334
android.sensor.gyroscope,1524711429413,780688743749,0.0,0.0,0.0
android.sensor.gyroscope,1524711429433,780708765624,0.03244567,-0.036529742,-0.07253588
android.sensor.gyroscope,1524711429453,780728754686,0.022619467,-0.014451326,-0.028902652
android.sensor.gyroscope,1524711429473,780748746874,0.027262043,-0.02125811,-0.044436082
android.sensor.gyroscope,1524711429493,780768768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711429513,780788760936,0.031625368,-0.020717058,-0.0109083075
android.sensor.gyroscope,1524711429533,780808751561,0.021537364,-0.006265732,0.03244567
android.sensor.gyroscope,1524711429554,780828773436,0.049619712,0.0038048178,0.16388641
android.sensor.gyroscope,1524711429573,780848764061,0.051801372,0.025621433,0.3029717
android.sensor.gyroscope,1524711429593,780868754686,0.046617743,0.058346357,0.43523276
android.sensor.gyroscope,1524711429613,780888746874,0.040352013,0.08208284,0.5503198
android.sensor.gyroscope,1524711429633,780908767186,0.04171337,0.09162979,0.6754948
android.sensor.gyroscope,1524711429653,780928759374,0.06462954,0.0662527,0.76930624
android.sensor.gyroscope,1524711429673,780948749999,0.11616912,0.035168383,0.99646086
android.sensor.gyroscope,1524711429693,780968771874,0.18434167,-0.034627333,1.2743522
android.sensor.gyroscope,1524711429713,780988762499,0.22034782,-0.11016518,1.3869783
android.sensor.gyroscope,1524711429733,781008753124,0.22961551,-0.16224581,1.4303497
android.sensor.gyroscope,1524711429755,781028745311,0.24024457,-0.20289452,1.454348
android.sensor.gyroscope,1524711429773,781048767186,0.2645221,-0.24160592,1.5713373
android.sensor.gyroscope,1524711429793,781068757811,0.3111573,-0.29942867,1.6547816
android.sensor.gyroscope,1524711429813,781088749999,0.38397244,-0.4036074,1.702237
android.sensor.gyroscope,1524711429833,781108770311,0.46169195,-0.53232545,1.7019578
android.sensor.gyroscope,1524711429855,781128760936,0.5306848,-0.6294006,1.7330421
android.sensor.gyroscope,1524711429873,781148753124,0.5846853,-0.6566801,1.7867808
android.sensor.gyroscope,1524711429893,781168743749,0.62967986,-0.61276764,1.8614984
android.sensor.gyroscope,1524711429913,781188765624,0.6779382,-0.5699547,1.9220438
android.sensor.gyroscope,1524711429933,781208757811,0.76030034,-0.59203315,2.0079315
android.sensor.gyroscope,1524711429955,781228748436,0.8742878,-0.593953,2.070397
android.sensor.gyroscope,1524711429973,781248770311,1.0139141,-0.48651052,2.1636498
android.sensor.gyroscope,1524711429993,781268760936,1.1963534,-0.36760125,2.2901862
android.sensor.gyroscope,1524711430013,781288751561,1.3387198,-0.38669515,2.305737
android.sensor.gyroscope,1524711430033,781308743749,1.4521663,-0.42896703,2.2367442
android.sensor.gyroscope,1524711430053,781328765624,1.5849684,-0.51541317,2.174017
android.sensor.gyroscope,1524711430073,781348756249,1.8034137,-0.5497787,2.2359238
android.sensor.gyroscope,1524711430093,781368746874,1.9861149,-0.5462182,2.2983718
android.sensor.gyroscope,1524711430113,781388768749,2.0807467,-0.5175948,2.3139226
android.sensor.gyroscope,1524711430133,781408759374,2.163929,-0.5612281,2.2953699
android.sensor.gyroscope,1524711430154,781428751561,2.2468321,-0.72375315,2.2389257
android.sensor.gyroscope,1524711430173,781448773436,2.371728,-0.868022,2.2596428
android.sensor.gyroscope,1524711430193,781468764061,2.4669008,-0.89202034,2.331917
android.sensor.gyroscope,1524711430213,781488754686,2.4360957,-0.99838066,2.3523722
android.sensor.gyroscope,1524711430233,781508746874,2.3305557,-1.3253506,2.3534544
android.sensor.gyroscope,1524711430253,781528767186,2.2773755,-1.514876,2.470182
android.sensor.gyroscope,1524711430273,781548759374,2.2274764,-1.6059647,2.64934
android.sensor.gyroscope,1524711430293,781568749999,2.1565638,-1.6471545,2.8587794
android.sensor.gyroscope,1524711430313,781588771874,2.1290224,-1.5107919,3.0660374
android.sensor.gyroscope,1524711430333,781608764061,2.1284814,-1.2219923,3.2097652
android.sensor.gyroscope,1524711430355,781628753124,2.1391103,-0.90102625,3.2752151
android.sensor.gyroscope,1524711430373,781648745311,2.1208367,-0.65830326,3.2880259
android.sensor.gyroscope,1524711430393,781668767186,2.0562072,-0.5841268,3.2247577
android.sensor.gyroscope,1524711430413,781688757811,1.9542103,-0.6457718,3.0832288
android.sensor.gyroscope,1524711430433,781708748436,1.8514104,-0.73357934,2.9250495
android.sensor.gyroscope,1524711430453,781728771874,1.7780541,-0.7417649,2.7996128
android.sensor.gyroscope,1524711430473,781748762499,1.7235126,-0.7139444,2.7366064
android.sensor.gyroscope,1524711430493,781768753124,1.6711527,-0.74448764,2.6667933
android.sensor.gyroscope,1524711430513,781788743749,1.6291426,-0.8309338,2.582267
android.sensor.gyroscope,1524711430533,781808767186,1.5536048,-0.8950223,2.4712641
android.sensor.gyroscope,1524711430553,781828756249,1.4535277,-0.89938563,2.3572767
android.sensor.gyroscope,1524711430573,781848748436,1.3733473,-0.9061924,2.259922
android.sensor.gyroscope,1524711430593,781868770311,1.2601801,-0.9067509,2.187107
android.sensor.gyroscope,1524711430613,781888762499,1.0935535,-0.88601637,2.1257412
android.sensor.gyroscope,1524711430633,781908751561,0.9187413,-0.81238097,2.0632932
android.sensor.gyroscope,1524711430653,781928743749,0.72457343,-0.70794046,1.9760269
android.sensor.gyroscope,1524711430673,781948765624,0.48104766,-0.5887694,1.8789517
android.sensor.gyroscope,1524711430693,781968756249,0.24270548,-0.4712389,1.781318
android.sensor.gyroscope,1524711430713,781988748436,0.056985,-0.34388223,1.6785005
android.sensor.gyroscope,1524711430733,782008770311,-0.118350774,-0.2170666,1.5726987
android.sensor.gyroscope,1524711430755,782028760936,-0.29969049,-0.06517059,1.4698814
android.sensor.gyroscope,1524711430773,782048751561,-0.44205698,0.08726646,1.3807125
android.sensor.gyroscope,1524711430793,782068773436,-0.5467768,0.18598229,1.3149834
android.sensor.gyroscope,1524711430813,782088765624,-0.630762,0.22961551,1.2694478
android.sensor.gyroscope,1524711430833,782108754686,-0.6809402,0.21352358,1.2225333
android.sensor.gyroscope,1524711430855,782128746874,-0.70629984,0.16388641,1.16773
android.sensor.gyroscope,1524711430873,782148768749,-0.67467445,0.09080948,1.1156319
android.sensor.gyroscope,1524711430893,782168759374,-0.6045821,0.006265732,1.0744596
android.sensor.gyroscope,1524711430913,782188749999,-0.5486792,-0.0946143,1.036551
android.sensor.gyroscope,1524711430934,782208773436,-0.53586847,-0.22279128,1.020459
android.sensor.gyroscope,1524711430956,782228764061,-0.5194973,-0.4000469,1.0049257
android.sensor.gyroscope,1524711430973,782248753124,-0.4646939,-0.5740388,0.9871931
android.sensor.gyroscope,1524711430993,782268745311,-0.38015017,-0.75565773,0.97520274
android.sensor.gyroscope,1524711431013,782288767186,-0.27296948,-0.98611104,0.9640151
android.sensor.gyroscope,1524711431033,782308757811,-0.1603434,-1.289903,0.9269269
android.sensor.gyroscope,1524711431054,782328748436,-0.017453292,-1.702237,0.83065456
android.sensor.gyroscope,1524711431074,782348771874,0.11126474,-2.1533,0.6825808
android.sensor.gyroscope,1524711431094,782368762499,0.18462093,-2.4985435,0.52141714
android.sensor.gyroscope,1524711431115,782388753124,0.24788912,-2.8023355,0.35287067
android.sensor.gyroscope,1524711431135,782408745311,0.3119776,-3.0946782,0.14753269
android.sensor.gyroscope,1524711431157,782428767186,0.31988394,-3.2866645,-0.053721234
android.sensor.gyroscope,1524711431175,782448756249,0.24951227,-3.294309,-0.19278906
android.sensor.gyroscope,1524711431195,782468748436,0.15652113,-3.232402,-0.29260445
android.sensor.gyroscope,1524711431215,782488771874,0.044174284,-3.1563058,-0.3681423
android.sensor.gyroscope,1524711431235,782508760936,-0.11424925,-3.100141,-0.4265061
android.sensor.gyroscope,1524711431257,782528751561,-0.32478833,-3.0286872,-0.48595202
android.sensor.gyroscope,1524711431275,782548743749,-0.4897743,-2.9037914,-0.5334075
android.sensor.gyroscope,1524711431294,782568765624,-0.60376173,-2.7598019,-0.5489584
android.sensor.gyroscope,1524711431313,782588757811,-0.70303607,-2.6267204,-0.5200383
