Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711623273,974548743749,-0.10534488,7.1634517,6.7229185
android.sensor.accelerometer,1524711623292,974568765624,0.0,7.2113357,6.655881
android.sensor.accelerometer,1524711623311,974588757811,0.095768064,7.249643,6.579266
android.sensor.accelerometer,1524711623331,974608748436,0.1340753,7.2209125,6.5026517
android.sensor.accelerometer,1524711623352,974628770311,-0.009576807,7.2209125,6.205771
android.sensor.accelerometer,1524711623372,974648760936,-0.20111294,7.2304893,6.2728086
android.sensor.accelerometer,1524711623392,974668751561,-0.2777274,7.2209125,6.5122285
android.sensor.accelerometer,1524711623412,974688743749,-0.1340753,7.153875,6.5601125
android.sensor.accelerometer,1524711623432,974708765624,-0.05746084,7.1251445,6.435614
android.sensor.accelerometer,1524711623452,974728756249,-0.1340753,7.201759,6.2728086
android.sensor.accelerometer,1524711623472,974748748436,-0.06703765,7.393295,6.1100025
android.sensor.accelerometer,1524711623492,974768768749,-0.16280572,7.5465236,6.38773
android.sensor.accelerometer,1524711623512,974788760936,0.11492168,7.5944076,6.5984197
android.sensor.accelerometer,1524711623532,974808751561,0.4405331,7.52737,6.7133417
android.sensor.accelerometer,1524711623552,974828774999,0.34476504,7.690176,6.789956
android.sensor.accelerometer,1524711623572,974848765624,-0.39264908,8.437167,7.240066
android.sensor.accelerometer,1524711623592,974868754686,-1.1109096,9.758766,7.422025
android.sensor.accelerometer,1524711623612,974888746874,-0.7374141,10.812215,8.063671
android.sensor.accelerometer,1524711623632,974908767186,0.33518824,11.434708,8.829816
android.sensor.accelerometer,1524711623652,974928759374,0.92895025,12.172121,8.015787
android.sensor.accelerometer,1524711623672,974948751561,-0.6991069,14.106636,9.279925
android.sensor.accelerometer,1524711623692,974968771874,0.46926352,13.464991,10.70687
android.sensor.accelerometer,1524711623712,974988764061,2.9017725,12.430696,11.003751
android.sensor.accelerometer,1524711623732,975008754686,4.501099,11.568783,8.561666
android.sensor.accelerometer,1524711623752,975028745311,3.6583402,12.200851,4.9703627
android.sensor.accelerometer,1524711623771,975048767186,3.6008794,11.195287,3.2273839
android.sensor.accelerometer,1524711623791,975068757811,3.3997664,10.103531,3.217807
android.sensor.accelerometer,1524711623811,975088748436,2.6048915,8.66701,0.90979666
android.sensor.accelerometer,1524711623831,975108770311,2.882619,7.920019,-1.3120226
android.sensor.accelerometer,1524711623852,975128762499,4.7500963,7.5082164,-2.5570073
android.sensor.accelerometer,1524711623871,975148753124,5.0182467,6.8186865,-2.8634653
android.sensor.accelerometer,1524711623891,975168745311,4.357447,6.205771,-3.8977604
android.sensor.accelerometer,1524711623911,975188767186,3.1890767,6.0525417,-4.5394063
android.sensor.accelerometer,1524711623931,975208756249,2.5474305,5.995081,-5.8705826
android.sensor.accelerometer,1524711623951,975228748436,3.016694,5.947197,-6.9623384
