Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711617378,968648762499,-0.031084314,0.09080948,0.087807514
android.sensor.gyroscope,1524711617393,968668751561,-0.031346112,0.09053023,0.09599311
android.sensor.gyroscope,1524711617413,968688743749,-0.036529742,0.10061823,0.10007718
android.sensor.gyroscope,1524711617433,968708765624,-0.033807028,0.079080865,0.07007497
android.sensor.gyroscope,1524711617453,968728756249,-0.022357667,0.05071927,0.040072758
android.sensor.gyroscope,1524711617473,968748748436,-0.025080381,0.045256387,0.022078415
android.sensor.gyroscope,1524711617493,968768770311,0.0,0.0,0.0
android.sensor.gyroscope,1524711617513,968788760936,-0.01881465,0.016632987,-0.050178215
android.sensor.gyroscope,1524711617533,968808751561,-0.0070860367,2.6179937E-4,-0.038990654
android.sensor.gyroscope,1524711617553,968828743749,-0.024260076,0.023719024,-0.020437805
android.sensor.gyroscope,1524711617573,968848765624,0.0,0.0,0.0
android.sensor.gyroscope,1524711617593,968868754686,-0.030264009,0.025359634,5.410521E-4
android.sensor.gyroscope,1524711617613,968888748436,0.0,0.0,0.0
android.sensor.gyroscope,1524711617633,968908768749,-0.019355701,0.040072758,0.0752586
android.sensor.gyroscope,1524711617653,968928760936,-0.0095294975,0.02698279,0.07253588
android.sensor.gyroscope,1524711617673,968948751561,-0.006806784,0.017994344,0.0853466
android.sensor.gyroscope,1524711617693,968968773436,-0.0035430184,0.0038048178,0.07771951
android.sensor.gyroscope,1524711617713,968988764061,-5.410521E-4,-0.010088003,0.05534439
android.sensor.gyroscope,1524711617733,969008754686,0.004363323,-0.013351769,0.07661995
android.sensor.gyroscope,1524711617753,969028745311,2.6179937E-4,0.0032637657,0.06843436
android.sensor.gyroscope,1524711617773,969048768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711617793,969068757811,0.008447394,-0.05808456,-0.05126032
android.sensor.gyroscope,1524711617813,969088749999,0.07579965,-0.27052602,-0.45514697
android.sensor.gyroscope,1524711617833,969108773436,0.08098327,-0.3386986,-0.60650194
android.sensor.gyroscope,1524711617853,969128764061,0.16524777,-0.5966757,-1.0019237
android.sensor.gyroscope,1524711617873,969148754686,0.25115287,-0.78565997,-1.1126474
android.sensor.gyroscope,1524711617893,969168745311,0.27433085,-0.7742106,-0.8402015
android.sensor.gyroscope,1524711617913,969188767186,0.26860616,-0.6422114,-0.425424
android.sensor.gyroscope,1524711617933,969208757811,0.30761427,-0.56695276,-0.11807153
android.sensor.gyroscope,1524711617955,969228748436,0.4074122,-0.5350481,0.14152876
android.sensor.gyroscope,1524711617973,969248771874,0.57021654,-0.5216789,0.46849874
android.sensor.gyroscope,1524711617993,969268762499,0.8475668,-0.47858673,0.9471029
android.sensor.gyroscope,1524711618013,969288753124,1.1609057,-0.39924407,1.369525
android.sensor.gyroscope,1524711618033,969308745311,1.3891599,-0.43523276,1.5604291
android.sensor.gyroscope,1524711618053,969328765624,1.5271631,-0.37224382,1.7845992
android.sensor.gyroscope,1524711618073,969348757811,1.6790591,-0.17697638,2.0682151
android.sensor.gyroscope,1524711618093,969368748436,1.8544123,0.048537605,2.383736
android.sensor.gyroscope,1524711618113,969388770311,2.0368516,0.12789772,2.7434306
android.sensor.gyroscope,1524711618133,969408760936,2.2481935,-0.15734144,3.245492
android.sensor.gyroscope,1524711618154,969428753124,2.42791,-0.78511894,4.196138
android.sensor.gyroscope,1524711618173,969448743749,2.3679056,-1.6438732,5.7642117
android.sensor.gyroscope,1524711618193,969468765624,1.8421252,-2.2321017,7.3164725
android.sensor.gyroscope,1524711618213,969488756249,1.0035644,-2.0941157,8.160497
android.sensor.gyroscope,1524711618234,969508746874,0.55114007,-1.9293916,8.345118
android.sensor.gyroscope,1524711618256,969528768749,0.9727418,-2.4025505,8.081415
android.sensor.gyroscope,1524711618274,969548760936,1.8279531,-3.080506,7.4710913
android.sensor.gyroscope,1524711618295,969568751561,2.2571995,-3.0090523,6.7072306
android.sensor.gyroscope,1524711618315,969588773436,2.4699028,-2.6894302,5.9253926
android.sensor.gyroscope,1524711618335,969608765624,2.6572638,-2.6212575,5.213351
android.sensor.gyroscope,1524711618356,969628754686,2.8047965,-2.5942574,4.6142144
android.sensor.gyroscope,1524711618373,969648746874,2.9149616,-2.5713587,4.076426
android.sensor.gyroscope,1524711618393,969668768749,2.9037914,-2.5746224,3.5479228
android.sensor.gyroscope,1524711618413,969688759374,2.8045173,-2.4914575,3.0821292
android.sensor.gyroscope,1524711618433,969708749999,2.6801624,-2.3785522,2.6700745
android.sensor.gyroscope,1524711618453,969728771874,2.4977233,-2.293729,2.312823
android.sensor.gyroscope,1524711618473,969748764061,2.2484727,-2.0930164,2.016658
android.sensor.gyroscope,1524711618493,969768754686,1.9640365,-1.8058573,1.7796773
android.sensor.gyroscope,1524711618513,969788746874,1.6324239,-1.481069,1.5636928
android.sensor.gyroscope,1524711618533,969808767186,1.2669868,-1.1431906,1.3684429
android.sensor.gyroscope,1524711618553,969828757811,0.9176592,-0.8322952,1.2102636
android.sensor.gyroscope,1524711618573,969848749999,0.6280393,-0.58958966,1.069276
android.sensor.gyroscope,1524711618593,969868771874,0.39187878,-0.35342917,0.93837625
android.sensor.gyroscope,1524711618613,969888762499,0.17453292,-0.10716321,0.83393574
android.sensor.gyroscope,1524711618633,969908753124,-0.06244788,0.13852678,0.75293505
android.sensor.gyroscope,1524711618655,969928745311,-0.2536138,0.3313333,0.6869441
android.sensor.gyroscope,1524711618673,969948767186,-0.47886598,0.47260025,0.66540676
android.sensor.gyroscope,1524711618693,969968756249,-0.6479535,0.5863085,0.62858033
android.sensor.gyroscope,1524711618713,969988748436,-0.83747876,0.6834011,0.5729567
android.sensor.gyroscope,1524711618733,970008770311,-0.95829046,0.7823962,0.5080479
android.sensor.gyroscope,1524711618753,970028762499,-1.0220997,0.9462826,0.47095963
android.sensor.gyroscope,1524711618773,970048753124,-1.1461751,1.148095,0.48214722
android.sensor.gyroscope,1524711618793,970068743749,-1.4753443,1.4788873,0.54459506
android.sensor.gyroscope,1524711618813,970088767186,-1.6310625,1.5983377,0.5958554
android.sensor.gyroscope,1524711618833,970108756249,-1.6733344,1.5506029,0.65203756
android.sensor.gyroscope,1524711618853,970128746874,-1.7499543,1.5383332,0.7374016
android.sensor.gyroscope,1524711618873,970148770311,-1.778316,1.5173368,0.83611745
android.sensor.gyroscope,1524711618893,970168760936,-1.7071414,1.3657202,0.93891734
android.sensor.gyroscope,1524711618913,970188751561,-1.606244,1.2634438,1.0761002
android.sensor.gyroscope,1524711618934,970208773436,-1.4357951,1.3659819,1.2410861
android.sensor.gyroscope,1524711618953,970228765624,-1.2909851,1.7060593,1.4848912
android.sensor.gyroscope,1524711618973,970248754686,-1.2119043,2.2378263,1.775314
android.sensor.gyroscope,1524711618993,970268746874,-1.2274551,3.3101215,2.2236543
android.sensor.gyroscope,1524711619013,970288768749,-1.1112686,5.57795,2.8304179
android.sensor.gyroscope,1524711619033,970308759374,0.16660912,7.7252636,3.008232
android.sensor.gyroscope,1524711619053,970328749999,2.3340986,7.961965,2.9419618
android.sensor.gyroscope,1524711619073,970348773436,4.316129,7.3669124,3.1549444
