Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711674991,1026268768749,0.32561144,-8.858546,3.3135753
android.sensor.accelerometer,1524711675011,1026288759374,0.641646,-9.519346,2.920926
android.sensor.accelerometer,1524711675031,1026308749999,0.7469909,-9.586384,2.5570073
android.sensor.accelerometer,1524711675052,1026328771874,0.82360536,-9.615114,2.920926
android.sensor.accelerometer,1524711675072,1026348764061,0.7086837,-9.3661175,2.9592333
android.sensor.accelerometer,1524711675092,1026368754686,0.7086837,-9.136273,2.6431987
android.sensor.accelerometer,1524711675112,1026388745311,0.6991069,-9.184157,2.432509
android.sensor.accelerometer,1524711675132,1026408767186,0.7757214,-9.461885,2.4899697
android.sensor.accelerometer,1524711675152,1026428757811,0.63206923,-9.5385,2.6719291
android.sensor.accelerometer,1524711675172,1026448749999,0.6607997,-9.643845,2.4420857
android.sensor.accelerometer,1524711675192,1026468771874,0.7565677,-9.56723,2.5474305
android.sensor.accelerometer,1524711675212,1026488762499,0.7086837,-9.279925,2.7102363
android.sensor.accelerometer,1524711675232,1026508754686,0.63206923,-9.212888,2.5474305
android.sensor.accelerometer,1524711675252,1026528745311,0.6607997,-9.481039,2.4229321
android.sensor.accelerometer,1524711675272,1026548767186,0.6895301,-9.548077,2.5761611
android.sensor.accelerometer,1524711675292,1026568756249,0.641646,-9.471462,2.6527755
android.sensor.accelerometer,1524711675312,1026588749999,0.60333884,-9.3182335,2.585738
android.sensor.accelerometer,1524711675332,1026608771874,0.50757074,-9.299079,2.633622
android.sensor.accelerometer,1524711675352,1026628760936,0.5650316,-9.605537,2.6719291
android.sensor.accelerometer,1524711675372,1026648753124,0.58418524,-9.653421,2.7102363
android.sensor.accelerometer,1524711675392,1026668743749,0.6895301,-9.500193,2.566584
android.sensor.accelerometer,1524711675412,1026688765624,0.6799533,-9.337387,2.5187001
android.sensor.accelerometer,1524711675432,1026708756249,0.6991069,-9.452309,2.5761611
android.sensor.accelerometer,1524711675452,1026728748436,0.7374141,-9.624691,2.7964275
android.sensor.accelerometer,1524711675472,1026748768749,0.6895301,-9.442732,3.1794999
android.sensor.accelerometer,1524711675492,1026768760936,0.62249243,-9.232041,3.064578
android.sensor.accelerometer,1524711675512,1026788753124,0.62249243,-9.375694,2.6048915
android.sensor.accelerometer,1524711675532,1026808743749,0.641646,-9.624691,2.566584
android.sensor.accelerometer,1524711675552,1026828764061,0.58418524,-9.595961,2.873042
android.sensor.accelerometer,1524711675572,1026848756249,0.5554548,-9.557653,2.8060043
android.sensor.accelerometer,1524711675592,1026868746874,0.60333884,-9.634268,2.480393
android.sensor.accelerometer,1524711675612,1026888768749,0.5267244,-9.595961,2.4133554
android.sensor.accelerometer,1524711675632,1026908760936,0.5363012,-9.605537,2.4612393
android.sensor.accelerometer,1524711675652,1026928751561,0.63206923,-9.519346,2.6144683
android.sensor.accelerometer,1524711675672,1026948773436,0.7278373,-9.3661175,2.5953147
android.sensor.accelerometer,1524711675692,1026968764061,0.842759,-9.356541,2.6527755
android.sensor.accelerometer,1524711675712,1026988754686,0.8810662,-9.356541,2.7581203
android.sensor.accelerometer,1524711675732,1027008745311,0.7374141,-9.270349,2.72939
android.sensor.accelerometer,1524711675752,1027028767186,0.7469909,-9.452309,2.528277
android.sensor.accelerometer,1524711675772,1027048759374,0.842759,-9.433155,2.6144683
android.sensor.accelerometer,1524711675792,1027068749999,0.842759,-9.289502,2.6144683
android.sensor.accelerometer,1524711675812,1027088771874,0.6895301,-9.3182335,2.585738
android.sensor.accelerometer,1524711675832,1027108764061,0.58418524,-9.605537,2.6623523
android.sensor.accelerometer,1524711675852,1027128753124,0.5650316,-9.739613,2.6623523
android.sensor.accelerometer,1524711675872,1027148745311,0.5650316,-9.643845,2.681506
android.sensor.accelerometer,1524711675892,1027168767186,0.5746084,-9.5385,2.566584
android.sensor.accelerometer,1524711675912,1027188757811,0.6799533,-9.548077,2.4229321
android.sensor.accelerometer,1524711675932,1027208748436,0.6512229,-9.634268,2.566584
android.sensor.accelerometer,1524711675952,1027228770311,0.63206923,-9.500193,2.767697
android.sensor.accelerometer,1524711675972,1027248760936,0.7182605,-9.385271,2.5378537
android.sensor.accelerometer,1524711675992,1027268753124,0.6895301,-9.308656,2.681506
android.sensor.accelerometer,1524711676012,1027288743749,0.7374141,-9.452309,2.7964275
android.sensor.accelerometer,1524711676032,1027308765624,0.7374141,-9.461885,2.7006595
android.sensor.accelerometer,1524711676052,1027328757811,0.7565677,-9.500193,2.6240451
android.sensor.accelerometer,1524711676072,1027348748436,0.6991069,-9.385271,2.633622
android.sensor.accelerometer,1524711676092,1027368770311,0.6991069,-9.509769,2.5761611
android.sensor.accelerometer,1524711676112,1027388760936,0.6799533,-9.452309,2.6719291
android.sensor.accelerometer,1524711676132,1027408751561,0.6512229,-9.452309,2.5378537
android.sensor.accelerometer,1524711676152,1027428743749,0.6991069,-9.605537,2.7868507
android.sensor.accelerometer,1524711676172,1027448765624,0.7374141,-9.490616,2.834735
android.sensor.accelerometer,1524711676192,1027468756249,0.6991069,-9.3661175,2.4899697
android.sensor.accelerometer,1524711676212,1027488746874,0.6512229,-9.56723,2.4037786
android.sensor.accelerometer,1524711676232,1027508768749,0.7182605,-9.80665,2.6527755
android.sensor.accelerometer,1524711676252,1027528759374,0.7182605,-9.634268,3.016694
android.sensor.accelerometer,1524711676272,1027548751561,0.8523358,-9.509769,2.9113493
android.sensor.accelerometer,1524711676292,1027568773436,1.340753,-9.911995,2.6623523
android.sensor.accelerometer,1524711676312,1027588764061,2.2218192,-10.477027,2.5761611
android.sensor.accelerometer,1524711676332,1027608754686,3.3518825,-10.793061,3.3327289
android.sensor.accelerometer,1524711676352,1027628746874,5.535394,-10.965444,4.76925
android.sensor.accelerometer,1524711676372,1027648768749,8.00621,-9.050082,5.6407394
android.sensor.accelerometer,1524711676392,1027668757811,9.873688,-5.841852,5.7365074
android.sensor.accelerometer,1524711676412,1027688749999,11.099519,2.1643584,2.72939
android.sensor.accelerometer,1524711676432,1027708771874,10.70687,5.5737014,0.9576807
android.sensor.accelerometer,1524711676452,1027728762499,8.772355,7.326257,-1.1492168
android.sensor.accelerometer,1524711676472,1027748754686,5.554548,6.7803793,-3.9743748
android.sensor.accelerometer,1524711676492,1027768745311,1.5514427,6.445191,-3.0071173
android.sensor.accelerometer,1524711676512,1027788767186,-2.9783869,5.66947,-1.5131354
android.sensor.accelerometer,1524711676532,1027808757811,-5.305551,3.3423057,0.06703765
android.sensor.accelerometer,1524711676552,1027828748436,-6.244078,0.4213795,1.6184803
android.sensor.accelerometer,1524711676572,1027848771874,-7.728483,0.45010993,2.72939
android.sensor.accelerometer,1524711676592,1027868762499,-8.944737,0.842759,2.2122424
android.sensor.accelerometer,1524711676612,1027888753124,-10.055647,0.2681506,4.060566
android.sensor.accelerometer,1524711676632,1027908745311,-9.605537,-0.2681506,5.861006
android.sensor.accelerometer,1524711676652,1027928765624,-9.605537,1.8579005,6.291962
android.sensor.accelerometer,1524711676672,1027948756249,-11.070788,3.4572272,8.149862
android.sensor.accelerometer,1524711676692,1027968748436,-12.516887,2.5953147,12.421119
android.sensor.accelerometer,1524711676712,1027988770311,-13.67568,2.5378537,14.4130945
android.sensor.accelerometer,1524711676732,1028008762499,-13.321339,3.2082303,9.452309
android.sensor.accelerometer,1524711676752,1028028751561,-14.528016,5.0374002,10.898406
android.sensor.accelerometer,1524711676772,1028048743749,-14.4609785,5.0182467,16.606182
android.sensor.accelerometer,1524711676792,1028068765624,-13.493721,3.8307228,16.395493
android.sensor.accelerometer,1524711676812,1028088756249,-13.01488,5.9184666,14.298173
android.sensor.accelerometer,1524711676832,1028108748436,-12.737153,7.1634517,14.528016
android.sensor.accelerometer,1524711676852,1028128770311,-12.603078,4.9895163,15.945383
android.sensor.accelerometer,1524711676872,1028148760936,-12.564771,3.6008794,17.199945
android.sensor.accelerometer,1524711676892,1028168749999,-12.373235,3.7349546,16.778566
android.sensor.accelerometer,1524711676912,1028188773436,-11.425131,3.6583402,18.186356
android.sensor.accelerometer,1524711676932,1028208764061,-10.362105,3.8115692,19.000385
android.sensor.accelerometer,1524711676952,1028228754686,-10.007763,5.3342814,17.06587
android.sensor.accelerometer,1524711676972,1028248745311,-9.404425,6.0238113,14.106636
android.sensor.accelerometer,1524711676992,1028268768749,-8.676587,4.5777135,14.15452
android.sensor.accelerometer,1524711677012,1028288759374,-9.14585,3.371036,15.734694
android.sensor.accelerometer,1524711677032,1028308749999,-9.998186,3.3806129,17.228676
android.sensor.accelerometer,1524711677052,1028328771874,-9.528923,4.6926355,16.385916
android.sensor.accelerometer,1524711677072,1028348764061,-8.073248,5.899313,14.211981
android.sensor.accelerometer,1524711677092,1028368753124,-7.0581064,5.1140146,15.456966
android.sensor.accelerometer,1524711677112,1028388745311,-7.3166804,5.90889,17.085024
android.sensor.accelerometer,1524711677132,1028408767186,-7.086837,6.655881,17.30529
android.sensor.accelerometer,1524711677152,1028428757811,-6.703765,6.167464,16.97968
android.sensor.accelerometer,1524711677172,1028448749999,-5.841852,5.8705826,16.587029
android.sensor.accelerometer,1524711677192,1028468771874,-5.3438582,6.205771,15.399506
android.sensor.accelerometer,1524711677212,1028488762499,-4.759673,6.157887,14.958972
android.sensor.accelerometer,1524711677232,1028508753124,-4.2042184,6.157887,15.150508
