Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711665093,1016368756249,-0.014713125,0.033265974,0.0155334305
android.sensor.gyroscope,1524711665113,1016388746874,-0.020996312,0.04717625,0.022078415
android.sensor.gyroscope,1524711665133,1016408768749,-0.021537364,0.03244567,0.005986479
android.sensor.gyroscope,1524711665153,1016428760936,-0.03080506,0.046617743,-0.0054454273
android.sensor.gyroscope,1524711665173,1016448751561,-0.033807028,0.014451326,-0.042533673
android.sensor.gyroscope,1524711665193,1016468773436,-0.025080381,0.010629055,-0.0286234
android.sensor.gyroscope,1524711665213,1016488765624,-0.020996312,-0.016353736,-0.049619712
android.sensor.gyroscope,1524711665233,1016508754686,-0.011711159,-0.028082348,-0.04717625
android.sensor.gyroscope,1524711665253,1016528746874,-0.011990412,-0.0283616,-0.04717625
android.sensor.gyroscope,1524711665273,1016548767186,0.0,0.0,0.0
android.sensor.gyroscope,1524711665294,1016568759374,-0.008988446,-0.035168383,-0.042812925
android.sensor.gyroscope,1524711665313,1016588749999,-0.010088003,-0.06380924,-0.071174525
android.sensor.gyroscope,1524711665333,1016608771874,-0.0076270886,-0.04499459,-0.050981067
android.sensor.gyroscope,1524711665353,1016628764061,-0.0070860367,-0.06298893,-0.06026622
android.sensor.gyroscope,1524711665373,1016648754686,-0.006265732,-0.08044223,-0.0760789
android.sensor.gyroscope,1524711665393,1016668745311,-0.00408407,-0.06571165,-0.06981317
android.sensor.gyroscope,1524711665413,1016688767186,-0.0054454273,-0.040893063,-0.05454154
android.sensor.gyroscope,1524711665433,1016708759374,-0.017174039,-0.0070860367,-0.05290093
android.sensor.gyroscope,1524711665453,1016728749999,0.0021816615,-0.031084314,-0.046617743
android.sensor.gyroscope,1524711665473,1016748771874,0.024260076,0.022078415,0.022078415
android.sensor.gyroscope,1524711665493,1016768762499,0.011711159,-0.037088245,-0.007347836
android.sensor.gyroscope,1524711665513,1016788753124,0.015271631,-0.009808751,0.035168383
android.sensor.gyroscope,1524711665533,1016808745311,-0.0049043754,0.09325294,0.1319818
android.sensor.gyroscope,1524711665553,1016828765624,-0.017453292,0.12243485,0.151896
android.sensor.gyroscope,1524711665573,1016848757811,-0.016894788,0.0853466,0.12980014
android.sensor.gyroscope,1524711665593,1016868748436,-0.025621433,0.07744026,0.10826277
android.sensor.gyroscope,1524711665613,1016888770311,-0.061086524,0.13034119,0.10035643
android.sensor.gyroscope,1524711665633,1016908760936,-0.08752826,0.14779449,0.051801372
android.sensor.gyroscope,1524711665653,1016928751561,-0.0943525,0.09789552,-0.054262288
android.sensor.gyroscope,1524711665673,1016948743749,-0.08916887,0.005986479,-0.18816395
