Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711751476,1102748757811,-0.63206923,7.97748,5.2959743
android.sensor.accelerometer,1524711751492,1102768748436,-0.6991069,8.073248,5.391742
android.sensor.accelerometer,1524711751512,1102788770311,-0.7278373,8.00621,5.4683566
android.sensor.accelerometer,1524711751532,1102808762499,-0.7757214,7.97748,5.48751
android.sensor.accelerometer,1524711751552,1102828751561,-0.7565677,8.034941,5.554548
android.sensor.accelerometer,1524711751572,1102848743749,-0.7374141,8.00621,5.506664
android.sensor.accelerometer,1524711751592,1102868767186,-0.62249243,8.063671,5.2768207
android.sensor.accelerometer,1524711751612,1102888756249,-0.60333884,8.2169,5.3725886
android.sensor.accelerometer,1524711751632,1102908748436,-0.6607997,8.197746,5.3438582
android.sensor.accelerometer,1524711751652,1102928770311,-0.7469909,8.082825,5.363012
android.sensor.accelerometer,1524711751672,1102948760936,-0.81402856,8.034941,5.391742
android.sensor.accelerometer,1524711751692,1102968751561,-0.8331822,8.082825,5.3821654
android.sensor.accelerometer,1524711751712,1102988743749,-0.7086837,8.1402855,5.1523223
android.sensor.accelerometer,1524711751732,1103008764061,-0.49799395,8.2169,5.0374002
android.sensor.accelerometer,1524711751752,1103028754686,-0.45010993,8.255207,5.2289367
android.sensor.accelerometer,1524711751772,1103048746874,-0.47884035,8.418014,5.5737014
android.sensor.accelerometer,1524711751792,1103068768749,0.16280572,9.002198,5.755661
android.sensor.accelerometer,1524711751812,1103088760936,1.4460979,9.710882,5.449203
android.sensor.accelerometer,1524711751832,1103108749999,2.9783869,10.524911,5.2385135
android.sensor.accelerometer,1524711751852,1103128773436,3.7828386,11.176133,5.4683566
android.sensor.accelerometer,1524711751872,1103148764061,2.7389667,11.702858,5.8705826
android.sensor.accelerometer,1524711751892,1103168754686,1.5705963,12.076353,6.339846
android.sensor.accelerometer,1524711751912,1103188745311,1.388637,11.980585,7.240066
android.sensor.accelerometer,1524711751932,1103208767186,1.6472107,11.473015,7.2304893
android.sensor.accelerometer,1524711751952,1103228759374,0.6895301,11.57836,5.995081
android.sensor.accelerometer,1524711751972,1103248749999,-0.82360536,11.932701,5.497087
android.sensor.accelerometer,1524711751992,1103268771874,-2.0207062,11.530476,5.947197
android.sensor.accelerometer,1524711752012,1103288762499,-2.9879637,10.745177,5.2768207
android.sensor.accelerometer,1524711752032,1103308753124,-4.453215,10.1226845,5.9280434
android.sensor.accelerometer,1524711752052,1103328745311,-5.6790466,9.500193,7.326257
android.sensor.accelerometer,1524711752072,1103348767186,-5.7748146,8.6574335,7.6710224
android.sensor.accelerometer,1524711752092,1103368757811,-6.0525417,8.130709,7.1730285
android.sensor.accelerometer,1524711752112,1103388749999,-6.1195793,7.603985,6.339846
android.sensor.accelerometer,1524711752132,1103408770311,-5.947197,7.2304893,6.1004257
android.sensor.accelerometer,1524711752152,1103428760936,-5.889736,6.9719152,5.995081
android.sensor.accelerometer,1524711752172,1103448753124,-5.7843914,6.301539,5.947197
android.sensor.accelerometer,1524711752192,1103468743749,-5.93762,6.0238113,5.93762
android.sensor.accelerometer,1524711752212,1103488765624,-5.9759274,5.8322754,6.646304
android.sensor.accelerometer,1524711752232,1103508756249,-5.755661,5.2289367,6.2345014
android.sensor.accelerometer,1524711752252,1103528746874,-5.142745,5.1906295,4.4915223
android.sensor.accelerometer,1524711752272,1103548768749,-4.3766007,5.1810527,3.2369606
android.sensor.accelerometer,1524711752292,1103568760936,-4.0797195,4.9224787,2.825158
android.sensor.accelerometer,1524711752312,1103588753124,-4.012682,4.8841715,3.1411927
android.sensor.accelerometer,1524711752332,1103608743749,-4.453215,4.8937483,2.432509
android.sensor.accelerometer,1524711752352,1103628764061,-3.9073372,5.00867,0.8714894
android.sensor.accelerometer,1524711752372,1103648756249,-2.1739352,5.209783,-0.2873042
android.sensor.accelerometer,1524711752392,1103668746874,-0.31603462,5.0661306,0.0
android.sensor.accelerometer,1524711752412,1103688768749,0.21068975,4.999093,0.038307227
android.sensor.accelerometer,1524711752432,1103708759374,-0.8523358,5.085284,0.076614454
android.sensor.accelerometer,1524711752452,1103728749999,-0.9672575,5.1523223,1.1109096
android.sensor.accelerometer,1524711752472,1103748773436,0.15322891,4.960786,1.13964
android.sensor.accelerometer,1524711752492,1103768764061,1.4939818,4.903325,-0.24899697
android.sensor.accelerometer,1524711752512,1103788754686,3.0358477,4.654328,-1.5514427
android.sensor.accelerometer,1524711752532,1103808746874,2.5953147,5.133168,-1.1300632
android.sensor.accelerometer,1524711752552,1103828767186,1.982399,5.439626,0.92895025
android.sensor.accelerometer,1524711752572,1103848759374,2.3654714,5.449203,2.2888567
android.sensor.accelerometer,1524711752592,1103868751561,4.31914,5.257667,1.13964
android.sensor.accelerometer,1524711752612,1103888773436,6.167464,5.171476,-1.0247183
android.sensor.accelerometer,1524711752632,1103908762499,9.097966,5.6886234,-1.9919758
android.sensor.accelerometer,1524711752652,1103928754686,8.973468,6.1866174,-2.2409728
android.sensor.accelerometer,1524711752672,1103948745311,8.39886,6.157887,-0.9576807
android.sensor.accelerometer,1524711752692,1103968767186,8.724471,6.2728086,0.641646
android.sensor.accelerometer,1524711752712,1103988757811,9.643845,6.799533,1.1683705
android.sensor.accelerometer,1524711752732,1104008749999,11.415554,7.728483,0.62249243
android.sensor.accelerometer,1524711752752,1104028771874,13.388376,8.465898,0.48841715
android.sensor.accelerometer,1524711752772,1104048762499,13.589489,8.542512,0.35434186
android.sensor.accelerometer,1524711752792,1104068753124,12.660539,8.418014,0.36391866
android.sensor.accelerometer,1524711752812,1104088743749,12.459426,8.7532015,1.1971009
android.sensor.accelerometer,1524711752832,1104108767186,12.50731,8.408437,2.681506
android.sensor.accelerometer,1524711752852,1104128756249,12.038046,7.4603324,4.261679
android.sensor.accelerometer,1524711752872,1104148746874,10.419566,6.7612257,5.056554
android.sensor.accelerometer,1524711752892,1104168770311,8.983045,7.0964136,3.6583402
android.sensor.accelerometer,1524711752912,1104188762499,8.571242,6.646304,3.1411927
android.sensor.accelerometer,1524711752932,1104208753124,6.991069,5.707777,5.6120086
android.sensor.accelerometer,1524711752952,1104228743749,4.76925,5.2002063,8.169016
android.sensor.accelerometer,1524711752972,1104248765624,2.681506,5.3438582,7.632715
android.sensor.accelerometer,1524711752992,1104268756249,1.484405,5.5162406,5.717354
android.sensor.accelerometer,1524711753012,1104288746874,0.9768343,5.5258174,5.0661306
android.sensor.accelerometer,1524711753032,1104308768749,0.60333884,5.0757074,5.094861
android.sensor.accelerometer,1524711753052,1104328760936,-0.4309563,5.046977,5.4300494
android.sensor.accelerometer,1524711753072,1104348751561,-1.4748282,5.142745,5.765238
android.sensor.accelerometer,1524711753092,1104368773436,-2.0015526,5.353435,5.717354
android.sensor.accelerometer,1524711753112,1104388764061,-1.1587936,5.659893,5.592855
android.sensor.accelerometer,1524711753132,1104408756249,-0.6512229,5.803545,5.6407394
android.sensor.accelerometer,1524711753152,1104428746874,-0.90021986,5.305551,5.66947
android.sensor.accelerometer,1524711753172,1104448768749,-1.685518,4.3957543,7.1155677
android.sensor.accelerometer,1524711753192,1104468759374,-3.323152,4.3957543,9.270349
android.sensor.accelerometer,1524711753212,1104488749999,-3.7253778,5.104438,10.448297
android.sensor.accelerometer,1524711753232,1104508771874,-2.777274,6.291962,8.935161
android.sensor.accelerometer,1524711753252,1104528762499,-1.7429788,7.0485296,8.0924015
android.sensor.accelerometer,1524711753272,1104548754686,-1.9440918,6.703765,9.825804
android.sensor.accelerometer,1524711753292,1104568745311,-2.8060043,6.3781533,12.612655
android.sensor.accelerometer,1524711753312,1104588768749,-2.0111294,6.6079965,12.459426
android.sensor.accelerometer,1524711753332,1104608757811,-1.0055647,6.6175733,10.793061
android.sensor.accelerometer,1524711753352,1104628749999,-0.93852705,6.445191,9.80665
android.sensor.accelerometer,1524711753372,1104648770311,-1.3024458,6.244078,9.203311
android.sensor.accelerometer,1524711753392,1104668762499,-1.2641385,6.3781533,10.965444
android.sensor.accelerometer,1524711753412,1104688753124,-0.79487497,6.1004257,13.503298
android.sensor.accelerometer,1524711753432,1104708745311,-0.009576807,5.9663506,13.867216
android.sensor.accelerometer,1524711753452,1104728767186,0.94810385,6.042965,12.29662
android.sensor.accelerometer,1524711753472,1104748757811,1.1587936,5.9184666,11.252748
android.sensor.accelerometer,1524711753492,1104768748436,0.60333884,5.717354,12.162544
android.sensor.accelerometer,1524711753512,1104788770311,0.30645782,5.353435,12.890382
android.sensor.accelerometer,1524711753532,1104808762499,1.1300632,5.2002063,13.158532
android.sensor.accelerometer,1524711753552,1104828753124,1.9153614,5.21936,12.813767
android.sensor.accelerometer,1524711753572,1104848742186,2.1643584,5.161899,12.08593
android.sensor.accelerometer,1524711753592,1104868765624,1.3120226,4.7979803,11.310209
android.sensor.accelerometer,1524711753612,1104888757811,0.78529817,3.9935284,11.980585
android.sensor.accelerometer,1524711753632,1104908746874,0.90979666,3.7062242,13.64695
android.sensor.accelerometer,1524711753652,1104928770311,2.1739352,3.7349546,13.8959465
android.sensor.accelerometer,1524711753672,1104948760936,5.2863975,3.7541082,11.60709
android.sensor.accelerometer,1524711753692,1104968751561,6.1100025,3.7253778,9.3182335
android.sensor.accelerometer,1524711753712,1104988773436,5.257667,3.86903,7.881712
android.sensor.accelerometer,1524711753732,1105008765624,4.0318356,4.3861775,8.101978
android.sensor.accelerometer,1524711753752,1105028754686,4.405331,4.357447,8.829816
android.sensor.accelerometer,1524711753772,1105048746874,4.9320555,4.1371803,8.475474
android.sensor.accelerometer,1524711753792,1105068768749,5.046977,4.1946416,8.293514
android.sensor.accelerometer,1524711753812,1105088760936,4.9799395,3.9456444,6.933608
android.sensor.accelerometer,1524711753832,1105108749999,3.7924154,3.8402996,6.14831
android.sensor.accelerometer,1524711753852,1105128773436,1.8004397,3.6583402,7.1155677
android.sensor.accelerometer,1524711753872,1105148764061,0.5363012,3.8881836,8.025364
android.sensor.accelerometer,1524711753892,1105168754686,0.60333884,3.7349546,7.843405
android.sensor.accelerometer,1524711753912,1105188746874,0.8810662,3.9935284,7.747637
android.sensor.accelerometer,1524711753932,1105208767186,1.1971009,4.012682,7.7572136
android.sensor.accelerometer,1524711753952,1105228757811,0.90979666,4.0222588,7.728483
android.sensor.accelerometer,1524711753972,1105248748436,0.4405331,4.2042184,8.580819
