Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711719651,1070928743749,-0.009576807,6.5696893,7.3549876
android.sensor.accelerometer,1524711719672,1070948765624,0.009576807,6.531382,7.2113357
android.sensor.accelerometer,1524711719691,1070968757811,-0.009576807,6.4739213,7.192182
android.sensor.accelerometer,1524711719712,1070988748436,-0.019153614,6.5218053,7.192182
android.sensor.accelerometer,1524711719732,1071008770311,0.076614454,6.751649,7.067683
android.sensor.accelerometer,1524711719752,1071028760936,0.18195933,6.742072,6.7612257
android.sensor.accelerometer,1524711719772,1071048753124,0.17238252,6.789956,6.7229185
android.sensor.accelerometer,1524711719792,1071068743749,0.095768064,6.847417,7.0964136
android.sensor.accelerometer,1524711719812,1071088764061,0.20111294,6.8091097,7.240066
android.sensor.accelerometer,1524711719832,1071108756249,0.4213795,6.7708025,7.326257
android.sensor.accelerometer,1524711719852,1071128746874,0.40222588,6.7229185,7.3549876
android.sensor.accelerometer,1524711719872,1071148768749,0.22026655,6.7803793,7.383718
android.sensor.accelerometer,1524711719892,1071168760936,0.18195933,6.6654577,7.479486
android.sensor.accelerometer,1524711719912,1071188751561,0.24899697,6.5218053,7.575254
android.sensor.accelerometer,1524711719932,1071208773436,0.61291564,6.301539,7.776367
android.sensor.accelerometer,1524711719952,1071228764061,0.7469909,6.215348,8.331821
android.sensor.accelerometer,1524711719972,1071248754686,0.9672575,6.4739213,8.063671
android.sensor.accelerometer,1524711719992,1071268745311,2.0207062,7.067683,7.240066
android.sensor.accelerometer,1524711720012,1071288767186,3.8498764,8.695741,8.322245
android.sensor.accelerometer,1524711720032,1071308759374,4.9703627,10.658986,8.66701
android.sensor.accelerometer,1524711720051,1071328749999,4.7979803,13.618219,5.7269306
android.sensor.accelerometer,1524711720071,1071348771874,4.9703627,18.033127,4.960786
android.sensor.accelerometer,1524711720092,1071368762499,2.4133554,19.58457,11.559206
android.sensor.accelerometer,1524711720111,1071388754686,-0.24899697,18.272547,21.729774
android.sensor.accelerometer,1524711720132,1071408745311,-1.8962077,13.9917145,25.435999
android.sensor.accelerometer,1524711720152,1071428767186,-5.631162,10.773908,21.662737
android.sensor.accelerometer,1524711720171,1071448759374,-12.239159,5.6215854,21.432894
android.sensor.accelerometer,1524711720191,1071468748436,-16.931795,-0.9576807,29.09434
android.sensor.accelerometer,1524711720212,1071488770311,-18.224663,-7.0485296,32.819717
android.sensor.accelerometer,1524711720231,1071508762499,-12.306197,-12.354081,22.486341
android.sensor.accelerometer,1524711720252,1071528753124,-0.92895025,-13.484144,4.414908
android.sensor.accelerometer,1524711720271,1071548743749,5.6120086,-11.109096,-7.632715
android.sensor.accelerometer,1524711720291,1071568765624,10.007763,-8.7532015,-13.2351465
android.sensor.accelerometer,1524711720311,1071588757811,16.539145,-6.991069,-22.294806
android.sensor.accelerometer,1524711720331,1071608748436,22.457611,-2.825158,-31.421503
android.sensor.accelerometer,1524711720351,1071628770311,28.577192,1.4939818,-35.434185
android.sensor.accelerometer,1524711720371,1071648762499,29.084763,3.6391866,-38.460457
android.sensor.accelerometer,1524711720391,1071668751561,28.30904,2.0494366,-37.97204
android.sensor.accelerometer,1524711720411,1071688742186,28.088774,-0.842759,-26.57564
android.sensor.accelerometer,1524711720431,1071708765624,21.346703,-6.981492,-10.994174
android.sensor.accelerometer,1524711720451,1071728756249,12.679692,-9.931149,1.4652514
android.sensor.accelerometer,1524711720471,1071748746874,4.5872903,-11.894394,7.6710224
android.sensor.accelerometer,1524711720491,1071768768749,2.2409728,-17.017986,7.824251
android.sensor.accelerometer,1524711720511,1071788759374,-4.721366,-29.477411,24.133553
android.sensor.accelerometer,1524711720531,1071808749999,-23.75048,-36.717476,63.647457
android.sensor.accelerometer,1524711720551,1071828773436,-41.60165,-32.790985,78.40532
android.sensor.accelerometer,1524711720571,1071848764061,-39.006332,-27.571627,63.896454
android.sensor.accelerometer,1524711720591,1071868754686,-23.999477,-22.754494,31.115046
android.sensor.accelerometer,1524711720611,1071888746874,-8.66701,-19.067423,19.230228
android.sensor.accelerometer,1524711720632,1071908768749,-0.6895301,-18.033127,15.581465
android.sensor.accelerometer,1524711720652,1071928759374,4.951209,-15.868769,7.920019
android.sensor.accelerometer,1524711720672,1071948749999,18.521544,-12.4785795,2.8921957
android.sensor.accelerometer,1524711720691,1071968771874,37.87627,-5.9280434,-9.404425
android.sensor.accelerometer,1524711720711,1071988762499,51.781796,1.0342951,-24.430433
android.sensor.accelerometer,1524711720732,1072008754686,56.92454,6.301539,-28.289886
android.sensor.accelerometer,1524711720752,1072028745311,56.943695,10.113108,-20.101717
android.sensor.accelerometer,1524711720772,1072048767186,51.695602,9.299079,-23.18545
android.sensor.accelerometer,1524711720792,1072068757811,44.00543,4.146757,-24.966736
android.sensor.accelerometer,1524711720811,1072088748436,32.848446,-3.2273839,-21.030668
android.sensor.accelerometer,1524711720832,1072108770311,23.022644,-10.783484,-7.680599
android.sensor.accelerometer,1524711720852,1072128762499,12.287044,-14.853627,6.1770406
android.sensor.accelerometer,1524711720872,1072148753124,2.2505496,-17.362751,10.812215
android.sensor.accelerometer,1524711720891,1072168743749,-9.433155,-21.720198,21.65316
android.sensor.accelerometer,1524711720911,1072188767186,-23.309948,-24.49747,45.269566
android.sensor.accelerometer,1524711720932,1072208756249,-30.205248,-21.86385,56.47443
android.sensor.accelerometer,1524711720952,1072228748436,-24.631548,-15.591042,48.72679
android.sensor.accelerometer,1524711720972,1072248770311,-10.505757,-9.77792,37.196316
android.sensor.accelerometer,1524711720992,1072268760936,-1.532289,-3.6774938,24.56451
android.sensor.accelerometer,1524711721011,1072288751561,3.4284968,1.283292,11.099519
android.sensor.accelerometer,1524711721031,1072308743749,8.264784,4.414908,4.10845
android.sensor.accelerometer,1524711721051,1072328765624,8.178593,5.0374002,1.1779473
android.sensor.accelerometer,1524711721072,1072348756249,6.0621185,5.659893,-3.4093432
android.sensor.accelerometer,1524711721091,1072368746874,2.9400797,4.548983,7.785944
android.sensor.accelerometer,1524711721111,1072388770311,0.6607997,3.1124623,16.778566
android.sensor.accelerometer,1524711721131,1072408760936,0.1436521,3.5529952,15.160085
android.sensor.accelerometer,1524711721151,1072428751561,1.283292,3.3901896,11.463438
android.sensor.accelerometer,1524711721172,1072448773436,1.9057846,3.4955344,9.270349
android.sensor.accelerometer,1524711721192,1072468764061,1.3215994,3.7445314,9.3661175
android.sensor.accelerometer,1524711721212,1072488754686,0.93852705,4.185065,9.260772
android.sensor.accelerometer,1524711721231,1072508746874,1.2737153,4.3861775,10.907983
android.sensor.accelerometer,1524711721251,1072528768749,1.0821792,3.6870706,9.758766
android.sensor.accelerometer,1524711721272,1072548760936,0.6895301,3.5434184,8.350976
android.sensor.accelerometer,1524711721291,1072568751561,0.91937345,2.767697,8.532935
android.sensor.accelerometer,1524711721312,1072588773436,-0.33518824,3.821146,5.353435
android.sensor.accelerometer,1524711721331,1072608764061,0.4213795,3.1890767,6.445191
android.sensor.accelerometer,1524711721351,1072628753124,2.0973208,1.8291701,11.042058
android.sensor.accelerometer,1524711721371,1072648745311,1.1683705,1.9440918,13.053187
android.sensor.accelerometer,1524711721392,1072668768749,0.41180268,2.183512,10.754754
android.sensor.accelerometer,1524711721411,1072688757811,0.90979666,2.767697,8.494628
android.sensor.accelerometer,1524711721431,1072708749999,0.009576807,2.4037786,8.39886
android.sensor.accelerometer,1524711721451,1072728771874,-1.5131354,1.7621324,9.270349
android.sensor.accelerometer,1524711721471,1072748764061,-0.2777274,2.0685902,9.586384
