Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711712933,1064208759374,-0.047438048,0.11234684,0.045256387
android.sensor.gyroscope,1524711712953,1064228749999,-0.040631264,0.08916887,0.03544764
android.sensor.gyroscope,1524711712973,1064248771874,-0.030264009,0.07389724,0.035709437
android.sensor.gyroscope,1524711712993,1064268764061,-0.027262043,0.07661995,0.050981067
android.sensor.gyroscope,1524711713013,1064288753124,-0.018256145,0.066811204,0.053721234
android.sensor.gyroscope,1524711713033,1064308745311,-0.008988446,0.050178215,0.045814894
android.sensor.gyroscope,1524711713053,1064328765624,0.0013613568,0.020176006,0.03408628
android.sensor.gyroscope,1524711713073,1064348757811,0.0,0.0,0.0
android.sensor.gyroscope,1524711713093,1064368748436,0.015271631,-0.0051661744,0.03598869
android.sensor.gyroscope,1524711713113,1064388771874,0.01144936,0.0076270886,0.05454154
android.sensor.gyroscope,1524711713133,1064408762499,0.0019024089,0.011711159,0.0376293
android.sensor.gyroscope,1524711713153,1064428751561,0.0027227136,0.033527777,0.08998918
android.sensor.gyroscope,1524711713173,1064448743749,0.0016231562,0.039531708,0.09653416
android.sensor.gyroscope,1524711713193,1064468765624,5.410521E-4,0.034627333,0.09817477
android.sensor.gyroscope,1524711713213,1064488756249,0.0,0.047717303,0.12107349
android.sensor.gyroscope,1524711713233,1064508748436,0.0038048178,0.04553564,0.108524576
android.sensor.gyroscope,1524711713253,1064528768749,0.00816814,0.056985,0.12871803
android.sensor.gyroscope,1524711713273,1064548760936,0.020717058,0.04363323,0.12653637
android.sensor.gyroscope,1524711713294,1064568751561,0.041992623,0.031346112,0.13662437
android.sensor.gyroscope,1524711713313,1064588774999,0.07035422,-0.025621433,0.1128879
android.sensor.gyroscope,1524711713333,1064608764061,0.110444434,-0.08452629,0.09979793
android.sensor.gyroscope,1524711713353,1064628754686,0.1338842,-0.1229759,0.09299114
android.sensor.gyroscope,1524711713373,1064648746874,0.13416345,-0.13226105,0.10389945
