Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711789654,1140928764061,-0.2777274,7.393295,6.244078
android.sensor.accelerometer,1524711789672,1140948754686,-0.23942018,7.383718,6.1100025
android.sensor.accelerometer,1524711789691,1140968746874,-0.05746084,7.469909,5.985504
android.sensor.accelerometer,1524711789712,1140988767186,0.0,7.5082164,5.889736
android.sensor.accelerometer,1524711789732,1141008759374,-0.02873042,7.441179,5.90889
android.sensor.accelerometer,1524711789752,1141028749999,-0.11492168,7.4028716,5.995081
android.sensor.accelerometer,1524711789772,1141048771874,-0.16280572,7.441179,6.033388
android.sensor.accelerometer,1524711789792,1141068764061,-0.038307227,7.536947,6.196194
android.sensor.accelerometer,1524711789812,1141088753124,0.095768064,7.642292,6.033388
android.sensor.accelerometer,1524711789832,1141108743749,0.10534488,7.632715,5.889736
android.sensor.accelerometer,1524711789852,1141128767186,0.06703765,7.651869,5.841852
android.sensor.accelerometer,1524711789872,1141148757811,0.18195933,7.5561004,5.6982
android.sensor.accelerometer,1524711789892,1141168748436,0.22026655,7.4986396,5.841852
android.sensor.accelerometer,1524711789912,1141188770311,-0.095768064,7.383718,6.38773
android.sensor.accelerometer,1524711789932,1141208762499,-0.45010993,7.422025,6.694188
android.sensor.accelerometer,1524711789952,1141228751561,-0.78529817,7.9391727,6.9240313
android.sensor.accelerometer,1524711789972,1141248743749,0.37349546,9.346964,8.063671
android.sensor.accelerometer,1524711789992,1141268765624,3.2561142,11.750742,10.898406
android.sensor.accelerometer,1524711790012,1141288756249,4.146757,14.298173,14.384364
android.sensor.accelerometer,1524711790032,1141308748436,3.2465374,16.021997,14.144943
android.sensor.accelerometer,1524711790052,1141328770311,4.999093,16.596605,13.263878
android.sensor.accelerometer,1524711790072,1141348760936,7.201759,15.725117,13.64695
android.sensor.accelerometer,1524711790092,1141368751561,6.9623384,13.359646,11.971008
android.sensor.accelerometer,1524711790112,1141388743749,4.4244847,10.429143,8.820239
android.sensor.accelerometer,1524711790132,1141408764061,0.7661445,7.153875,6.646304
android.sensor.accelerometer,1524711790152,1141428754686,-2.384625,4.31914,4.4819455
android.sensor.accelerometer,1524711790172,1141448746874,-4.6351743,1.7429788,2.0015526
android.sensor.accelerometer,1524711790192,1141468768749,-5.267244,-0.9672575,-0.37349546
android.sensor.accelerometer,1524711790212,1141488759374,-5.4779334,-4.510676,-2.920926
android.sensor.accelerometer,1524711790232,1141508749999,-9.490616,-7.9391727,-5.765238
android.sensor.accelerometer,1524711790252,1141528773436,-17.142485,-11.482592,-5.7748146
android.sensor.accelerometer,1524711790272,1141548764061,-16.127342,-13.618219,-4.367024
android.sensor.accelerometer,1524711790292,1141568754686,-11.827356,-14.365211,-3.0550013
android.sensor.accelerometer,1524711790312,1141588746874,-7.632715,-14.001291,-3.1124623
android.sensor.accelerometer,1524711790332,1141608768749,-4.0892963,-13.072341,-3.7828386
android.sensor.accelerometer,1524711790352,1141628759374,-0.22026655,-11.741165,-4.673482
android.sensor.accelerometer,1524711790372,1141648749999,3.821146,-9.9790325,-3.169923
android.sensor.accelerometer,1524711790392,1141668771874,6.4068837,-8.379706,1.5227122
