Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711470252,821528760936,0.18195933,5.171476,8.724471
android.sensor.accelerometer,1524711470272,821548753124,0.16280572,5.0661306,8.7532015
android.sensor.accelerometer,1524711470292,821568743749,0.18195933,5.094861,8.944737
android.sensor.accelerometer,1524711470312,821588765624,0.18195933,5.085284,9.040505
android.sensor.accelerometer,1524711470332,821608756249,0.12449849,5.104438,8.791509
android.sensor.accelerometer,1524711470352,821628746874,0.15322891,5.142745,8.37013
android.sensor.accelerometer,1524711470372,821648770311,0.17238252,5.1235914,7.9966335
android.sensor.accelerometer,1524711470392,821668760936,0.1436521,5.094861,8.054094
android.sensor.accelerometer,1524711470412,821688751561,0.20111294,5.0757074,8.015787
android.sensor.accelerometer,1524711470432,821708742186,0.22984336,5.046977,7.699753
android.sensor.accelerometer,1524711470452,821728765624,0.31603462,5.0374002,7.632715
android.sensor.accelerometer,1524711470472,821748756249,0.45010993,4.951209,7.9870567
android.sensor.accelerometer,1524711470492,821768746874,0.22026655,4.9416323,8.686164
android.sensor.accelerometer,1524711470512,821788768749,0.18195933,4.9799395,8.7053175
android.sensor.accelerometer,1524711470532,821808759374,0.18195933,4.999093,8.437167
android.sensor.accelerometer,1524711470552,821828751561,0.2777274,5.056554,8.130709
android.sensor.accelerometer,1524711470572,821848773436,0.6991069,5.0757074,7.8146744
android.sensor.accelerometer,1524711470592,821868764061,0.81402856,5.00867,7.479486
android.sensor.accelerometer,1524711470612,821888754686,0.63206923,4.9320555,7.326257
android.sensor.accelerometer,1524711470632,821908745311,0.16280572,4.9416323,6.253655
android.sensor.accelerometer,1524711470652,821928768749,-0.9576807,4.5872903,6.090849
android.sensor.accelerometer,1524711470672,821948757811,0.7469909,5.161899,4.9224787
android.sensor.accelerometer,1524711470692,821968751561,0.48841715,3.572149,3.821146
android.sensor.accelerometer,1524711470712,821988771874,1.6376339,3.572149,3.3518825
android.sensor.accelerometer,1524711470732,822008762499,2.6048915,2.6527755,3.5817258
android.sensor.accelerometer,1524711470752,822028754686,2.873042,2.1643584,3.1986535
android.sensor.accelerometer,1524711470772,822048745311,3.122039,1.3694834,1.685518
android.sensor.accelerometer,1524711470792,822068767186,3.016694,0.2777274,0.12449849
android.sensor.accelerometer,1524711470812,822088757811,2.8634653,-0.51714754,-1.5993267
android.sensor.accelerometer,1524711470831,822108749999,3.9935284,-3.2273839,-2.9496565
android.sensor.accelerometer,1524711470852,822128770311,4.8362875,-5.0374002,-2.231396
android.sensor.accelerometer,1524711470872,822148762499,5.1906295,-6.7324953,-0.15322891
android.sensor.accelerometer,1524711470892,822168751561,6.5026517,-8.350976,0.50757074
android.sensor.accelerometer,1524711470912,822188745311,8.465898,-9.691729,0.7182605
android.sensor.accelerometer,1524711470932,822208765624,11.453861,-12.287044,1.5035586
android.sensor.accelerometer,1524711470952,822228756249,10.208876,-14.202404,2.7581203
android.sensor.accelerometer,1524711470972,822248748436,8.283937,-16.16565,2.4229321
android.sensor.accelerometer,1524711470992,822268770311,8.322245,-17.985243,2.9113493
android.sensor.accelerometer,1524711471012,822288760936,9.232041,-20.647596,2.5187001
android.sensor.accelerometer,1524711471032,822308751561,10.409989,-23.874979,0.80445176
android.sensor.accelerometer,1524711471052,822328743749,12.995727,-27.897238,0.45010993
android.sensor.accelerometer,1524711471072,822348764061,14.777013,-30.731974,1.0151415
android.sensor.accelerometer,1524711471092,822368756249,15.8304615,-32.637756,2.6623523
android.sensor.accelerometer,1524711471112,822388746874,14.709975,-32.06315,4.548983
android.sensor.accelerometer,1524711471132,822408768749,15.093047,-31.153353,6.991069
android.sensor.accelerometer,1524711471152,822428760936,15.658079,-28.625076,7.73806
android.sensor.accelerometer,1524711471172,822448749999,13.8480625,-26.364948,4.6830587
android.sensor.accelerometer,1524711471192,822468773436,11.9614315,-24.928429,0.15322891
android.sensor.accelerometer,1524711471212,822488764061,12.162544,-24.459164,-4.5394063
android.sensor.accelerometer,1524711471232,822508754686,12.50731,-24.612394,-7.335834
android.sensor.accelerometer,1524711471252,822528746874,11.894394,-24.526203,-6.751649
android.sensor.accelerometer,1524711471272,822548768749,10.601525,-24.602818,-3.466804
android.sensor.accelerometer,1524711471292,822568759374,9.509769,-23.329102,-1.043872
android.sensor.accelerometer,1524711471312,822588751561,8.829816,-21.260511,-0.22026655
android.sensor.accelerometer,1524711471332,822608773436,9.222465,-19.574993,0.842759
android.sensor.accelerometer,1524711471352,822628762499,10.0748005,-17.851168,2.96881
android.sensor.accelerometer,1524711471372,822648753124,10.505757,-15.840038,4.501099
android.sensor.accelerometer,1524711471392,822668745311,10.113108,-14.15452,6.4260373
android.sensor.accelerometer,1524711471412,822688767186,8.887277,-11.9614315,9.691729
android.sensor.accelerometer,1524711471432,822708759374,7.469909,-9.720459,11.492168
android.sensor.accelerometer,1524711471452,822728748436,6.1004257,-7.833828,10.831368
android.sensor.accelerometer,1524711471472,822748771874,5.5737014,-5.90889,10.0269165
android.sensor.accelerometer,1524711471492,822768762499,5.1235914,-3.9552212,9.193734
android.sensor.accelerometer,1524711471512,822788753124,4.510676,-3.6583402,9.212888
android.sensor.accelerometer,1524711471532,822808745311,3.1986535,-3.6104562,10.093954
android.sensor.accelerometer,1524711471552,822828765624,2.4899697,-3.9264908,12.698846
android.sensor.accelerometer,1524711471572,822848756249,1.4556746,-3.7445314,13.570335
android.sensor.accelerometer,1524711471592,822868746874,1.340753,-3.8019924,13.790602
android.sensor.accelerometer,1524711471612,822888770311,1.9249382,-4.711789,15.131354
android.sensor.accelerometer,1524711471632,822908760936,4.3766007,-6.531382,15.399506
android.sensor.accelerometer,1524711471652,822928751561,8.264784,-9.509769,13.809755
android.sensor.accelerometer,1524711471672,822948743749,12.411542,-13.359646,12.162544
android.sensor.accelerometer,1524711471692,822968765624,14.824897,-18.406622,12.603078
android.sensor.accelerometer,1524711471712,822988756249,15.313314,-24.870968,13.2351465
android.sensor.accelerometer,1524711471732,823008748436,17.056293,-31.40235,11.099519
android.sensor.accelerometer,1524711471751,823028770311,18.962078,-37.962463,7.6710224
android.sensor.accelerometer,1524711471771,823048760936,21.260511,-43.96712,4.807557
android.sensor.accelerometer,1524711471791,823068751561,25.675419,-49.70363,4.55856
android.sensor.accelerometer,1524711471811,823088773436,34.083855,-57.231,4.9703627
android.sensor.accelerometer,1524711471831,823108764061,37.866695,-60.295574,6.033388
android.sensor.accelerometer,1524711471851,823128756249,38.259342,-63.49423,7.067683
android.sensor.accelerometer,1524711471871,823148745311,38.36469,-65.53409,9.911995
android.sensor.accelerometer,1524711471891,823168768749,37.962463,-67.4303,10.055647
android.sensor.accelerometer,1524711471911,823188759374,35.35757,-66.530075,8.791509
android.sensor.accelerometer,1524711471931,823208749999,34.055126,-63.637882,5.7843914
android.sensor.accelerometer,1524711471951,823228771874,34.591427,-59.673084,3.9552212
android.sensor.accelerometer,1524711471971,823248764061,33.815704,-54.511185,4.2042184
android.sensor.accelerometer,1524711471991,823268754686,28.548462,-48.698063,2.336741
android.sensor.accelerometer,1524711472011,823288745311,20.54225,-41.908108,4.261679
android.sensor.accelerometer,1524711472031,823308767186,14.78659,-36.190754,4.76925
android.sensor.accelerometer,1524711472051,823328757811,12.53604,-31.239544,5.0278234
android.sensor.accelerometer,1524711472071,823348749999,11.300632,-28.021736,1.8674773
android.sensor.accelerometer,1524711472091,823368771874,11.453861,-25.349808,-5.1235914
android.sensor.accelerometer,1524711472111,823388762499,6.588843,-17.96609,-11.128249
android.sensor.accelerometer,1524711472131,823408753124,-0.5554548,-12.74673,-16.960526
android.sensor.accelerometer,1524711472151,823428745311,-0.35434186,-7.536947,-17.774553
android.sensor.accelerometer,1524711472171,823448767186,0.4213795,-5.353435,-12.133814
