Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711470253,821528760936,-0.029164452,0.027803095,0.03926991
android.sensor.gyroscope,1524711470273,821548753124,0.0,0.0,0.0
android.sensor.gyroscope,1524711470293,821568743749,0.0,0.0,0.0
android.sensor.gyroscope,1524711470313,821588765624,0.0,0.0,0.0
android.sensor.gyroscope,1524711470333,821608756249,0.0,0.0,0.0
android.sensor.gyroscope,1524711470353,821628746874,-0.07307693,0.051539574,0.07689921
android.sensor.gyroscope,1524711470373,821648770311,-0.07689921,0.06871361,0.10389945
android.sensor.gyroscope,1524711470393,821668760936,-0.06435029,0.050178215,0.0752586
android.sensor.gyroscope,1524711470413,821688751561,-0.06571165,0.053721234,0.08152433
android.sensor.gyroscope,1524711470433,821708742186,-0.06026622,0.046355944,0.071174525
android.sensor.gyroscope,1524711470453,821728765624,-0.05126032,0.025621433,0.0376293
android.sensor.gyroscope,1524711470473,821748756249,-0.049619712,0.045256387,0.06871361
android.sensor.gyroscope,1524711470493,821768746874,-0.058904864,0.07716101,0.13444272
android.sensor.gyroscope,1524711470513,821788768749,-0.038990654,0.050440013,0.09897762
android.sensor.gyroscope,1524711470533,821808759374,-0.04335398,0.06871361,0.14453071
android.sensor.gyroscope,1524711470553,821828751561,-0.033265974,0.074717544,0.16416568
android.sensor.gyroscope,1524711470573,821848773436,-0.02617994,0.095713854,0.22006856
android.sensor.gyroscope,1524711470593,821868764061,-0.01881465,0.09789552,0.24352579
android.sensor.gyroscope,1524711470613,821888754686,-0.013351769,0.067631505,0.21106267
android.sensor.gyroscope,1524711470633,821908745311,-0.004363323,0.012810716,0.13498376
android.sensor.gyroscope,1524711470653,821928768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711470673,821948757811,0.025080381,-0.13226105,-0.11861257
android.sensor.gyroscope,1524711470693,821968751561,0.056164697,-0.25715682,-0.31251866
android.sensor.gyroscope,1524711470713,821988771874,0.09107128,-0.3888768,-0.49195597
android.sensor.gyroscope,1524711470733,822008762499,0.110444434,-0.43605307,-0.5102295
android.sensor.gyroscope,1524711470753,822028754686,0.10716321,-0.3496069,-0.25251424
android.sensor.gyroscope,1524711470773,822048745311,0.11316715,-0.23998277,0.09707521
android.sensor.gyroscope,1524711470793,822068767186,0.13798574,-0.24242623,0.28169614
android.sensor.gyroscope,1524711470813,822088757811,0.16170475,-0.27897343,0.34824553
android.sensor.gyroscope,1524711470833,822108749999,0.16006415,-0.21516418,0.6962118
android.sensor.gyroscope,1524711470855,822128770311,0.14016739,-0.08316494,1.2359025
android.sensor.gyroscope,1524711470873,822148762499,0.092170835,0.1409877,1.9951208
android.sensor.gyroscope,1524711470893,822168751561,0.07035422,0.32887238,2.9452431
android.sensor.gyroscope,1524711470913,822188745311,0.071174525,0.27979374,3.8566191
android.sensor.gyroscope,1524711470934,822208765624,0.046896998,-0.11098549,4.660029
android.sensor.gyroscope,1524711470954,822228756249,-0.08016297,-0.63376397,5.2168937
android.sensor.gyroscope,1524711470973,822248748436,-0.30487412,-1.2279962,5.602507
android.sensor.gyroscope,1524711470993,822268770311,-0.5795017,-1.798492,5.804581
android.sensor.gyroscope,1524711471013,822288760936,-0.871024,-2.2888248,5.844392
android.sensor.gyroscope,1524711471034,822308751561,-1.1399094,-2.6790805,5.7696743
android.sensor.gyroscope,1524711471055,822328743749,-1.3218076,-2.9275105,5.5997667
