Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524711842511,1193788771874,-0.40222588,5.889736,8.015787
android.sensor.accelerometer,1524711842531,1193808762499,-0.17238252,5.9280434,8.00621
android.sensor.accelerometer,1524711842551,1193828753124,-0.32561144,5.889736,8.130709
android.sensor.accelerometer,1524711842572,1193848745311,-0.50757074,5.813122,8.236053
android.sensor.accelerometer,1524711842592,1193868767186,-0.545878,5.8322754,8.0445175
android.sensor.accelerometer,1524711842612,1193888757811,-0.5746084,5.8801594,7.6614456
android.sensor.accelerometer,1524711842632,1193908748436,-0.6512229,5.861006,7.422025
android.sensor.accelerometer,1524711842652,1193928771874,-0.7086837,5.899313,7.345411
android.sensor.accelerometer,1524711842672,1193948762499,-0.91937345,5.8705826,7.4124484
android.sensor.accelerometer,1524711842692,1193968751561,-0.92895025,5.8705826,7.5465236
android.sensor.accelerometer,1524711842712,1193988745311,-0.7757214,5.8705826,7.776367
android.sensor.accelerometer,1524711842732,1194008765624,-0.7565677,5.813122,8.264784
android.sensor.accelerometer,1524711842752,1194028757811,-0.6895301,5.765238,8.293514
android.sensor.accelerometer,1524711842772,1194048748436,-0.61291564,5.765238,7.9966335
android.sensor.accelerometer,1524711842792,1194068770311,-0.5650316,5.813122,7.881712
android.sensor.accelerometer,1524711842812,1194088762499,-0.4405331,5.8226986,8.1881695
android.sensor.accelerometer,1524711842832,1194108751561,-0.47884035,5.7843914,8.178593
android.sensor.accelerometer,1524711842852,1194128743749,-0.45968673,5.793968,7.872135
android.sensor.accelerometer,1524711842872,1194148765624,-0.38307226,5.861006,7.5944076
android.sensor.accelerometer,1524711842892,1194168756249,-0.4213795,5.9280434,7.374141
android.sensor.accelerometer,1524711842912,1194188746874,-0.63206923,5.90889,7.345411
android.sensor.accelerometer,1524711842932,1194208768749,-0.7757214,5.9663506,7.431602
android.sensor.accelerometer,1524711842952,1194228760936,-0.92895025,5.9184666,7.6614456
android.sensor.accelerometer,1524711842972,1194248751561,-0.8714894,5.9663506,7.52737
android.sensor.accelerometer,1524711842992,1194268773436,-0.80445176,6.1100025,6.7324953
android.sensor.accelerometer,1524711843012,1194288764061,-0.60333884,6.1866174,6.1866174
android.sensor.accelerometer,1524711843032,1194308754686,-0.60333884,6.0716953,6.8569937
android.sensor.accelerometer,1524711843053,1194328745311,-0.63206923,5.985504,7.3166804
android.sensor.accelerometer,1524711843073,1194348768749,-0.6895301,5.8705826,7.536947
android.sensor.accelerometer,1524711843093,1194368759374,-0.82360536,5.7843914,7.9966335
android.sensor.accelerometer,1524711843113,1194388749999,-1.1300632,5.7748146,8.322245
android.sensor.accelerometer,1524711843133,1194408771874,-1.2545617,5.659893,8.226477
