Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711842513,1193788771874,-0.035168383,-0.002443461,-0.08016297
android.sensor.gyroscope,1524711842533,1193808762499,-0.034348078,-0.008988446,-0.06925467
android.sensor.gyroscope,1524711842553,1193828753124,-0.038711403,-0.00816814,-0.06735226
android.sensor.gyroscope,1524711842573,1193848745311,-0.055902895,0.037891097,-0.0109083075
android.sensor.gyroscope,1524711842593,1193868767186,-0.038449604,0.03817035,0.014713125
android.sensor.gyroscope,1524711842613,1193888757811,-0.043895032,0.06244788,0.042533673
android.sensor.gyroscope,1524711842633,1193908748436,-0.046896998,0.08126253,0.059445914
android.sensor.gyroscope,1524711842653,1193928771874,-0.04117232,0.07553785,0.042533673
android.sensor.gyroscope,1524711842673,1193948762499,-0.032166418,0.059166662,0.011711159
android.sensor.gyroscope,1524711842693,1193968751561,-0.037350047,0.066811204,-0.014451326
android.sensor.gyroscope,1524711842713,1193988745311,-0.038990654,0.08752826,0.00408407
android.sensor.gyroscope,1524711842733,1194008765624,-0.028902652,0.061348323,-0.038449604
android.sensor.gyroscope,1524711842753,1194028757811,-0.03190462,0.061889376,-0.0662527
android.sensor.gyroscope,1524711842773,1194048748436,-0.026441738,0.0376293,-0.0935322
android.sensor.gyroscope,1524711842793,1194068770311,-0.028082348,0.035168383,-0.08480555
android.sensor.gyroscope,1524711842813,1194088762499,-0.034627333,0.04717625,-0.0760789
android.sensor.gyroscope,1524711842833,1194108751561,-0.03817035,0.053441983,-0.05808456
android.sensor.gyroscope,1524711842853,1194128743749,-0.038990654,0.056164697,-0.0376293
android.sensor.gyroscope,1524711842873,1194148765624,-0.039531708,0.053162728,-0.017174039
android.sensor.gyroscope,1524711842893,1194168756249,-0.044715334,0.061889376,-0.015812684
android.sensor.gyroscope,1524711842913,1194188746874,-0.038449604,0.066811204,0.011990412
android.sensor.gyroscope,1524711842934,1194208768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711842954,1194228760936,0.0,0.0,0.0
android.sensor.gyroscope,1524711842973,1194248751561,-0.016894788,0.033527777,0.011990412
android.sensor.gyroscope,1524711842993,1194268773436,0.0,0.0,0.0
android.sensor.gyroscope,1524711843013,1194288764061,0.011170107,-0.014451326,-0.08562585
android.sensor.gyroscope,1524711843034,1194308754686,0.04363323,-0.07553785,-0.15680037
android.sensor.gyroscope,1524711843054,1194328745311,0.076358154,-0.15407766,-0.25933847
android.sensor.gyroscope,1524711843074,1194348768749,0.095434606,-0.218969,-0.33815753
android.sensor.gyroscope,1524711843095,1194368759374,0.09189159,-0.24897122,-0.38315213
android.sensor.gyroscope,1524711843115,1194388749999,0.08290314,-0.2582389,-0.40086722
android.sensor.gyroscope,1524711843135,1194408771874,0.07089528,-0.2653424,-0.4265061
android.sensor.gyroscope,1524711843155,1194428764061,0.0659909,-0.28579766,-0.46823692
android.sensor.gyroscope,1524711843175,1194448754686,0.067631505,-0.32342696,-0.51923543
android.sensor.gyroscope,1524711843195,1194468745311,0.06735226,-0.37168533,-0.5953143
android.sensor.gyroscope,1524711843215,1194488767186,0.06407104,-0.39023817,-0.6195919
android.sensor.gyroscope,1524711843235,1194508757811,0.057526052,-0.40715042,-0.65339893
android.sensor.gyroscope,1524711843255,1194528748436,0.033527777,-0.34906584,-0.57513833
android.sensor.gyroscope,1524711843275,1194548771874,0.020996312,-0.33733723,-0.55850536
